chr|end|gene_name|id|start|transcript_id|transcript_name|transcript_type
chr20|10308258|SNAP25|enst00000689858|10218867|ENST00000689858.1|SNAP25-212|protein_coding
chr20|10308258|SNAP25|enst00000689757|10218874|ENST00000689757.1|SNAP25-211|protein_coding
chr20|10308258|SNAP25|enst00000685131|10218881|ENST00000685131.1|SNAP25-206|protein_coding
chr20|10252582|SNAP25|enst00000689248|10218882|ENST00000689248.1|SNAP25-209|protein_coding_CDS_not_defined
chr20|10308258|SNAP25|enst00000687785|10218885|ENST00000687785.1|SNAP25-207|protein_coding
chr20|10308258|SNAP25|enst00000691161|10218910|ENST00000691161.1|SNAP25-216|protein_coding
chr20|10308258|SNAP25|enst00000692411|10218926|ENST00000692411.1|SNAP25-219|protein_coding
chr20|10308258|SNAP25|enst00000690812|10218928|ENST00000690812.1|SNAP25-215|protein_coding
chr20|10307418|SNAP25|enst00000706269|10219159|ENST00000706269.1|SNAP25-223|protein_coding
chr20|10308258|SNAP25|enst00000691353|10219159|ENST00000691353.1|SNAP25-217|protein_coding
chr20|10278069|SNAP25|enst00000492814|10275519|ENST00000492814.1|SNAP25-204|retained_intron
chr20|10308234|SNAP25|enst00000692697|10282382|ENST00000692697.1|SNAP25-220|retained_intron
chr20|10294761|SNAP25|enst00000689723|10284724|ENST00000689723.1|SNAP25-210|retained_intron
chr20|10307418|SNAP25|enst00000495883|10296230|ENST00000495883.1|SNAP25-205|retained_intron
chr20|10200824|unknown|enst00000662058|10172522|ENST00000662058.1|ENST00000662058|lncRNA
chr20|10196990|unknown|enst00000424931|10173520|ENST00000424931.1|ENST00000424931|lncRNA
chr20|10186740|unknown|enst00000666915|10172701|ENST00000666915.1|ENST00000666915|lncRNA
chr20|10186740|unknown|enst00000458004|10180162|ENST00000458004.2|ENST00000458004|lncRNA
chr20|10309905|unknown|enst00000688853|10308422|ENST00000688853.1|ENST00000688853|lncRNA
chr20|10318753|unknown|enst00000664194|10317889|ENST00000664194.1|ENST00000664194|lncRNA
chr20|10334698|HIGD1AP15|enst00000416198|10334419|ENST00000416198.1|HIGD1AP15-201|processed_pseudogene
chr20|10349628|RPL23AP6|enst00000446637|10349157|ENST00000446637.1|RPL23AP6-201|processed_pseudogene
chr20|10387806|SDAD1P2|enst00000441308|10385779|ENST00000441308.1|SDAD1P2-201|processed_pseudogene
chr20|10434222|MKKS|enst00000347364|10401009|ENST00000347364.7|MKKS-201|protein_coding
chr20|10434214|MKKS|enst00000651692|10401621|ENST00000651692.1|MKKS-203|protein_coding
chr20|10434198|MKKS|enst00000652676|10404935|ENST00000652676.1|MKKS-204|protein_coding_CDS_not_defined
chr20|10431922|MKKS|enst00000399054|10405184|ENST00000399054.6|MKKS-202|protein_coding
chr20|10431922|MKKS|enst00000609375|10413520|ENST00000609375.1|MKKS-205|protein_coding
chr20|10420737|MKKS|enst00000649912|10420546|ENST00000649912.1|MKKS-206|protein_coding
chr20|10628030|SLX4IP|enst00000334534|10435305|ENST00000334534.10|SLX4IP-201|protein_coding
chr20|10614229|DNAJC9P1|enst00000456064|10612861|ENST00000456064.1|ENST00000456064|processed_pseudogene
chr20|10673999|JAG1|enst00000254958|10637684|ENST00000254958.10|JAG1-201|protein_coding
chr20|10662506|JAG1|enst00000423891|10637759|ENST00000423891.6|JAG1-202|protein_coding_CDS_not_defined
chr20|10641276|JAG1|enst00000617357|10639870|ENST00000617357.1|JAG1-206|retained_intron
chr20|10652722|JAG1|enst00000617965|10641580|ENST00000617965.2|JAG1-207|retained_intron
chr20|10646366|JAG1|enst00000488480|10644443|ENST00000488480.2|JAG1-203|retained_intron
chr20|10647312|JAG1|enst00000612857|10645372|ENST00000612857.1|JAG1-204|retained_intron
chr20|10649588|JAG1|enst00000620743|10647981|ENST00000620743.1|JAG1-208|retained_intron
chr20|10649695|MIR6870|enst00000615931|10649636|ENST00000615931.1|MIR6870-201|miRNA
chr20|10910124|unknown|enst00000667822|10672695|ENST00000667822.1|ENST00000667822|lncRNA
chr20|10991642|unknown|enst00000605292|10672928|ENST00000605292.5|ENST00000605292|lncRNA
chr20|10914535|unknown|enst00000603462|10902284|ENST00000603462.1|ENST00000603462|lncRNA
chr20|10991935|unknown|enst00000603180|10986675|ENST00000603180.5|ENST00000603180|lncRNA
chr20|10994924|unknown|enst00000603985|10986675|ENST00000603985.1|ENST00000603985|lncRNA
chr20|10754027|LINC01752|enst00000417299|10696949|ENST00000417299.2|LINC01752-201|lncRNA
chr20|10754033|LINC01752|enst00000654385|10747145|ENST00000654385.1|LINC01752-202|lncRNA
chr20|10765286|unknown|enst00000418690|10753278|ENST00000418690.1|ENST00000418690|lncRNA
chr20|10909279|unknown|enst00000448859|10875333|ENST00000448859.2|ENST00000448859|lncRNA
chr20|10897162|unknown|enst00000668688|10875921|ENST00000668688.1|ENST00000668688|lncRNA
chr20|10909272|unknown|enst00000654048|10875921|ENST00000654048.1|ENST00000654048|lncRNA
chr20|10909272|unknown|enst00000665099|10875921|ENST00000665099.1|ENST00000665099|lncRNA
chr20|10909272|unknown|enst00000657181|10875921|ENST00000657181.1|ENST00000657181|lncRNA
chr20|10909272|unknown|enst00000667238|10875921|ENST00000667238.1|ENST00000667238|lncRNA
chr20|10909279|unknown|enst00000666969|10875971|ENST00000666969.1|ENST00000666969|lncRNA
chr20|10909272|unknown|enst00000660168|10875978|ENST00000660168.1|ENST00000660168|lncRNA
chr20|10909267|unknown|enst00000663948|10884311|ENST00000663948.1|ENST00000663948|lncRNA
chr20|10896321|unknown|enst00000653164|10889949|ENST00000653164.1|ENST00000653164|lncRNA
chr20|10909272|unknown|enst00000655050|10889949|ENST00000655050.1|ENST00000655050|lncRNA
chr20|10909267|unknown|enst00000655890|10889953|ENST00000655890.1|ENST00000655890|lncRNA
chr20|10909234|unknown|enst00000656902|10893915|ENST00000656902.1|ENST00000656902|lncRNA
chr20|10909277|unknown|enst00000653414|10893915|ENST00000653414.1|ENST00000653414|lncRNA
chr20|10909272|unknown|enst00000656524|10893917|ENST00000656524.1|ENST00000656524|lncRNA
chr20|10909272|unknown|enst00000665608|10893917|ENST00000665608.1|ENST00000665608|lncRNA
chr20|10909272|unknown|enst00000662420|10893917|ENST00000662420.1|ENST00000662420|lncRNA
chr20|10909277|unknown|enst00000657238|10893917|ENST00000657238.1|ENST00000657238|lncRNA
chr20|10909279|unknown|enst00000663360|10893917|ENST00000663360.1|ENST00000663360|lncRNA
chr20|10889088|FAT1P1|enst00000406588|10888582|ENST00000406588.1|FAT1P1-201|processed_pseudogene
chr20|11029455|LINC02871|enst00000659767|10996293|ENST00000659767.1|LINC02871-202|lncRNA
chr20|11029366|LINC02871|enst00000662726|10998587|ENST00000662726.1|LINC02871-203|lncRNA
chr20|11029455|LINC02871|enst00000378252|11026443|ENST00000378252.2|LINC02871-201|lncRNA
chr20|11001763|unknown|enst00000605338|11001304|ENST00000605338.1|ENST00000605338|lncRNA
chr20|11301525|unknown|enst00000444792|11234170|ENST00000444792.1|ENST00000444792|lncRNA
chr20|11273385|unknown|enst00000666460|11264944|ENST00000666460.1|ENST00000666460|lncRNA
chr20|11273404|unknown|enst00000412405|11264950|ENST00000412405.2|ENST00000412405|lncRNA
chr20|11273401|unknown|enst00000667330|11266661|ENST00000667330.1|ENST00000667330|lncRNA
chr20|11345855|RPS11P1|enst00000451072|11345383|ENST00000451072.1|RPS11P1-201|processed_pseudogene
chr20|11541647|unknown|enst00000632608|11536406|ENST00000632608.1|ENST00000632608|lncRNA
chr20|11581335|unknown|enst00000661821|11566484|ENST00000661821.1|ENST00000661821|lncRNA
chr20|11609048|LIN28AP3|enst00000603272|11608436|ENST00000603272.1|ENST00000603272|processed_pseudogene
chr20|11621477|PGAM3P|enst00000437662|11621051|ENST00000437662.1|PGAM3P-201|processed_pseudogene
chr20|11687323|unknown|enst00000569833|11685144|ENST00000569833.1|ENST00000569833|lncRNA
chr20|11810426|LINC00687|enst00000558175|11800463|ENST00000558175.1|LINC00687-203|lncRNA
chr20|11827689|LINC00687|enst00000663254|11809987|ENST00000663254.1|LINC00687-206|lncRNA
chr20|11869034|LINC00687|enst00000659465|11809987|ENST00000659465.1|LINC00687-205|lncRNA
chr20|11878371|LINC00687|enst00000427835|11809987|ENST00000427835.3|LINC00687-201|lncRNA
chr20|11878371|LINC00687|enst00000656506|11809988|ENST00000656506.1|LINC00687-204|lncRNA
chr20|11870728|LINC00687|enst00000557899|11809989|ENST00000557899.2|LINC00687-202|lncRNA
chr20|11878429|LINC00687|enst00000666572|11809989|ENST00000666572.1|LINC00687-207|lncRNA
chr20|11872022|LINC00687|enst00000668731|11870529|ENST00000668731.1|LINC00687-208|lncRNA
chr20|11819091|RN7SKP111|enst00000410349|11818821|ENST00000410349.1|RN7SKP111-201|misc_RNA
chr20|11838574|ANAPC13P1|enst00000605565|11838355|ENST00000605565.1|ENST00000605565|processed_pseudogene
chr20|11926609|BTBD3|enst00000254977|11890723|ENST00000254977.7|BTBD3-201|protein_coding
chr20|11926609|BTBD3|enst00000399006|11890817|ENST00000399006.6|BTBD3-203|protein_coding
chr20|11926609|BTBD3|enst00000405977|11890828|ENST00000405977.5|BTBD3-204|protein_coding
chr20|11926590|BTBD3|enst00000618918|11892493|ENST00000618918.4|BTBD3-215|protein_coding
chr20|11926590|BTBD3|enst00000618296|11917865|ENST00000618296.4|BTBD3-214|protein_coding
chr20|11926595|BTBD3|enst00000378226|11917893|ENST00000378226.7|BTBD3-202|protein_coding
chr20|11922985|BTBD3|enst00000488503|11919277|ENST00000488503.5|BTBD3-213|protein_coding_CDS_not_defined
chr20|11923035|BTBD3|enst00000471120|11919277|ENST00000471120.1|BTBD3-210|protein_coding_CDS_not_defined
chr20|11922889|BTBD3|enst00000473416|11919541|ENST00000473416.1|BTBD3-212|protein_coding_CDS_not_defined
chr20|11923130|BTBD3|enst00000473180|11921566|ENST00000473180.1|BTBD3-211|protein_coding_CDS_not_defined
chr20|11918677|BTBD3-AS1|enst00000439529|11909404|ENST00000439529.1|BTBD3-AS1-201|lncRNA
chr20|12318221|unknown|enst00000654812|12243308|ENST00000654812.1|ENST00000654812|lncRNA
chr20|12244296|unknown|enst00000455132|12243895|ENST00000455132.1|ENST00000455132|lncRNA
chr20|12316485|unknown|enst00000442389|12305613|ENST00000442389.1|ENST00000442389|lncRNA
chr20|12381255|PA2G4P2|enst00000414718|12380056|ENST00000414718.1|PA2G4P2-201|processed_pseudogene
chr20|12952519|LINC01722|enst00000456265|12865202|ENST00000456265.1|LINC01722-201|lncRNA
chr20|12935783|unknown|enst00000602702|12934877|ENST00000602702.1|ENST00000602702|lncRNA
chr20|12937097|unknown|enst00000651426|12934877|ENST00000651426.1|ENST00000651426|lncRNA
chr20|12940902|unknown|enst00000651029|12936262|ENST00000651029.1|ENST00000651029|lncRNA
chr20|12951627|LINC01723|enst00000660848|12950288|ENST00000660848.1|LINC01723-207|lncRNA
chr20|12968130|LINC01723|enst00000666864|12950330|ENST00000666864.1|LINC01723-210|lncRNA
chr20|12979490|LINC01723|enst00000660733|12950334|ENST00000660733.1|LINC01723-206|lncRNA
chr20|12979490|LINC01723|enst00000655843|12950336|ENST00000655843.1|LINC01723-203|lncRNA
chr20|12951627|LINC01723|enst00000432244|12950338|ENST00000432244.1|LINC01723-201|lncRNA
chr20|12979476|LINC01723|enst00000661302|12950338|ENST00000661302.1|LINC01723-208|lncRNA
chr20|12979477|LINC01723|enst00000664230|12950338|ENST00000664230.1|LINC01723-209|lncRNA
chr20|12979490|LINC01723|enst00000668019|12950338|ENST00000668019.1|LINC01723-211|lncRNA
chr20|12967280|LINC01723|enst00000658737|12950340|ENST00000658737.1|LINC01723-205|lncRNA
chr20|12970944|LINC01723|enst00000658457|12950340|ENST00000658457.1|LINC01723-204|lncRNA
chr20|12979476|LINC01723|enst00000654168|12950340|ENST00000654168.1|LINC01723-202|lncRNA
chr20|13008415|LINC01723|enst00000669657|12950340|ENST00000669657.1|LINC01723-212|lncRNA
chr20|12967287|LINC01723|enst00000669978|12950343|ENST00000669978.1|LINC01723-213|lncRNA
chr20|13008417|LINC01723|enst00000670547|12950343|ENST00000670547.1|LINC01723-214|lncRNA
chr20|13008417|LINC01723|enst00000671262|12950345|ENST00000671262.1|LINC01723-215|lncRNA
chr20|13169103|SPTLC3|enst00000399002|13008972|ENST00000399002.7|SPTLC3-201|protein_coding
chr20|13051018|SPTLC3|enst00000476791|13008979|ENST00000476791.1|SPTLC3-205|protein_coding_CDS_not_defined
chrX|1602520|AKAP17A|enst00000313871|1591604|ENST00000313871.9|AKAP17A-201|protein_coding
chrY|1602520|AKAP17A|enst00000313871_par_y|1591604|ENST00000313871.9_PAR_Y|AKAP17A-201|protein_coding
