alternative_ids|id|source|source_url|synonyms|term_name
|GO_0075254|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""negative regulation of ureidospore formation""]"|negative regulation of uredospore formation
|GO_0071692|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""protein localisation in extracellular region"", ""protein localization in extracellular region""]"|protein localization to extracellular region
|GO_0042751|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""aestivation""]"|estivation
"[""GO:0016194"", ""GO:0016195""]"|GO_0006887|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""nonselective vesicle exocytosis"", ""vesicle exocytosis""]"|exocytosis
|GO_0098906|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||regulation of Purkinje myocyte action potential
|GO_0002840|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""regulation of T cell mediated immune response to tumour cell"", ""regulation of T lymphocyte mediated immune response to tumor cell"", ""regulation of T-cell mediated immune response to tumor cell"", ""regulation of T-lymphocyte mediated immune response to tumor cell""]"|regulation of T cell mediated immune response to tumor cell
|GO_0035993|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||deltoid tuberosity development
|GO_0002400|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""nasal tolerance"", ""tolerance induction in NALT""]"|tolerance induction in nasopharyngeal-associated lymphoid tissue
"[""GO:0035638""]"|GO_0140448|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""signal maturation""]"|signaling receptor ligand precursor processing
|GO_1900495|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""down regulation of butyryl-CoA biosynthesis from acetyl-CoA"", ""down regulation of butyryl-CoA biosynthetic process from acetyl-CoA"", ""down-regulation of butyryl-CoA biosynthesis from acetyl-CoA"", ""down-regulation of butyryl-CoA biosynthetic process from acetyl-CoA"", ""downregulation of butyryl-CoA biosynthesis from acetyl-CoA"", ""downregulation of butyryl-CoA biosynthetic process from acetyl-CoA"", ""inhibition of butyryl-CoA biosynthesis from acetyl-CoA"", ""negative regulation of butyryl-CoA biosynthesis from acetyl-CoA""]"|negative regulation of butyryl-CoA biosynthetic process from acetyl-CoA
|GO_1901142|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""insulin metabolism""]"|insulin metabolic process
|GO_0003160|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||endocardium morphogenesis
"[""GO:0061488""]"|GO_0098702|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""adenine import into cell""]"|adenine import across plasma membrane
|GO_0048667|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""neuron morphogenesis involved in differentiation""]"|cell morphogenesis involved in neuron differentiation
|GO_1902269|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""up regulation of polyamine transmembrane transport"", ""up-regulation of polyamine transmembrane transport"", ""upregulation of polyamine transmembrane transport""]"|positive regulation of polyamine transmembrane transport
|GO_0099557|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||trans-synaptic signaling by trans-synaptic complex, modulating synaptic transmission
|GO_0097392|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""CXCL16 production""]"|chemokine (C-X-C motif) ligand 16 production
|GO_0033137|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||negative regulation of peptidyl-serine phosphorylation
|GO_0002174|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||mammary stem cell proliferation
|GO_0002018|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""renin-angiotensin control of aldosterone production""]"|renin-angiotensin regulation of aldosterone production
|GO_0100001|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||regulation of skeletal muscle contraction by action potential
|GO_0045659|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""down regulation of neutrophil differentiation"", ""down-regulation of neutrophil differentiation"", ""downregulation of neutrophil differentiation""]"|negative regulation of neutrophil differentiation
|GO_0046206|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""trypanothione metabolism""]"|trypanothione metabolic process
|GO_0021832|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||cell-cell adhesion involved in cerebral cortex tangential migration using cell-cell interactions
|GO_0001911|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""down regulation of leukocyte mediated cytotoxicity"", ""down-regulation of leukocyte mediated cytotoxicity"", ""downregulation of leukocyte mediated cytotoxicity"", ""negative regulation of immune cell mediated cytotoxicity"", ""negative regulation of leucocyte mediated cytotoxicity""]"|negative regulation of leukocyte mediated cytotoxicity
|GO_1905831|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""down regulation of bipolar spindle biosynthesis"", ""down regulation of bipolar spindle formation"", ""down regulation of spindle assembly"", ""down regulation of spindle biosynthesis"", ""down regulation of spindle formation"", ""down-regulation of bipolar spindle biosynthesis"", ""down-regulation of bipolar spindle formation"", ""down-regulation of spindle assembly"", ""down-regulation of spindle biosynthesis"", ""down-regulation of spindle formation"", ""downregulation of bipolar spindle biosynthesis"", ""downregulation of bipolar spindle formation"", ""downregulation of spindle assembly"", ""downregulation of spindle biosynthesis"", ""downregulation of spindle formation"", ""negative regulation of bipolar spindle biosynthesis"", ""negative regulation of bipolar spindle formation"", ""negative regulation of spindle biosynthesis"", ""negative regulation of spindle formation""]"|negative regulation of spindle assembly
|GO_1902822|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||regulation of late endosome to lysosome transport
|GO_2000863|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""positive regulation of oestrogen secretion""]"|positive regulation of estrogen secretion
|GO_0010564|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||regulation of cell cycle process
|GO_1903830|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||magnesium ion transmembrane transport
|GO_0097326|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||melanocyte adhesion
|GO_0042117|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||monocyte activation
|GO_0010249|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""auxin conjugate metabolism""]"|auxin conjugate metabolic process
|GO_1903352|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||L-ornithine transmembrane transport
|GO_0051099|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""up regulation of binding"", ""up-regulation of binding"", ""upregulation of binding""]"|positive regulation of binding
|GO_0042487|Gene Ontology|http://purl.obolibrary.org/obo/go.owl|"[""regulation of odontogenesis of dentine-containing teeth"", ""regulation of odontogenesis of dentine-containing tooth""]"|regulation of odontogenesis of dentin-containing tooth
|GO_1990580|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||regulation of cytoplasmic translational termination
|GO_0110098|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||positive regulation of calcium import into the mitochondrion
|GO_0001958|Gene Ontology|http://purl.obolibrary.org/obo/go.owl||endochondral ossification
