id|pathway_name|source|source_url
R-HSA-1300645|Acrosome Reaction and Sperm:Oocyte Membrane Binding|REACTOME|https://reactome.org
R-HSA-2122948|Activated NOTCH1 Transmits Signal to the Nucleus|REACTOME|https://reactome.org
R-HSA-9032845|Activated NTRK2 signals through CDK5|REACTOME|https://reactome.org
R-HSA-9028731|Activated NTRK2 signals through FRS2 and FRS3|REACTOME|https://reactome.org
R-HSA-9032500|Activated NTRK2 signals through FYN|REACTOME|https://reactome.org
R-HSA-9028335|Activated NTRK2 signals through PI3K|REACTOME|https://reactome.org
R-HSA-9026527|Activated NTRK2 signals through PLCG1|REACTOME|https://reactome.org
R-HSA-9026519|Activated NTRK2 signals through RAS|REACTOME|https://reactome.org
R-HSA-9603381|Activated NTRK3 signals through PI3K|REACTOME|https://reactome.org
R-HSA-9034793|Activated NTRK3 signals through PLCG1|REACTOME|https://reactome.org
R-HSA-9034864|Activated NTRK3 signals through RAS|REACTOME|https://reactome.org
R-HSA-5625886|Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3|REACTOME|https://reactome.org
R-HSA-2033519|Activated point mutants of FGFR2|REACTOME|https://reactome.org
R-HSA-111452|Activation and oligomerization of BAK protein|REACTOME|https://reactome.org
R-HSA-165158|Activation of AKT2|REACTOME|https://reactome.org
R-HSA-399710|Activation of AMPA receptors|REACTOME|https://reactome.org
R-HSA-9619483|Activation of AMPK downstream of NMDARs|REACTOME|https://reactome.org
R-HSA-176814|Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins|REACTOME|https://reactome.org
R-HSA-176187|Activation of ATR in response to replication stress|REACTOME|https://reactome.org
R-HSA-111447|Activation of BAD and translocation to mitochondria |REACTOME|https://reactome.org
R-HSA-114452|Activation of BH3-only proteins|REACTOME|https://reactome.org
R-HSA-111446|Activation of BIM and translocation to mitochondria |REACTOME|https://reactome.org
R-HSA-139910|Activation of BMF and translocation to mitochondria|REACTOME|https://reactome.org
R-HSA-174577|Activation of C3 and C5|REACTOME|https://reactome.org
R-HSA-451308|Activation of Ca-permeable Kainate Receptor|REACTOME|https://reactome.org
R-HSA-1296041|Activation of G protein gated Potassium channels|REACTOME|https://reactome.org
R-HSA-991365|Activation of GABAB receptors|REACTOME|https://reactome.org
R-HSA-5619507|Activation of HOX genes during differentiation|REACTOME|https://reactome.org
R-HSA-936964|Activation of IRF3, IRF7 mediated by TBK1, IKBKE|REACTOME|https://reactome.org
R-HSA-1592389|Activation of Matrix Metalloproteinases|REACTOME|https://reactome.org
R-HSA-1169091|Activation of NF-kappaB in B cells|REACTOME|https://reactome.org
R-HSA-2980767|Activation of NIMA Kinases NEK9, NEK6, NEK7|REACTOME|https://reactome.org
R-HSA-442755|Activation of NMDA receptors and postsynaptic events|REACTOME|https://reactome.org
R-HSA-111448|Activation of NOXA and translocation to mitochondria|REACTOME|https://reactome.org
R-HSA-451307|Activation of Na-permeable kainate receptors|REACTOME|https://reactome.org
R-HSA-2151209|Activation of PPARGC1A (PGC-1alpha) by phosphorylation|REACTOME|https://reactome.org
R-HSA-139915|Activation of PUMA and translocation to mitochondria|REACTOME|https://reactome.org
R-HSA-428540|Activation of RAC1|REACTOME|https://reactome.org
R-HSA-9619229|Activation of RAC1 downstream of NMDARs|REACTOME|https://reactome.org
R-HSA-1169092|Activation of RAS in B cells|REACTOME|https://reactome.org
R-HSA-5635838|Activation of SMO|REACTOME|https://reactome.org
R-HSA-187015|Activation of TRKA receptors|REACTOME|https://reactome.org
R-HSA-5617472|Activation of anterior HOX genes in hindbrain development during early embryogenesis|REACTOME|https://reactome.org
R-HSA-111459|Activation of caspases through apoptosome-mediated cleavage|REACTOME|https://reactome.org
R-HSA-2426168|Activation of gene expression by SREBF (SREBP)|REACTOME|https://reactome.org
R-HSA-451326|Activation of kainate receptors upon glutamate binding|REACTOME|https://reactome.org
R-HSA-450341|Activation of the AP-1 family of transcription factors|REACTOME|https://reactome.org
R-HSA-8866907|Activation of the TFAP2 (AP-2) family of transcription factors|REACTOME|https://reactome.org
R-HSA-72662|Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S|REACTOME|https://reactome.org
R-HSA-2485179|Activation of the phototransduction cascade|REACTOME|https://reactome.org
R-HSA-68962|Activation of the pre-replicative complex|REACTOME|https://reactome.org
R-HSA-75108|Activation, myristolyation of BID and translocation to mitochondria|REACTOME|https://reactome.org
R-HSA-114294|Activation, translocation and oligomerization of BAX|REACTOME|https://reactome.org
R-HSA-1482798|Acyl chain remodeling of CL|REACTOME|https://reactome.org
R-HSA-1482883|Acyl chain remodeling of DAG and TAG|REACTOME|https://reactome.org
R-HSA-1482788|Acyl chain remodelling of PC|REACTOME|https://reactome.org
R-HSA-1482839|Acyl chain remodelling of PE|REACTOME|https://reactome.org
R-HSA-1482925|Acyl chain remodelling of PG|REACTOME|https://reactome.org
R-HSA-1482922|Acyl chain remodelling of PI|REACTOME|https://reactome.org
R-HSA-1482801|Acyl chain remodelling of PS|REACTOME|https://reactome.org
R-HSA-1280218|Adaptive Immune System|REACTOME|https://reactome.org
R-HSA-417973|Adenosine P1 receptors|REACTOME|https://reactome.org
R-HSA-170660|Adenylate cyclase activating pathway|REACTOME|https://reactome.org
R-HSA-170670|Adenylate cyclase inhibitory pathway|REACTOME|https://reactome.org
R-HSA-418990|Adherens junctions interactions|REACTOME|https://reactome.org
R-HSA-392023|Adrenaline signalling through Alpha-2 adrenergic receptor|REACTOME|https://reactome.org
R-HSA-400042|Adrenaline,noradrenaline inhibits insulin secretion|REACTOME|https://reactome.org
R-HSA-390696|Adrenoceptors|REACTOME|https://reactome.org
R-HSA-879415|Advanced glycosylation endproduct receptor signaling|REACTOME|https://reactome.org
R-HSA-5423646|Aflatoxin activation and detoxification|REACTOME|https://reactome.org
R-HSA-9646399|Aggrephagy|REACTOME|https://reactome.org
R-HSA-351143|Agmatine biosynthesis|REACTOME|https://reactome.org
R-HSA-8964540|Alanine metabolism|REACTOME|https://reactome.org
R-HSA-9730737|Alkylating DNA damage induced by chemotherapeutic drugs|REACTOME|https://reactome.org
R-HSA-1462054|Alpha-defensins|REACTOME|https://reactome.org
R-HSA-389599|Alpha-oxidation of phytanate|REACTOME|https://reactome.org
R-HSA-9645460|Alpha-protein kinase 1 signaling pathway|REACTOME|https://reactome.org
R-HSA-9006821|Alternative Lengthening of Telomeres (ALT)|REACTOME|https://reactome.org
R-HSA-173736|Alternative complement activation|REACTOME|https://reactome.org
R-HSA-140179|Amine Oxidase reactions|REACTOME|https://reactome.org
R-HSA-375280|Amine ligand-binding receptors|REACTOME|https://reactome.org
R-HSA-156587|Amino Acid conjugation|REACTOME|https://reactome.org
R-HSA-352230|Amino acid transport across the plasma membrane|REACTOME|https://reactome.org
R-HSA-9639288|Amino acids regulate mTORC1|REACTOME|https://reactome.org
R-HSA-141444|Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal|REACTOME|https://reactome.org
R-HSA-141424|Amplification of signal from the kinetochores|REACTOME|https://reactome.org
R-HSA-977225|Amyloid fiber formation|REACTOME|https://reactome.org
R-HSA-2214320|Anchoring fibril formation|REACTOME|https://reactome.org
R-HSA-5620912|Anchoring of the basal body to the plasma membrane|REACTOME|https://reactome.org
R-HSA-193048|Androgen biosynthesis|REACTOME|https://reactome.org
R-HSA-2473224|Antagonism of Activin by Follistatin|REACTOME|https://reactome.org
R-HSA-9662851|Anti-inflammatory response favouring Leishmania parasite infection|REACTOME|https://reactome.org
R-HSA-983170|Antigen Presentation: Folding, assembly and peptide loading of class I MHC|REACTOME|https://reactome.org
R-HSA-983695|Antigen activates B Cell Receptor (BCR) leading to generation of second messengers|REACTOME|https://reactome.org
R-HSA-1236975|Antigen processing-Cross presentation|REACTOME|https://reactome.org
R-HSA-983168|Antigen processing: Ubiquitination & Proteasome degradation|REACTOME|https://reactome.org
R-HSA-9639775|Antimicrobial action and antimicrobial resistance in Mtb|REACTOME|https://reactome.org
R-HSA-6803157|Antimicrobial peptides|REACTOME|https://reactome.org
R-HSA-1169410|Antiviral mechanism by IFN-stimulated genes|REACTOME|https://reactome.org
R-HSA-109581|Apoptosis|REACTOME|https://reactome.org
R-HSA-140342|Apoptosis induced DNA fragmentation|REACTOME|https://reactome.org
R-HSA-351906|Apoptotic cleavage of cell adhesion  proteins|REACTOME|https://reactome.org
R-HSA-111465|Apoptotic cleavage of cellular proteins|REACTOME|https://reactome.org
R-HSA-75153|Apoptotic execution phase|REACTOME|https://reactome.org
R-HSA-111471|Apoptotic factor-mediated response|REACTOME|https://reactome.org
R-HSA-445717|Aquaporin-mediated transport|REACTOME|https://reactome.org
R-HSA-426048|Arachidonate production from DAG|REACTOME|https://reactome.org
R-HSA-2142753|Arachidonic acid metabolism|REACTOME|https://reactome.org
R-HSA-211957|Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2|REACTOME|https://reactome.org
R-HSA-8937144|Aryl hydrocarbon receptor signalling|REACTOME|https://reactome.org
R-HSA-446203|Asparagine N-linked glycosylation|REACTOME|https://reactome.org
R-HSA-8963693|Aspartate and asparagine metabolism|REACTOME|https://reactome.org
R-HSA-9749641|Aspirin ADME|REACTOME|https://reactome.org
R-HSA-175474|Assembly Of The HIV Virion|REACTOME|https://reactome.org
R-HSA-9609736|Assembly and cell surface presentation of NMDA receptors|REACTOME|https://reactome.org
R-HSA-168316|Assembly of Viral Components at the Budding Site|REACTOME|https://reactome.org
R-HSA-8963889|Assembly of active LPL and LIPC lipase complexes|REACTOME|https://reactome.org
R-HSA-2022090|Assembly of collagen fibrils and other multimeric structures|REACTOME|https://reactome.org
R-HSA-68616|Assembly of the ORC complex at the origin of replication|REACTOME|https://reactome.org
R-HSA-9683439|Assembly of the SARS-CoV-1 Replication-Transcription Complex (RTC)|REACTOME|https://reactome.org
R-HSA-9694271|Assembly of the SARS-CoV-2 Replication-Transcription Complex (RTC)|REACTOME|https://reactome.org
R-HSA-68867|Assembly of the pre-replicative complex|REACTOME|https://reactome.org
R-HSA-390471|Association of TriC/CCT with target proteins during biosynthesis|REACTOME|https://reactome.org
R-HSA-210455|Astrocytic Glutamate-Glutamine Uptake And Metabolism|REACTOME|https://reactome.org
R-HSA-4608870|Asymmetric localization of PCP proteins|REACTOME|https://reactome.org
R-HSA-9754706|Atorvastatin ADME|REACTOME|https://reactome.org
R-HSA-9678110|Attachment and Entry|REACTOME|https://reactome.org
R-HSA-9694614|Attachment and Entry|REACTOME|https://reactome.org
R-HSA-162791|Attachment of GPI anchor to uPAR|REACTOME|https://reactome.org
R-HSA-3371568|Attenuation phase|REACTOME|https://reactome.org
R-HSA-174084|Autodegradation of Cdh1 by Cdh1:APC/C|REACTOME|https://reactome.org
R-HSA-349425|Autodegradation of the E3 ubiquitin ligase COP1|REACTOME|https://reactome.org
R-HSA-177539|Autointegration results in viral DNA circles|REACTOME|https://reactome.org
R-HSA-9612973|Autophagy|REACTOME|https://reactome.org
R-HSA-422475|Axon guidance|REACTOME|https://reactome.org
R-HSA-193634|Axonal growth inhibition (RHOA activation)|REACTOME|https://reactome.org
R-HSA-209563|Axonal growth stimulation|REACTOME|https://reactome.org
R-HSA-9748787|Azathioprine ADME|REACTOME|https://reactome.org
R-HSA-5250924|B-WICH complex positively regulates rRNA expression|REACTOME|https://reactome.org
R-HSA-5620922|BBSome-mediated cargo-targeting to cilium|REACTOME|https://reactome.org
R-HSA-9024909|BDNF activates NTRK2 (TRKB) signaling|REACTOME|https://reactome.org
R-HSA-111453|BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members|REACTOME|https://reactome.org
R-HSA-1368108|BMAL1:CLOCK,NPAS2 activates circadian gene expression|REACTOME|https://reactome.org
R-HSA-9824439|Bacterial Infection Pathways|REACTOME|https://reactome.org
R-HSA-73884|Base Excision Repair|REACTOME|https://reactome.org
R-HSA-73929|Base-Excision Repair, AP Site Formation|REACTOME|https://reactome.org
R-HSA-210991|Basigin interactions|REACTOME|https://reactome.org
R-HSA-1461957|Beta defensins|REACTOME|https://reactome.org
R-HSA-77352|Beta oxidation of butanoyl-CoA to acetyl-CoA|REACTOME|https://reactome.org
R-HSA-77346|Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA|REACTOME|https://reactome.org
R-HSA-77350|Beta oxidation of hexanoyl-CoA to butanoyl-CoA|REACTOME|https://reactome.org
R-HSA-77310|Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA|REACTOME|https://reactome.org
R-HSA-77285|Beta oxidation of myristoyl-CoA to lauroyl-CoA|REACTOME|https://reactome.org
R-HSA-77348|Beta oxidation of octanoyl-CoA to hexanoyl-CoA|REACTOME|https://reactome.org
R-HSA-77305|Beta oxidation of palmitoyl-CoA to myristoyl-CoA|REACTOME|https://reactome.org
R-HSA-3858494|Beta-catenin independent WNT signaling|REACTOME|https://reactome.org
R-HSA-196299|Beta-catenin phosphorylation cascade|REACTOME|https://reactome.org
R-HSA-389887|Beta-oxidation of pristanoyl-CoA|REACTOME|https://reactome.org
R-HSA-390247|Beta-oxidation of very long chain fatty acids|REACTOME|https://reactome.org
R-HSA-425381|Bicarbonate transporters|REACTOME|https://reactome.org
R-HSA-194068|Bile acid and bile salt metabolism|REACTOME|https://reactome.org
R-HSA-2173782|Binding and Uptake of Ligands by Scavenger Receptors|REACTOME|https://reactome.org
R-HSA-173107|Binding and entry of HIV virion|REACTOME|https://reactome.org
R-HSA-4411364|Binding of TCF/LEF:CTNNB1 to target gene promoters|REACTOME|https://reactome.org
R-HSA-141333|Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB|REACTOME|https://reactome.org
R-HSA-211859|Biological oxidations|REACTOME|https://reactome.org
R-HSA-2466712|Biosynthesis of A2E, implicated in retinal degradation|REACTOME|https://reactome.org
R-HSA-9018676|Biosynthesis of D-series resolvins|REACTOME|https://reactome.org
R-HSA-9018677|Biosynthesis of DHA-derived SPMs|REACTOME|https://reactome.org
R-HSA-9026395|Biosynthesis of DHA-derived sulfido conjugates|REACTOME|https://reactome.org
R-HSA-9018683|Biosynthesis of DPA-derived SPMs|REACTOME|https://reactome.org
R-HSA-9025094|Biosynthesis of DPAn-3 SPMs|REACTOME|https://reactome.org
R-HSA-9026403|Biosynthesis of DPAn-3-derived 13-series resolvins|REACTOME|https://reactome.org
R-HSA-9026290|Biosynthesis of DPAn-3-derived maresins|REACTOME|https://reactome.org
R-HSA-9026286|Biosynthesis of DPAn-3-derived protectins and resolvins|REACTOME|https://reactome.org
R-HSA-9025106|Biosynthesis of DPAn-6 SPMs|REACTOME|https://reactome.org
R-HSA-9023661|Biosynthesis of E-series 18(R)-resolvins|REACTOME|https://reactome.org
R-HSA-9018896|Biosynthesis of E-series 18(S)-resolvins|REACTOME|https://reactome.org
R-HSA-9018679|Biosynthesis of EPA-derived SPMs|REACTOME|https://reactome.org
R-HSA-9020265|Biosynthesis of aspirin-triggered D-series resolvins|REACTOME|https://reactome.org
R-HSA-9027604|Biosynthesis of electrophilic ω-3 PUFA oxo-derivatives|REACTOME|https://reactome.org
R-HSA-9026762|Biosynthesis of maresin conjugates in tissue regeneration (MCTR)|REACTOME|https://reactome.org
R-HSA-9027307|Biosynthesis of maresin-like SPMs|REACTOME|https://reactome.org
R-HSA-9018682|Biosynthesis of maresins|REACTOME|https://reactome.org
R-HSA-9026766|Biosynthesis of protectin and resolvin conjugates in tissue regeneration (PCTR and RCTR)|REACTOME|https://reactome.org
R-HSA-9018681|Biosynthesis of protectins|REACTOME|https://reactome.org
R-HSA-9018678|Biosynthesis of specialized proresolving mediators (SPMs)|REACTOME|https://reactome.org
R-HSA-446193|Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein|REACTOME|https://reactome.org
R-HSA-196780|Biotin transport and metabolism|REACTOME|https://reactome.org
R-HSA-9636467|Blockage of phagosome acidification|REACTOME|https://reactome.org
R-HSA-9033658|Blood group systems biosynthesis|REACTOME|https://reactome.org
R-HSA-70895|Branched-chain amino acid catabolism|REACTOME|https://reactome.org
R-HSA-352238|Breakdown of the nuclear lamina|REACTOME|https://reactome.org
R-HSA-168302|Budding|REACTOME|https://reactome.org
R-HSA-162588|Budding and maturation of HIV virion|REACTOME|https://reactome.org
R-HSA-450385|Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA|REACTOME|https://reactome.org
R-HSA-8851680|Butyrophilin (BTN) family interactions|REACTOME|https://reactome.org
R-HSA-5621481|C-type lectin receptors (CLRs)|REACTOME|https://reactome.org
R-HSA-75102|C6 deamination of adenosine|REACTOME|https://reactome.org
R-HSA-5218900|CASP8 activity is inhibited|REACTOME|https://reactome.org
R-HSA-9662834|CD163 mediating an anti-inflammatory response|REACTOME|https://reactome.org
R-HSA-5621575|CD209 (DC-SIGN) signaling|REACTOME|https://reactome.org
R-HSA-5690714|CD22 mediated BCR regulation|REACTOME|https://reactome.org
R-HSA-389356|CD28 co-stimulation|REACTOME|https://reactome.org
R-HSA-389357|CD28 dependent PI3K/Akt signaling|REACTOME|https://reactome.org
R-HSA-389359|CD28 dependent Vav1 pathway|REACTOME|https://reactome.org
R-HSA-9013148|CDC42 GTPase cycle|REACTOME|https://reactome.org
R-HSA-68689|CDC6 association with the ORC:origin complex|REACTOME|https://reactome.org
R-HSA-9833576|CDH11 homotypic and heterotypic interactions|REACTOME|https://reactome.org
R-HSA-69017|CDK-mediated phosphorylation and removal of Cdc6|REACTOME|https://reactome.org
R-HSA-447041|CHL1 interactions|REACTOME|https://reactome.org
R-HSA-5607763|CLEC7A (Dectin-1) induces NFAT activation|REACTOME|https://reactome.org
R-HSA-5607764|CLEC7A (Dectin-1) signaling|REACTOME|https://reactome.org
R-HSA-5660668|CLEC7A/inflammasome pathway|REACTOME|https://reactome.org
R-HSA-6811434|COPI-dependent Golgi-to-ER retrograde traffic|REACTOME|https://reactome.org
R-HSA-6811436|COPI-independent Golgi-to-ER retrograde traffic|REACTOME|https://reactome.org
R-HSA-6807878|COPI-mediated anterograde transport|REACTOME|https://reactome.org
R-HSA-204005|COPII-mediated vesicle transport|REACTOME|https://reactome.org
R-HSA-140180|COX reactions|REACTOME|https://reactome.org
R-HSA-199920|CREB phosphorylation|REACTOME|https://reactome.org
R-HSA-442742|CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling|REACTOME|https://reactome.org
R-HSA-442720|CREB1 phosphorylation through the activation of Adenylate Cyclase|REACTOME|https://reactome.org
R-HSA-442729|CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde|REACTOME|https://reactome.org
R-HSA-8874211|CREB3 factors activate genes|REACTOME|https://reactome.org
R-HSA-399956|CRMPs in Sema3A signaling|REACTOME|https://reactome.org
R-HSA-2024101|CS/DS degradation|REACTOME|https://reactome.org
R-HSA-389513|CTLA4 inhibitory signaling|REACTOME|https://reactome.org
R-HSA-5358747|CTNNB1 S33 mutants arent phosphorylated|REACTOME|https://reactome.org
R-HSA-5358749|CTNNB1 S37 mutants arent phosphorylated|REACTOME|https://reactome.org
R-HSA-5358751|CTNNB1 S45 mutants arent phosphorylated|REACTOME|https://reactome.org
R-HSA-5358752|CTNNB1 T41 mutants arent phosphorylated|REACTOME|https://reactome.org
R-HSA-211999|CYP2E1 reactions|REACTOME|https://reactome.org
R-HSA-111996|Ca-dependent events|REACTOME|https://reactome.org
R-HSA-1296052|Ca2+ activated K+ channels|REACTOME|https://reactome.org
R-HSA-4086398|Ca2+ pathway|REACTOME|https://reactome.org
R-HSA-111997|CaM pathway|REACTOME|https://reactome.org
R-HSA-111932|CaMK IV-mediated phosphorylation of CREB|REACTOME|https://reactome.org
R-HSA-2025928|Calcineurin activates NFAT|REACTOME|https://reactome.org
R-HSA-419812|Calcitonin-like ligand receptors|REACTOME|https://reactome.org
R-HSA-111933|Calmodulin induced events|REACTOME|https://reactome.org
R-HSA-901042|Calnexin/calreticulin cycle|REACTOME|https://reactome.org
R-HSA-111957|Cam-PDE 1 activation|REACTOME|https://reactome.org
R-HSA-72737|Cap-dependent Translation Initiation|REACTOME|https://reactome.org
R-HSA-8955332|Carboxyterminal post-translational modifications of tubulin|REACTOME|https://reactome.org
R-HSA-5576891|Cardiac conduction|REACTOME|https://reactome.org
R-HSA-9733709|Cardiogenesis|REACTOME|https://reactome.org
R-HSA-5694530|Cargo concentration in the ER|REACTOME|https://reactome.org
R-HSA-8856825|Cargo recognition for clathrin-mediated endocytosis|REACTOME|https://reactome.org
R-HSA-5620920|Cargo trafficking to the periciliary membrane|REACTOME|https://reactome.org
R-HSA-200425|Carnitine metabolism|REACTOME|https://reactome.org
R-HSA-71262|Carnitine synthesis|REACTOME|https://reactome.org
R-HSA-140534|Caspase activation via Death Receptors in the presence of ligand|REACTOME|https://reactome.org
R-HSA-418889|Caspase activation via Dependence Receptors in the absence of ligand|REACTOME|https://reactome.org
R-HSA-5357769|Caspase activation via extrinsic apoptotic signalling pathway|REACTOME|https://reactome.org
R-HSA-264870|Caspase-mediated cleavage of cytoskeletal proteins|REACTOME|https://reactome.org
R-HSA-209905|Catecholamine biosynthesis|REACTOME|https://reactome.org
R-HSA-426117|Cation-coupled Chloride cotransporters|REACTOME|https://reactome.org
R-HSA-174184|Cdc20:Phospho-APC/C mediated degradation of Cyclin A|REACTOME|https://reactome.org
R-HSA-1640170|Cell Cycle|REACTOME|https://reactome.org
R-HSA-69620|Cell Cycle Checkpoints|REACTOME|https://reactome.org
R-HSA-69278|Cell Cycle, Mitotic|REACTOME|https://reactome.org
R-HSA-204998|Cell death signalling via NRAGE, NRIF and NADE|REACTOME|https://reactome.org
R-HSA-446728|Cell junction organization|REACTOME|https://reactome.org
R-HSA-9664424|Cell recruitment (pro-inflammatory response)|REACTOME|https://reactome.org
R-HSA-1222541|Cell redox homeostasis|REACTOME|https://reactome.org
R-HSA-202733|Cell surface interactions at the vascular wall|REACTOME|https://reactome.org
R-HSA-1500931|Cell-Cell communication|REACTOME|https://reactome.org
R-HSA-421270|Cell-cell junction organization|REACTOME|https://reactome.org
R-HSA-446353|Cell-extracellular matrix interactions|REACTOME|https://reactome.org
R-HSA-2559583|Cellular Senescence|REACTOME|https://reactome.org
R-HSA-189200|Cellular hexose transport|REACTOME|https://reactome.org
R-HSA-9711123|Cellular response to chemical stress|REACTOME|https://reactome.org
R-HSA-3371556|Cellular response to heat stress|REACTOME|https://reactome.org
R-HSA-1234174|Cellular response to hypoxia|REACTOME|https://reactome.org
R-HSA-9711097|Cellular response to starvation|REACTOME|https://reactome.org
R-HSA-8953897|Cellular responses to stimuli|REACTOME|https://reactome.org
R-HSA-2262752|Cellular responses to stress|REACTOME|https://reactome.org
R-HSA-380287|Centrosome maturation|REACTOME|https://reactome.org
R-HSA-193681|Ceramide signalling|REACTOME|https://reactome.org
R-HSA-163765|ChREBP activates metabolic gene expression|REACTOME|https://reactome.org
R-HSA-9613829|Chaperone Mediated Autophagy|REACTOME|https://reactome.org
R-HSA-390466|Chaperonin-mediated protein folding|REACTOME|https://reactome.org
