interaction_type|label|reactome_pathway|source|source_id|source_type|source_url|target_id|target_type
physical association|interacts_with|R-HSA-2161354|Reactome|Q9Y6C2|protein|https://reactome.org/|Q9Y6C2|protein
physical association|interacts_with|R-HSA-2161398|Reactome|Q9BXX0|protein|https://reactome.org/|Q9BXX0|protein
physical association|interacts_with|R-HSA-2161347|Reactome|Q9NT22|protein|https://reactome.org/|Q9NT22|protein
physical association|interacts_with|R-HSA-9020831|Reactome|P63261|protein|https://reactome.org/|P63261|protein
physical association|interacts_with|R-HSA-9917581|Reactome|P62736|protein|https://reactome.org/|P62736|protein
physical association|interacts_with|R-HSA-9917581|Reactome|P63267|protein|https://reactome.org/|P63267|protein
physical association|interacts_with|R-HSA-9917581|Reactome|P62736|protein|https://reactome.org/|P63267|protein
physical association|interacts_with|R-HSA-9913263|Reactome|P60709|protein|https://reactome.org/|P68032|protein
physical association|interacts_with|R-HSA-9913263|Reactome|P60709|protein|https://reactome.org/|P62736|protein
physical association|interacts_with|R-HSA-9913263|Reactome|P60709|protein|https://reactome.org/|P60709|protein
physical association|interacts_with|R-HSA-9913263|Reactome|P60709|protein|https://reactome.org/|P63267|protein
physical association|interacts_with|R-HSA-9913263|Reactome|P63261|protein|https://reactome.org/|P68133|protein
physical association|interacts_with|R-HSA-9913263|Reactome|P68133|protein|https://reactome.org/|P68133|protein
physical association|interacts_with|R-HSA-9913263|Reactome|P68032|protein|https://reactome.org/|P62736|protein
physical association|interacts_with|R-HSA-9913263|Reactome|P63261|protein|https://reactome.org/|P68032|protein
physical association|interacts_with|R-HSA-9913263|Reactome|P63261|protein|https://reactome.org/|P60709|protein
physical association|interacts_with|R-HSA-9913263|Reactome|P63261|protein|https://reactome.org/|P63267|protein
physical association|interacts_with|R-HSA-9913263|Reactome|P68133|protein|https://reactome.org/|P62736|protein
physical association|interacts_with|R-HSA-9913263|Reactome|P68032|protein|https://reactome.org/|P68032|protein
physical association|interacts_with|R-HSA-9913263|Reactome|P68032|protein|https://reactome.org/|P68133|protein
physical association|interacts_with|R-HSA-9913263|Reactome|P63261|protein|https://reactome.org/|P62736|protein
physical association|interacts_with|R-HSA-9913263|Reactome|P68032|protein|https://reactome.org/|P63267|protein
physical association|interacts_with|R-HSA-9913263|Reactome|P60709|protein|https://reactome.org/|P68133|protein
physical association|interacts_with|R-HSA-9913263|Reactome|P68133|protein|https://reactome.org/|P63267|protein
physical association|interacts_with|R-HSA-2685660|Reactome|P01834|protein|https://reactome.org/|P12319|protein
physical association|interacts_with|R-HSA-2685660|Reactome|P01854|protein|https://reactome.org/|P01854|protein
physical association|interacts_with|R-HSA-2685660|Reactome|P01834|protein|https://reactome.org/|Q01362|protein
physical association|interacts_with|R-HSA-2685660|Reactome|P01834|protein|https://reactome.org/|P01854|protein
physical association|interacts_with|R-HSA-2685660|Reactome|P01834|protein|https://reactome.org/|P30273|protein
physical association|interacts_with|R-HSA-2685660|Reactome|Q01362|protein|https://reactome.org/|P12319|protein
physical association|interacts_with|R-HSA-2685660|Reactome|P12319|protein|https://reactome.org/|P12319|protein
physical association|interacts_with|R-HSA-2685660|Reactome|Q01362|protein|https://reactome.org/|Q01362|protein
physical association|interacts_with|R-HSA-2685660|Reactome|P01854|protein|https://reactome.org/|P12319|protein
physical association|interacts_with|R-HSA-2685660|Reactome|P01834|protein|https://reactome.org/|P01834|protein
physical association|interacts_with|R-HSA-2685660|Reactome|Q01362|protein|https://reactome.org/|P30273|protein
physical association|interacts_with|R-HSA-2685660|Reactome|P30273|protein|https://reactome.org/|P30273|protein
physical association|interacts_with|R-HSA-2685660|Reactome|P30273|protein|https://reactome.org/|P12319|protein
physical association|interacts_with|R-HSA-2685660|Reactome|P01854|protein|https://reactome.org/|Q01362|protein
physical association|interacts_with|R-HSA-2685660|Reactome|P01854|protein|https://reactome.org/|P30273|protein
physical association|interacts_with|R-HSA-6814323|Reactome|Q7Z3Y9|protein|https://reactome.org/|Q7Z3Z0|protein
physical association|interacts_with|R-HSA-6814323|Reactome|P20930|protein|https://reactome.org/|P20930|protein
physical association|interacts_with|R-HSA-6814323|Reactome|Q7Z3Y7|protein|https://reactome.org/|Q7Z3Z0|protein
physical association|interacts_with|R-HSA-6814323|Reactome|Q7Z3Y8|protein|https://reactome.org/|Q7Z3Z0|protein
physical association|interacts_with|R-HSA-6814323|Reactome|Q7Z3Z0|protein|https://reactome.org/|P20930|protein
physical association|interacts_with|R-HSA-6814323|Reactome|Q7Z3Y7|protein|https://reactome.org/|P20930|protein
physical association|interacts_with|R-HSA-6814323|Reactome|Q7Z3Z0|protein|https://reactome.org/|Q7Z3Z0|protein
physical association|interacts_with|R-HSA-6814323|Reactome|Q7Z3Y9|protein|https://reactome.org/|P20930|protein
physical association|interacts_with|R-HSA-6814323|Reactome|Q7Z3Y7|protein|https://reactome.org/|Q7Z3Y9|protein
physical association|interacts_with|R-HSA-6814323|Reactome|Q7Z3Y9|protein|https://reactome.org/|Q7Z3Y9|protein
physical association|interacts_with|R-HSA-6814323|Reactome|Q7Z3Y8|protein|https://reactome.org/|P20930|protein
physical association|interacts_with|R-HSA-6814323|Reactome|Q7Z3Y7|protein|https://reactome.org/|Q7Z3Y7|protein
physical association|interacts_with|R-HSA-6814323|Reactome|Q7Z3Y7|protein|https://reactome.org/|Q7Z3Y8|protein
physical association|interacts_with|R-HSA-6814323|Reactome|Q7Z3Y9|protein|https://reactome.org/|Q7Z3Y8|protein
physical association|interacts_with|R-HSA-6814323|Reactome|Q7Z3Y8|protein|https://reactome.org/|Q7Z3Y8|protein
physical association|interacts_with|R-HSA-9947869|Reactome|P32455|protein|https://reactome.org/|P32455|protein
physical association|interacts_with|R-HSA-976919|Reactome|P06396|protein|https://reactome.org/|P06396|protein
physical association|interacts_with|R-HSA-982799|Reactome|P01242|protein|https://reactome.org/|P01242|protein
physical association|interacts_with|R-HSA-982799|Reactome|P01242|protein|https://reactome.org/|P01241|protein
physical association|interacts_with|R-HSA-982799|Reactome|P01241|protein|https://reactome.org/|P01241|protein
physical association|interacts_with|R-HSA-1678773|Reactome|Q68CP4|protein|https://reactome.org/|Q68CP4|protein
physical association|interacts_with|R-HSA-5218689|Reactome|P04792|protein|https://reactome.org/|P04792|protein
physical association|interacts_with|R-HSA-9626247|Reactome|P11142|protein|https://reactome.org/|P07900|protein
physical association|interacts_with|R-HSA-9626247|Reactome|P11142|protein|https://reactome.org/|P08238|protein
physical association|interacts_with|R-HSA-9626247|Reactome|P08238|protein|https://reactome.org/|P13473|protein
physical association|interacts_with|R-HSA-9626247|Reactome|P07900|protein|https://reactome.org/|P08238|protein
physical association|interacts_with|R-HSA-9626247|Reactome|P11142|protein|https://reactome.org/|P11142|protein
physical association|interacts_with|R-HSA-9626247|Reactome|P07900|protein|https://reactome.org/|P07900|protein
physical association|interacts_with|R-HSA-9626247|Reactome|P08238|protein|https://reactome.org/|P08238|protein
physical association|interacts_with|R-HSA-9626247|Reactome|P07900|protein|https://reactome.org/|P13473|protein
physical association|interacts_with|R-HSA-9626247|Reactome|P13473|protein|https://reactome.org/|P13473|protein
physical association|interacts_with|R-HSA-9626247|Reactome|P11142|protein|https://reactome.org/|P13473|protein
physical association|interacts_with|R-HSA-976981|Reactome|P10997|protein|https://reactome.org/|P10997|protein
physical association|interacts_with|R-HSA-5607625|Reactome|Q9Y4K3|protein|https://reactome.org/|Q9Y4K3|protein
physical association|interacts_with|R-HSA-2272704|Reactome|Q14954|protein|https://reactome.org/|Q14954|protein
physical association|interacts_with|R-HSA-446069|Reactome|P13647|protein|https://reactome.org/|P13647|protein
physical association|interacts_with|R-HSA-446069|Reactome|P02533|protein|https://reactome.org/|P02533|protein
physical association|interacts_with|R-HSA-977188|Reactome|Q15582|protein|https://reactome.org/|Q15582|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q13099|protein|https://reactome.org/|Q9UBN7|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P07900|protein|https://reactome.org/|P13569|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q13099|protein|https://reactome.org/|O60664|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P08238|protein|https://reactome.org/|Q13099|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q13099|protein|https://reactome.org/|P13569|protein
physical association|interacts_with|R-HSA-9625170|Reactome|O95613|protein|https://reactome.org/|Q99497|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P07900|protein|https://reactome.org/|P68871|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q3SXY8|protein|https://reactome.org/|Q99497|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P07900|protein|https://reactome.org/|Q12798|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P08238|protein|https://reactome.org/|O95613|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P68871|protein|https://reactome.org/|Q12798|protein
physical association|interacts_with|R-HSA-9625170|Reactome|O95613|protein|https://reactome.org/|O60664|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q3SXY8|protein|https://reactome.org/|Q9UBN7|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q3SXY8|protein|https://reactome.org/|P13569|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P07900|protein|https://reactome.org/|Q99497|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q99497|protein|https://reactome.org/|Q99497|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P13473|protein|https://reactome.org/|Q13099|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q13099|protein|https://reactome.org/|Q13099|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q12798|protein|https://reactome.org/|P08670|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P08238|protein|https://reactome.org/|Q99497|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q12798|protein|https://reactome.org/|P07998|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P13569|protein|https://reactome.org/|Q99497|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q3SXY8|protein|https://reactome.org/|O60664|protein
physical association|interacts_with|R-HSA-9625170|Reactome|O95613|protein|https://reactome.org/|Q13099|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q13099|protein|https://reactome.org/|Q99497|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P13473|protein|https://reactome.org/|Q9UBN7|protein
physical association|interacts_with|R-HSA-9625170|Reactome|O95613|protein|https://reactome.org/|Q3SXY8|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P13473|protein|https://reactome.org/|P08670|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P08670|protein|https://reactome.org/|Q99541|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q99541|protein|https://reactome.org/|P07998|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q99497|protein|https://reactome.org/|O60664|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q13099|protein|https://reactome.org/|Q3SXY8|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q9UBN7|protein|https://reactome.org/|Q99541|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P13473|protein|https://reactome.org/|O95613|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P68871|protein|https://reactome.org/|P07998|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P07900|protein|https://reactome.org/|Q13099|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P68871|protein|https://reactome.org/|Q99497|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P68871|protein|https://reactome.org/|O60664|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P08238|protein|https://reactome.org/|Q3SXY8|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P13569|protein|https://reactome.org/|Q9UBN7|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P68871|protein|https://reactome.org/|O95613|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P07900|protein|https://reactome.org/|Q99541|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q99497|protein|https://reactome.org/|P08670|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P13569|protein|https://reactome.org/|P08670|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q99497|protein|https://reactome.org/|P07998|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q3SXY8|protein|https://reactome.org/|P07998|protein
physical association|interacts_with|R-HSA-9625170|Reactome|O95613|protein|https://reactome.org/|O95613|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P08238|protein|https://reactome.org/|P68871|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P07900|protein|https://reactome.org/|O60664|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P13473|protein|https://reactome.org/|P07998|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P68871|protein|https://reactome.org/|P68871|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q12798|protein|https://reactome.org/|Q13099|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P07900|protein|https://reactome.org/|O95613|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P68871|protein|https://reactome.org/|Q99541|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P08670|protein|https://reactome.org/|O60664|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P08238|protein|https://reactome.org/|P13569|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q3SXY8|protein|https://reactome.org/|P08670|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q12798|protein|https://reactome.org/|Q9UBN7|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P13473|protein|https://reactome.org/|O60664|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q9UBN7|protein|https://reactome.org/|O60664|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q3SXY8|protein|https://reactome.org/|Q99541|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P08238|protein|https://reactome.org/|Q12798|protein
physical association|interacts_with|R-HSA-9625170|Reactome|O95613|protein|https://reactome.org/|Q9UBN7|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P13569|protein|https://reactome.org/|P13569|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q99541|protein|https://reactome.org/|O60664|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P68871|protein|https://reactome.org/|P08670|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P13569|protein|https://reactome.org/|O60664|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q12798|protein|https://reactome.org/|Q99497|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q99497|protein|https://reactome.org/|Q99541|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P08238|protein|https://reactome.org/|O60664|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P08238|protein|https://reactome.org/|Q99541|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P07900|protein|https://reactome.org/|Q9UBN7|protein
physical association|interacts_with|R-HSA-9625170|Reactome|O60664|protein|https://reactome.org/|O60664|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P68871|protein|https://reactome.org/|Q9UBN7|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q12798|protein|https://reactome.org/|O95613|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P07900|protein|https://reactome.org/|P08670|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P08238|protein|https://reactome.org/|P07998|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q13099|protein|https://reactome.org/|P07998|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P13473|protein|https://reactome.org/|P13569|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P13473|protein|https://reactome.org/|Q12798|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q9UBN7|protein|https://reactome.org/|P07998|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q9UBN7|protein|https://reactome.org/|P08670|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P08670|protein|https://reactome.org/|P07998|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q13099|protein|https://reactome.org/|P08670|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P13473|protein|https://reactome.org/|Q99541|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q99497|protein|https://reactome.org/|Q9UBN7|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q12798|protein|https://reactome.org/|Q99541|protein
physical association|interacts_with|R-HSA-9625170|Reactome|O95613|protein|https://reactome.org/|P07998|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P13473|protein|https://reactome.org/|P68871|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P07900|protein|https://reactome.org/|P07998|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q13099|protein|https://reactome.org/|Q99541|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P08670|protein|https://reactome.org/|P08670|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q12798|protein|https://reactome.org/|Q3SXY8|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P13569|protein|https://reactome.org/|P07998|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q12798|protein|https://reactome.org/|P13569|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q99541|protein|https://reactome.org/|Q99541|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P08238|protein|https://reactome.org/|Q9UBN7|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P08238|protein|https://reactome.org/|P08670|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P68871|protein|https://reactome.org/|Q3SXY8|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P13473|protein|https://reactome.org/|Q99497|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P13473|protein|https://reactome.org/|Q3SXY8|protein
physical association|interacts_with|R-HSA-9625170|Reactome|O95613|protein|https://reactome.org/|P08670|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q9UBN7|protein|https://reactome.org/|Q9UBN7|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P68871|protein|https://reactome.org/|Q13099|protein
physical association|interacts_with|R-HSA-9625170|Reactome|O95613|protein|https://reactome.org/|Q99541|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P07998|protein|https://reactome.org/|P07998|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P07900|protein|https://reactome.org/|Q3SXY8|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P13569|protein|https://reactome.org/|Q99541|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q3SXY8|protein|https://reactome.org/|Q3SXY8|protein
physical association|interacts_with|R-HSA-9625170|Reactome|P68871|protein|https://reactome.org/|P13569|protein
physical association|interacts_with|R-HSA-9625170|Reactome|O95613|protein|https://reactome.org/|P13569|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q12798|protein|https://reactome.org/|Q12798|protein
physical association|interacts_with|R-HSA-9625170|Reactome|O60664|protein|https://reactome.org/|P07998|protein
physical association|interacts_with|R-HSA-9625170|Reactome|Q12798|protein|https://reactome.org/|O60664|protein
physical association|interacts_with|R-HSA-977101|Reactome|P02788|protein|https://reactome.org/|P02788|protein
physical association|interacts_with|R-HSA-5228493|Reactome|P02545|protein|https://reactome.org/|P02545|protein
physical association|interacts_with|R-HSA-2685673|Reactome|Q9UDY8|protein|https://reactome.org/|Q9UDY8|protein
physical association|interacts_with|R-HSA-1296412|Reactome|Q9C000|protein|https://reactome.org/|Q9C000|protein
physical association|interacts_with|R-HSA-977096|Reactome|Q08431|protein|https://reactome.org/|Q08431|protein
physical association|interacts_with|R-HSA-5690698|Reactome|P20273|protein|https://reactome.org/|P20273|protein
physical association|interacts_with|R-NUL-1296409|Reactome|P09616|protein|https://reactome.org/|P05067|protein
physical association|interacts_with|R-NUL-1296409|Reactome|Q96P20|protein|https://reactome.org/|P09616|protein
physical association|interacts_with|R-NUL-1296409|Reactome|P09616|protein|https://reactome.org/|P09616|protein
physical association|interacts_with|R-NUL-1296409|Reactome|Q96P20|protein|https://reactome.org/|P05067|protein
physical association|interacts_with|R-NUL-1296409|Reactome|Q96P20|protein|https://reactome.org/|Q96P20|protein
physical association|interacts_with|R-HSA-977087|Reactome|A1E959|protein|https://reactome.org/|A1E959|protein
physical association|interacts_with|R-HSA-451771|Reactome|Q9NP85|protein|https://reactome.org/|Q9NP85|protein
physical association|interacts_with|R-HSA-976974|Reactome|P01236|protein|https://reactome.org/|P01236|protein
physical association|interacts_with|R-HSA-182548|Reactome|P27918|protein|https://reactome.org/|P27918|protein
physical association|interacts_with|R-HSA-194455|Reactome|Q9BZR6|protein|https://reactome.org/|Q9BZR6|protein
physical association|interacts_with|R-HSA-8943989|Reactome|Q8IWY4|protein|https://reactome.org/|Q8IWY4|protein
physical association|interacts_with|R-HSA-8943989|Reactome|Q8IX30|protein|https://reactome.org/|Q8IX30|protein
physical association|interacts_with|R-HSA-8943989|Reactome|Q8IX30|protein|https://reactome.org/|Q8IWY4|protein
physical association|interacts_with|R-HSA-391092|Reactome|Q8IWL2|protein|https://reactome.org/|Q8IWL1|protein
physical association|interacts_with|R-HSA-391092|Reactome|Q8IWL1|protein|https://reactome.org/|Q8IWL1|protein
physical association|interacts_with|R-HSA-391092|Reactome|Q8IWL2|protein|https://reactome.org/|Q8IWL2|protein
physical association|interacts_with|R-HSA-391097|Reactome|P35247|protein|https://reactome.org/|P35247|protein
physical association|interacts_with|R-HSA-977079|Reactome|P04279|protein|https://reactome.org/|P04279|protein
physical association|interacts_with|R-HSA-2682389|Reactome|P02462|protein|https://reactome.org/|P02462|protein
physical association|interacts_with|R-HSA-2682389|Reactome|P08572|protein|https://reactome.org/|P02462|protein
physical association|interacts_with|R-HSA-2682389|Reactome|P08572|protein|https://reactome.org/|P08572|protein
physical association|interacts_with|R-HSA-2682390|Reactome|P29400|protein|https://reactome.org/|P29400|protein
physical association|interacts_with|R-HSA-2682390|Reactome|P29400|protein|https://reactome.org/|P08572|protein
physical association|interacts_with|R-HSA-2682390|Reactome|Q14031|protein|https://reactome.org/|Q14031|protein
physical association|interacts_with|R-HSA-2682390|Reactome|P29400|protein|https://reactome.org/|P02462|protein
physical association|interacts_with|R-HSA-2682390|Reactome|Q14031|protein|https://reactome.org/|P08572|protein
physical association|interacts_with|R-HSA-2682390|Reactome|Q14031|protein|https://reactome.org/|P29400|protein
physical association|interacts_with|R-HSA-2682390|Reactome|Q14031|protein|https://reactome.org/|P02462|protein
physical association|interacts_with|R-HSA-2682403|Reactome|P53420|protein|https://reactome.org/|P53420|protein
physical association|interacts_with|R-HSA-2682403|Reactome|P53420|protein|https://reactome.org/|P29400|protein
physical association|interacts_with|R-HSA-2682403|Reactome|Q01955|protein|https://reactome.org/|P53420|protein
physical association|interacts_with|R-HSA-2682403|Reactome|Q01955|protein|https://reactome.org/|P29400|protein
physical association|interacts_with|R-HSA-2682403|Reactome|Q01955|protein|https://reactome.org/|Q01955|protein
physical association|interacts_with|R-HSA-976929|Reactome|P02766|protein|https://reactome.org/|P02766|protein
physical association|interacts_with|R-HSA-216029|Reactome|P04275|protein|https://reactome.org/|P04275|protein
physical association|interacts_with|R-HSA-976893|Reactome|P02647|protein|https://reactome.org/|P02647|protein
physical association|interacts_with|R-HSA-976916|Reactome|REACTOME:R-HSA-976870|protein|https://reactome.org/|REACTOME:R-HSA-976870|protein
physical association|interacts_with|R-HSA-976935|Reactome|P01034|protein|https://reactome.org/|P01034|protein
physical association|interacts_with|R-HSA-976911|Reactome|P02671|protein|https://reactome.org/|P02671|protein
physical association|interacts_with|R-HSA-976860|Reactome|P61626|protein|https://reactome.org/|P61626|protein
physical association|interacts_with|R-HSA-1296424|Reactome|O14862|protein|https://reactome.org/|O14862|protein
physical association|interacts_with|R-HSA-9764248|Reactome|Q15843|protein|https://reactome.org/|Q15843|protein
physical association|interacts_with|R-HSA-9762262|Reactome|P63165|protein|https://reactome.org/|P63165|protein
physical association|interacts_with|R-HSA-9834819|Reactome|P61956|protein|https://reactome.org/|P61956|protein
physical association|interacts_with|R-HSA-2685669|Reactome|Q9BXL7|protein|https://reactome.org/|Q9BXL7|protein
physical association|interacts_with|R-HSA-5218908|Reactome|Q13546|protein|https://reactome.org/|Q13546|protein
physical association|interacts_with|R-HSA-5218908|Reactome|Q9Y572|protein|https://reactome.org/|Q9Y572|protein
physical association|interacts_with|R-HSA-5218908|Reactome|Q9Y572|protein|https://reactome.org/|Q13546|protein
physical association|interacts_with|R-HSA-5607622|Reactome|Q9H257|protein|https://reactome.org/|Q9H257|protein
physical association|interacts_with|R-HSA-5357857|Reactome|Q8NB16|protein|https://reactome.org/|Q8NB16|protein
physical association|interacts_with|R-HSA-4093309|Reactome|P34741|protein|https://reactome.org/|P34741|protein
