go_term_id|label|pathway_name|source|source_id|source_type|source_url|subontology|target_id|target_type
GO:0007340|pathway_to_biological_process|Acrosome Reaction and Sperm:Oocyte Membrane Binding|REACTOME|R-HSA-1300645|pathway|https://reactome.org|biological_process|GO_0007340|biological_process
GO:0046677|pathway_to_biological_process|Action of antimicrobials|REACTOME|R-HSA-9638771|pathway|https://reactome.org|biological_process|GO_0046677|biological_process
GO:0051897|pathway_to_biological_process|Activated NTRK2 signals through PI3K|REACTOME|R-HSA-9028335|pathway|https://reactome.org|biological_process|GO_0051897|biological_process
GO:0046579|pathway_to_biological_process|Activated NTRK2 signals through RAS|REACTOME|R-HSA-9026519|pathway|https://reactome.org|biological_process|GO_0046579|biological_process
GO:0051897|pathway_to_biological_process|Activated NTRK3 signals through PI3K|REACTOME|R-HSA-9603381|pathway|https://reactome.org|biological_process|GO_0051897|biological_process
GO:0051388|pathway_to_biological_process|Activated NTRK3 signals through PLCG1|REACTOME|R-HSA-9034793|pathway|https://reactome.org|biological_process|GO_0051388|biological_process
GO:0046579|pathway_to_biological_process|Activated NTRK3 signals through RAS|REACTOME|R-HSA-9034864|pathway|https://reactome.org|biological_process|GO_0046579|biological_process
GO:0060765|pathway_to_biological_process|Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3|REACTOME|R-HSA-5625886|pathway|https://reactome.org|biological_process|GO_0060765|biological_process
GO:1901030|pathway_to_biological_process|Activation and oligomerization of BAK protein|REACTOME|R-HSA-111452|pathway|https://reactome.org|biological_process|GO_1901030|biological_process
GO:0051897|pathway_to_biological_process|Activation of AKT2|REACTOME|R-HSA-165158|pathway|https://reactome.org|biological_process|GO_0051897|biological_process
GO:0007268|pathway_to_biological_process|Activation of AMPK downstream of NMDARs|REACTOME|R-HSA-9619483|pathway|https://reactome.org|biological_process|GO_0007268|biological_process
GO:0006260|pathway_to_biological_process|Activation of ATR in response to replication stress|REACTOME|R-HSA-176187|pathway|https://reactome.org|biological_process|GO_0006260|biological_process
GO:1903749|pathway_to_biological_process|Activation of BH3-only proteins|REACTOME|R-HSA-114452|pathway|https://reactome.org|biological_process|GO_1903749|biological_process
GO:0007268|pathway_to_biological_process|Activation of Ca-permeable Kainate Receptor|REACTOME|R-HSA-451308|pathway|https://reactome.org|biological_process|GO_0007268|biological_process
GO:1901381|pathway_to_biological_process|Activation of G protein gated Potassium channels|REACTOME|R-HSA-1296041|pathway|https://reactome.org|biological_process|GO_1901381|biological_process
GO:0009790|pathway_to_biological_process|Activation of HOX genes during differentiation|REACTOME|R-HSA-5619507|pathway|https://reactome.org|biological_process|GO_0009790|biological_process
GO:0007268|pathway_to_biological_process|Activation of Na-permeable kainate receptors|REACTOME|R-HSA-451307|pathway|https://reactome.org|biological_process|GO_0007268|biological_process
GO:0016601|pathway_to_biological_process|Activation of RAC1|REACTOME|R-HSA-428540|pathway|https://reactome.org|biological_process|GO_0016601|biological_process
GO:0007268|pathway_to_biological_process|Activation of RAC1 downstream of NMDARs|REACTOME|R-HSA-9619229|pathway|https://reactome.org|biological_process|GO_0007268|biological_process
GO:0007265|pathway_to_biological_process|Activation of RAS in B cells|REACTOME|R-HSA-1169092|pathway|https://reactome.org|biological_process|GO_0007265|biological_process
GO:0007169|pathway_to_biological_process|Activation of TRKA receptors|REACTOME|R-HSA-187015|pathway|https://reactome.org|biological_process|GO_0007169|biological_process
GO:0097190|pathway_to_biological_process|Activation of caspases through apoptosome-mediated cleavage|REACTOME|R-HSA-111459|pathway|https://reactome.org|biological_process|GO_0097190|biological_process
GO:0019216|pathway_to_biological_process|Activation of gene expression by SREBF (SREBP)|REACTOME|R-HSA-2426168|pathway|https://reactome.org|biological_process|GO_0019216|biological_process
GO:0045944|pathway_to_biological_process|Activation of the TFAP2 (AP-2) family of transcription factors|REACTOME|R-HSA-8866907|pathway|https://reactome.org|biological_process|GO_0045944|biological_process
GO:0006270|pathway_to_biological_process|Activation of the pre-replicative complex|REACTOME|R-HSA-68962|pathway|https://reactome.org|biological_process|GO_0006270|biological_process
GO:1903749|pathway_to_biological_process|Activation, myristolyation of BID and translocation to mitochondria|REACTOME|R-HSA-75108|pathway|https://reactome.org|biological_process|GO_1903749|biological_process
GO:1901030|pathway_to_biological_process|Activation, translocation and oligomerization of BAX|REACTOME|R-HSA-114294|pathway|https://reactome.org|biological_process|GO_1901030|biological_process
GO:0035965|pathway_to_biological_process|Acyl chain remodeling of CL|REACTOME|R-HSA-1482798|pathway|https://reactome.org|biological_process|GO_0035965|biological_process
GO:0036155|pathway_to_biological_process|Acyl chain remodeling of DAG and TAG|REACTOME|R-HSA-1482883|pathway|https://reactome.org|biological_process|GO_0036155|biological_process
GO:0036151|pathway_to_biological_process|Acyl chain remodelling of PC|REACTOME|R-HSA-1482788|pathway|https://reactome.org|biological_process|GO_0036151|biological_process
GO:0036152|pathway_to_biological_process|Acyl chain remodelling of PE|REACTOME|R-HSA-1482839|pathway|https://reactome.org|biological_process|GO_0036152|biological_process
GO:0036148|pathway_to_biological_process|Acyl chain remodelling of PG|REACTOME|R-HSA-1482925|pathway|https://reactome.org|biological_process|GO_0036148|biological_process
GO:0036149|pathway_to_biological_process|Acyl chain remodelling of PI|REACTOME|R-HSA-1482922|pathway|https://reactome.org|biological_process|GO_0036149|biological_process
GO:0036150|pathway_to_biological_process|Acyl chain remodelling of PS|REACTOME|R-HSA-1482801|pathway|https://reactome.org|biological_process|GO_0036150|biological_process
GO:0002250|pathway_to_biological_process|Adaptive Immune System|REACTOME|R-HSA-1280218|pathway|https://reactome.org|biological_process|GO_0002250|biological_process
GO:0007189|pathway_to_biological_process|Adenylate cyclase activating pathway|REACTOME|R-HSA-170660|pathway|https://reactome.org|biological_process|GO_0007189|biological_process
GO:0007193|pathway_to_biological_process|Adenylate cyclase inhibitory pathway|REACTOME|R-HSA-170670|pathway|https://reactome.org|biological_process|GO_0007193|biological_process
GO:0034332|pathway_to_biological_process|Adherens junctions interactions|REACTOME|R-HSA-418990|pathway|https://reactome.org|biological_process|GO_0034332|biological_process
GO:1904177|pathway_to_biological_process|Adipogenesis|REACTOME|R-HSA-9843745|pathway|https://reactome.org|biological_process|GO_1904177|biological_process
GO:0030168|pathway_to_biological_process|Adrenaline signalling through Alpha-2 adrenergic receptor|REACTOME|R-HSA-392023|pathway|https://reactome.org|biological_process|GO_0030168|biological_process
GO:0046676|pathway_to_biological_process|Adrenaline,noradrenaline inhibits insulin secretion|REACTOME|R-HSA-400042|pathway|https://reactome.org|biological_process|GO_0046676|biological_process
GO:0046222|pathway_to_biological_process|Aflatoxin activation and detoxification|REACTOME|R-HSA-5423646|pathway|https://reactome.org|biological_process|GO_0046222|biological_process
GO:0035973|pathway_to_biological_process|Aggrephagy|REACTOME|R-HSA-9646399|pathway|https://reactome.org|biological_process|GO_0035973|biological_process
GO:0097055|pathway_to_biological_process|Agmatine biosynthesis|REACTOME|R-HSA-351143|pathway|https://reactome.org|biological_process|GO_0097055|biological_process
GO:0009078|pathway_to_biological_process|Alanine metabolism|REACTOME|R-HSA-8964540|pathway|https://reactome.org|biological_process|GO_0009078|biological_process
GO:0001561|pathway_to_biological_process|Alpha-oxidation of phytanate|REACTOME|R-HSA-389599|pathway|https://reactome.org|biological_process|GO_0001561|biological_process
GO:0002753|pathway_to_biological_process|Alpha-protein kinase 1 signaling pathway|REACTOME|R-HSA-9645460|pathway|https://reactome.org|biological_process|GO_0002753|biological_process
GO:0006957|pathway_to_biological_process|Alternative complement activation|REACTOME|R-HSA-173736|pathway|https://reactome.org|biological_process|GO_0006957|biological_process
GO:0006865|pathway_to_biological_process|Amino acid transport across the plasma membrane|REACTOME|R-HSA-352230|pathway|https://reactome.org|biological_process|GO_0006865|biological_process
GO:0034198|pathway_to_biological_process|Amino acids regulate mTORC1|REACTOME|R-HSA-9639288|pathway|https://reactome.org|biological_process|GO_0034198|biological_process
GO:1990000|pathway_to_biological_process|Amyloid fiber formation|REACTOME|R-HSA-977225|pathway|https://reactome.org|biological_process|GO_1990000|biological_process
GO:0030199|pathway_to_biological_process|Anchoring fibril formation|REACTOME|R-HSA-2214320|pathway|https://reactome.org|biological_process|GO_0030199|biological_process
GO:0097711|pathway_to_biological_process|Anchoring of the basal body to the plasma membrane|REACTOME|R-HSA-5620912|pathway|https://reactome.org|biological_process|GO_0097711|biological_process
GO:0006702|pathway_to_biological_process|Androgen biosynthesis|REACTOME|R-HSA-193048|pathway|https://reactome.org|biological_process|GO_0006702|biological_process
GO:0051711|pathway_to_biological_process|Anti-inflammatory response favouring Leishmania parasite infection|REACTOME|R-HSA-9662851|pathway|https://reactome.org|biological_process|GO_0051711|biological_process
GO:0042590|pathway_to_biological_process|Antigen processing-Cross presentation|REACTOME|R-HSA-1236975|pathway|https://reactome.org|biological_process|GO_0042590|biological_process
GO:0010499|pathway_to_biological_process|Antigen processing: Ub, ATP-independent proteasomal degradation|REACTOME|R-HSA-9912633|pathway|https://reactome.org|biological_process|GO_0010499|biological_process
GO:0000209|pathway_to_biological_process|Antigen processing: Ubiquitination & Proteasome degradation|REACTOME|R-HSA-983168|pathway|https://reactome.org|biological_process|GO_0000209|biological_process
GO:0046677|pathway_to_biological_process|Antimicrobial action and antimicrobial resistance in Mtb|REACTOME|R-HSA-9639775|pathway|https://reactome.org|biological_process|GO_0046677|biological_process
GO:0019730|pathway_to_biological_process|Antimicrobial peptides|REACTOME|R-HSA-6803157|pathway|https://reactome.org|biological_process|GO_0019730|biological_process
GO:0046677|pathway_to_biological_process|Antimicrobial resistance|REACTOME|R-HSA-9913143|pathway|https://reactome.org|biological_process|GO_0046677|biological_process
GO:0006915|pathway_to_biological_process|Apoptosis|REACTOME|R-HSA-109581|pathway|https://reactome.org|biological_process|GO_0006915|biological_process
GO:0006309|pathway_to_biological_process|Apoptosis induced DNA fragmentation|REACTOME|R-HSA-140342|pathway|https://reactome.org|biological_process|GO_0006309|biological_process
GO:0097194|pathway_to_biological_process|Apoptotic execution phase|REACTOME|R-HSA-75153|pathway|https://reactome.org|biological_process|GO_0097194|biological_process
GO:0006833|pathway_to_biological_process|Aquaporin-mediated transport|REACTOME|R-HSA-445717|pathway|https://reactome.org|biological_process|GO_0006833|biological_process
GO:0019369|pathway_to_biological_process|Arachidonate metabolism|REACTOME|R-HSA-2142753|pathway|https://reactome.org|biological_process|GO_0019369|biological_process
GO:0019369|pathway_to_biological_process|Arachidonate production from DAG|REACTOME|R-HSA-426048|pathway|https://reactome.org|biological_process|GO_0019369|biological_process
GO:0018279|pathway_to_biological_process|Asparagine N-linked glycosylation|REACTOME|R-HSA-446203|pathway|https://reactome.org|biological_process|GO_0018279|biological_process
GO:0170033|pathway_to_biological_process|Aspartate and asparagine metabolism|REACTOME|R-HSA-8963693|pathway|https://reactome.org|biological_process|GO_0170033|biological_process
GO:0019068|pathway_to_biological_process|Assembly Of The HIV Virion|REACTOME|R-HSA-175474|pathway|https://reactome.org|biological_process|GO_0019068|biological_process
GO:0019068|pathway_to_biological_process|Assembly of Viral Components at the Budding Site|REACTOME|R-HSA-168316|pathway|https://reactome.org|biological_process|GO_0019068|biological_process
GO:0036388|pathway_to_biological_process|Assembly of the pre-replicative complex|REACTOME|R-HSA-68867|pathway|https://reactome.org|biological_process|GO_0036388|biological_process
GO:0016255|pathway_to_biological_process|Attachment of GPI anchor to uPAR|REACTOME|R-HSA-162791|pathway|https://reactome.org|biological_process|GO_0016255|biological_process
GO:0044406|pathway_to_biological_process|Attachment of bacteria to epithelial cells|REACTOME|R-HSA-9638630|pathway|https://reactome.org|biological_process|GO_0044406|biological_process
GO:0006914|pathway_to_biological_process|Autophagy|REACTOME|R-HSA-9612973|pathway|https://reactome.org|biological_process|GO_0006914|biological_process
GO:0007411|pathway_to_biological_process|Axon guidance|REACTOME|R-HSA-422475|pathway|https://reactome.org|biological_process|GO_0007411|biological_process
GO:0050771|pathway_to_biological_process|Axonal growth inhibition (RHOA activation)|REACTOME|R-HSA-193634|pathway|https://reactome.org|biological_process|GO_0050771|biological_process
GO:0050772|pathway_to_biological_process|Axonal growth stimulation|REACTOME|R-HSA-209563|pathway|https://reactome.org|biological_process|GO_0050772|biological_process
GO:0051388|pathway_to_biological_process|BDNF activates NTRK2 (TRKB) signaling|REACTOME|R-HSA-9024909|pathway|https://reactome.org|biological_process|GO_0051388|biological_process
GO:2001244|pathway_to_biological_process|BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members|REACTOME|R-HSA-111453|pathway|https://reactome.org|biological_process|GO_2001244|biological_process
GO:0009617|pathway_to_biological_process|Bacterial Infection Pathways|REACTOME|R-HSA-9824439|pathway|https://reactome.org|biological_process|GO_0009617|biological_process
GO:0006284|pathway_to_biological_process|Base Excision Repair|REACTOME|R-HSA-73884|pathway|https://reactome.org|biological_process|GO_0006284|biological_process
GO:0006285|pathway_to_biological_process|Base-Excision Repair, AP Site Formation|REACTOME|R-HSA-73929|pathway|https://reactome.org|biological_process|GO_0006285|biological_process
GO:0035567|pathway_to_biological_process|Beta-catenin independent WNT signaling|REACTOME|R-HSA-3858494|pathway|https://reactome.org|biological_process|GO_0035567|biological_process
GO:0033540|pathway_to_biological_process|Beta-oxidation of pristanoyl-CoA|REACTOME|R-HSA-389887|pathway|https://reactome.org|biological_process|GO_0033540|biological_process
GO:0033540|pathway_to_biological_process|Beta-oxidation of very long chain fatty acids|REACTOME|R-HSA-390247|pathway|https://reactome.org|biological_process|GO_0033540|biological_process
GO:0015701|pathway_to_biological_process|Bicarbonate transporters|REACTOME|R-HSA-425381|pathway|https://reactome.org|biological_process|GO_0015701|biological_process
GO:0008206|pathway_to_biological_process|Bile acid and bile salt metabolism|REACTOME|R-HSA-194068|pathway|https://reactome.org|biological_process|GO_0008206|biological_process
GO:0006898|pathway_to_biological_process|Binding and Uptake of Ligands by Scavenger Receptors|REACTOME|R-HSA-2173782|pathway|https://reactome.org|biological_process|GO_0006898|biological_process
GO:0044409|pathway_to_biological_process|Binding and entry of HIV virion|REACTOME|R-HSA-173107|pathway|https://reactome.org|biological_process|GO_0044409|biological_process
GO:0042710|pathway_to_biological_process|Biofilm formation|REACTOME|R-HSA-9931953|pathway|https://reactome.org|biological_process|GO_0042710|biological_process
GO:0006805|pathway_to_biological_process|Biological oxidations|REACTOME|R-HSA-211859|pathway|https://reactome.org|biological_process|GO_0006805|biological_process
GO:0042759|pathway_to_biological_process|Biosynthesis of DHA-derived SPMs|REACTOME|R-HSA-9018677|pathway|https://reactome.org|biological_process|GO_0042759|biological_process
GO:0042759|pathway_to_biological_process|Biosynthesis of DPA-derived SPMs|REACTOME|R-HSA-9018683|pathway|https://reactome.org|biological_process|GO_0042759|biological_process
GO:0019372|pathway_to_biological_process|Biosynthesis of DPAn-3 SPMs|REACTOME|R-HSA-9025094|pathway|https://reactome.org|biological_process|GO_0019372|biological_process
GO:0042759|pathway_to_biological_process|Biosynthesis of DPAn-3-derived 13-series resolvins|REACTOME|R-HSA-9026403|pathway|https://reactome.org|biological_process|GO_0042759|biological_process
GO:0042759|pathway_to_biological_process|Biosynthesis of EPA-derived SPMs|REACTOME|R-HSA-9018679|pathway|https://reactome.org|biological_process|GO_0042759|biological_process
GO:2001301|pathway_to_biological_process|Biosynthesis of Lipoxins (LX)|REACTOME|R-HSA-2142700|pathway|https://reactome.org|biological_process|GO_2001301|biological_process
GO:0042759|pathway_to_biological_process|Biosynthesis of electrophilic ω-3 PUFA oxo-derivatives|REACTOME|R-HSA-9027604|pathway|https://reactome.org|biological_process|GO_0042759|biological_process
GO:0050728|pathway_to_biological_process|Biosynthesis of specialized proresolving mediators (SPMs)|REACTOME|R-HSA-9018678|pathway|https://reactome.org|biological_process|GO_0050728|biological_process
GO:0006488|pathway_to_biological_process|Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein|REACTOME|R-HSA-446193|pathway|https://reactome.org|biological_process|GO_0006488|biological_process
GO:0006768|pathway_to_biological_process|Biotin transport and metabolism|REACTOME|R-HSA-196780|pathway|https://reactome.org|biological_process|GO_0006768|biological_process
GO:0009312|pathway_to_biological_process|Blood group systems biosynthesis|REACTOME|R-HSA-9033658|pathway|https://reactome.org|biological_process|GO_0009312|biological_process
GO:0009083|pathway_to_biological_process|Branched-chain amino acid catabolism|REACTOME|R-HSA-70895|pathway|https://reactome.org|biological_process|GO_0009083|biological_process
GO:0019068|pathway_to_biological_process|Budding|REACTOME|R-HSA-168302|pathway|https://reactome.org|biological_process|GO_0019068|biological_process
GO:0019058|pathway_to_biological_process|Budding and maturation of HIV virion|REACTOME|R-HSA-162588|pathway|https://reactome.org|biological_process|GO_0019058|biological_process
GO:0002223|pathway_to_biological_process|C-type lectin receptors (CLRs)|REACTOME|R-HSA-5621481|pathway|https://reactome.org|biological_process|GO_0002223|biological_process
GO:0010951|pathway_to_biological_process|CASP8 activity is inhibited|REACTOME|R-HSA-5218900|pathway|https://reactome.org|biological_process|GO_0010951|biological_process
GO:0002862|pathway_to_biological_process|CD163 mediating an anti-inflammatory response|REACTOME|R-HSA-9662834|pathway|https://reactome.org|biological_process|GO_0002862|biological_process
GO:0006890|pathway_to_biological_process|COPI-dependent Golgi-to-ER retrograde traffic|REACTOME|R-HSA-6811434|pathway|https://reactome.org|biological_process|GO_0006890|biological_process
GO:0048208|pathway_to_biological_process|COPII-mediated vesicle transport|REACTOME|R-HSA-204005|pathway|https://reactome.org|biological_process|GO_0048208|biological_process
GO:0006692|pathway_to_biological_process|COX reactions|REACTOME|R-HSA-140180|pathway|https://reactome.org|biological_process|GO_0006692|biological_process
GO:0007268|pathway_to_biological_process|CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling|REACTOME|R-HSA-442742|pathway|https://reactome.org|biological_process|GO_0007268|biological_process
GO:0007268|pathway_to_biological_process|CREB1 phosphorylation through the activation of Adenylate Cyclase|REACTOME|R-HSA-442720|pathway|https://reactome.org|biological_process|GO_0007268|biological_process
GO:0007268|pathway_to_biological_process|CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde|REACTOME|R-HSA-442729|pathway|https://reactome.org|biological_process|GO_0007268|biological_process
GO:0050650|pathway_to_biological_process|CS-GAG biosynthesis|REACTOME|R-HSA-2022870|pathway|https://reactome.org|biological_process|GO_0050650|biological_process
GO:0030167|pathway_to_biological_process|CS/DS degradation|REACTOME|R-HSA-2024101|pathway|https://reactome.org|biological_process|GO_0030167|biological_process
GO:1901381|pathway_to_biological_process|Ca2+ activated K+ channels|REACTOME|R-HSA-1296052|pathway|https://reactome.org|biological_process|GO_1901381|biological_process
GO:0007223|pathway_to_biological_process|Ca2+ pathway|REACTOME|R-HSA-4086398|pathway|https://reactome.org|biological_process|GO_0007223|biological_process
GO:0061337|pathway_to_biological_process|Cardiac conduction|REACTOME|R-HSA-5576891|pathway|https://reactome.org|biological_process|GO_0061337|biological_process
GO:0060914|pathway_to_biological_process|Cardiogenesis|REACTOME|R-HSA-9733709|pathway|https://reactome.org|biological_process|GO_0060914|biological_process
GO:0006853|pathway_to_biological_process|Carnitine shuttle|REACTOME|R-HSA-200425|pathway|https://reactome.org|biological_process|GO_0006853|biological_process
GO:0045329|pathway_to_biological_process|Carnitine synthesis|REACTOME|R-HSA-71262|pathway|https://reactome.org|biological_process|GO_0045329|biological_process
GO:0010950|pathway_to_biological_process|Caspase activation via Death Receptors in the presence of ligand|REACTOME|R-HSA-140534|pathway|https://reactome.org|biological_process|GO_0010950|biological_process
GO:0097192|pathway_to_biological_process|Caspase activation via Dependence Receptors in the absence of ligand|REACTOME|R-HSA-418889|pathway|https://reactome.org|biological_process|GO_0097192|biological_process
GO:0097191|pathway_to_biological_process|Caspase activation via extrinsic apoptotic signalling pathway|REACTOME|R-HSA-5357769|pathway|https://reactome.org|biological_process|GO_0097191|biological_process
GO:0042423|pathway_to_biological_process|Catecholamine biosynthesis|REACTOME|R-HSA-209905|pathway|https://reactome.org|biological_process|GO_0042423|biological_process
GO:0031145|pathway_to_biological_process|Cdc20:Phospho-APC/C mediated degradation of Cyclin A|REACTOME|R-HSA-174184|pathway|https://reactome.org|biological_process|GO_0031145|biological_process
GO:0007049|pathway_to_biological_process|Cell Cycle|REACTOME|R-HSA-1640170|pathway|https://reactome.org|biological_process|GO_0007049|biological_process
GO:0000075|pathway_to_biological_process|Cell Cycle Checkpoints|REACTOME|R-HSA-69620|pathway|https://reactome.org|biological_process|GO_0000075|biological_process
GO:0000278|pathway_to_biological_process|Cell Cycle, Mitotic|REACTOME|R-HSA-69278|pathway|https://reactome.org|biological_process|GO_0000278|biological_process
GO:0097190|pathway_to_biological_process|Cell death signalling via NRAGE, NRIF and NADE|REACTOME|R-HSA-204998|pathway|https://reactome.org|biological_process|GO_0097190|biological_process
GO:0034329|pathway_to_biological_process|Cell junction organization|REACTOME|R-HSA-446728|pathway|https://reactome.org|biological_process|GO_0034329|biological_process
GO:0060326|pathway_to_biological_process|Cell recruitment (pro-inflammatory response)|REACTOME|R-HSA-9664424|pathway|https://reactome.org|biological_process|GO_0060326|biological_process
GO:0045454|pathway_to_biological_process|Cell redox homeostasis|REACTOME|R-HSA-1222541|pathway|https://reactome.org|biological_process|GO_0045454|biological_process
GO:0050900|pathway_to_biological_process|Cell surface interactions at the vascular wall|REACTOME|R-HSA-202733|pathway|https://reactome.org|biological_process|GO_0050900|biological_process
GO:0045216|pathway_to_biological_process|Cell-cell junction organization|REACTOME|R-HSA-421270|pathway|https://reactome.org|biological_process|GO_0045216|biological_process
GO:0090398|pathway_to_biological_process|Cellular Senescence|REACTOME|R-HSA-2559583|pathway|https://reactome.org|biological_process|GO_0090398|biological_process
GO:0008645|pathway_to_biological_process|Cellular hexose transport|REACTOME|R-HSA-189200|pathway|https://reactome.org|biological_process|GO_0008645|biological_process
GO:0062197|pathway_to_biological_process|Cellular response to chemical stress|REACTOME|R-HSA-9711123|pathway|https://reactome.org|biological_process|GO_0062197|biological_process
GO:0034605|pathway_to_biological_process|Cellular response to heat stress|REACTOME|R-HSA-3371556|pathway|https://reactome.org|biological_process|GO_0034605|biological_process
GO:0071456|pathway_to_biological_process|Cellular response to hypoxia|REACTOME|R-HSA-1234174|pathway|https://reactome.org|biological_process|GO_0071456|biological_process
GO:0098780|pathway_to_biological_process|Cellular response to mitochondrial stress|REACTOME|R-HSA-9840373|pathway|https://reactome.org|biological_process|GO_0098780|biological_process
GO:0009267|pathway_to_biological_process|Cellular response to starvation|REACTOME|R-HSA-9711097|pathway|https://reactome.org|biological_process|GO_0009267|biological_process
GO:0071260|pathway_to_biological_process|Cellular responses to mechanical stimuli|REACTOME|R-HSA-9855142|pathway|https://reactome.org|biological_process|GO_0071260|biological_process
GO:0051716|pathway_to_biological_process|Cellular responses to stimuli|REACTOME|R-HSA-8953897|pathway|https://reactome.org|biological_process|GO_0051716|biological_process
GO:0033554|pathway_to_biological_process|Cellular responses to stress|REACTOME|R-HSA-2262752|pathway|https://reactome.org|biological_process|GO_0033554|biological_process
GO:0097190|pathway_to_biological_process|Ceramide signalling|REACTOME|R-HSA-193681|pathway|https://reactome.org|biological_process|GO_0097190|biological_process
GO:0009893|pathway_to_biological_process|ChREBP activates metabolic gene expression|REACTOME|R-HSA-163765|pathway|https://reactome.org|biological_process|GO_0009893|biological_process
GO:0061684|pathway_to_biological_process|Chaperone Mediated Autophagy|REACTOME|R-HSA-9613829|pathway|https://reactome.org|biological_process|GO_0061684|biological_process
GO:0006457|pathway_to_biological_process|Chaperonin-mediated protein folding|REACTOME|R-HSA-390466|pathway|https://reactome.org|biological_process|GO_0006457|biological_process
GO:0006695|pathway_to_biological_process|Cholesterol biosynthesis|REACTOME|R-HSA-191273|pathway|https://reactome.org|biological_process|GO_0006695|biological_process
GO:0033489|pathway_to_biological_process|Cholesterol biosynthesis via desmosterol|REACTOME|R-HSA-6807047|pathway|https://reactome.org|biological_process|GO_0033489|biological_process
GO:0033490|pathway_to_biological_process|Cholesterol biosynthesis via lathosterol|REACTOME|R-HSA-6807062|pathway|https://reactome.org|biological_process|GO_0033490|biological_process
