id|label|pathway_name|source|source_url
r-hsa-9028731|pathway|Activated NTRK2 signals through FRS2 and FRS3|REACTOME|https://reactome.org
r-hsa-9032500|pathway|Activated NTRK2 signals through FYN|REACTOME|https://reactome.org
r-hsa-9028335|pathway|Activated NTRK2 signals through PI3K|REACTOME|https://reactome.org
r-hsa-9026527|pathway|Activated NTRK2 signals through PLCG1|REACTOME|https://reactome.org
r-hsa-9026519|pathway|Activated NTRK2 signals through RAS|REACTOME|https://reactome.org
r-hsa-9603381|pathway|Activated NTRK3 signals through PI3K|REACTOME|https://reactome.org
r-hsa-9034793|pathway|Activated NTRK3 signals through PLCG1|REACTOME|https://reactome.org
r-hsa-9034864|pathway|Activated NTRK3 signals through RAS|REACTOME|https://reactome.org
r-hsa-5625886|pathway|Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3|REACTOME|https://reactome.org
r-hsa-2033519|pathway|Activated point mutants of FGFR2|REACTOME|https://reactome.org
r-hsa-111452|pathway|Activation and oligomerization of BAK protein|REACTOME|https://reactome.org
r-hsa-165158|pathway|Activation of AKT2|REACTOME|https://reactome.org
r-hsa-399710|pathway|Activation of AMPA receptors|REACTOME|https://reactome.org
r-hsa-9619483|pathway|Activation of AMPK downstream of NMDARs|REACTOME|https://reactome.org
r-hsa-176814|pathway|Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins|REACTOME|https://reactome.org
r-hsa-176187|pathway|Activation of ATR in response to replication stress|REACTOME|https://reactome.org
r-hsa-111447|pathway|Activation of BAD and translocation to mitochondria |REACTOME|https://reactome.org
r-hsa-114452|pathway|Activation of BH3-only proteins|REACTOME|https://reactome.org
r-hsa-111446|pathway|Activation of BIM and translocation to mitochondria |REACTOME|https://reactome.org
r-hsa-139910|pathway|Activation of BMF and translocation to mitochondria|REACTOME|https://reactome.org
r-hsa-174577|pathway|Activation of C3 and C5|REACTOME|https://reactome.org
r-hsa-451308|pathway|Activation of Ca-permeable Kainate Receptor|REACTOME|https://reactome.org
r-hsa-1296041|pathway|Activation of G protein gated Potassium channels|REACTOME|https://reactome.org
r-hsa-991365|pathway|Activation of GABAB receptors|REACTOME|https://reactome.org
r-hsa-5619507|pathway|Activation of HOX genes during differentiation|REACTOME|https://reactome.org
r-hsa-936964|pathway|Activation of IRF3, IRF7 mediated by TBK1, IKBKE|REACTOME|https://reactome.org
r-hsa-1592389|pathway|Activation of Matrix Metalloproteinases|REACTOME|https://reactome.org
r-hsa-1169091|pathway|Activation of NF-kappaB in B cells|REACTOME|https://reactome.org
r-hsa-2980767|pathway|Activation of NIMA Kinases NEK9, NEK6, NEK7|REACTOME|https://reactome.org
r-hsa-442755|pathway|Activation of NMDA receptors and postsynaptic events|REACTOME|https://reactome.org
r-hsa-111448|pathway|Activation of NOXA and translocation to mitochondria|REACTOME|https://reactome.org
r-hsa-451307|pathway|Activation of Na-permeable kainate receptors|REACTOME|https://reactome.org
r-hsa-2151209|pathway|Activation of PPARGC1A (PGC-1alpha) by phosphorylation|REACTOME|https://reactome.org
r-hsa-139915|pathway|Activation of PUMA and translocation to mitochondria|REACTOME|https://reactome.org
r-hsa-428540|pathway|Activation of RAC1|REACTOME|https://reactome.org
r-hsa-9619229|pathway|Activation of RAC1 downstream of NMDARs|REACTOME|https://reactome.org
r-hsa-1169092|pathway|Activation of RAS in B cells|REACTOME|https://reactome.org
r-hsa-5635838|pathway|Activation of SMO|REACTOME|https://reactome.org
r-hsa-187015|pathway|Activation of TRKA receptors|REACTOME|https://reactome.org
r-hsa-5617472|pathway|Activation of anterior HOX genes in hindbrain development during early embryogenesis|REACTOME|https://reactome.org
r-hsa-111459|pathway|Activation of caspases through apoptosome-mediated cleavage|REACTOME|https://reactome.org
r-hsa-2426168|pathway|Activation of gene expression by SREBF (SREBP)|REACTOME|https://reactome.org
r-hsa-451326|pathway|Activation of kainate receptors upon glutamate binding|REACTOME|https://reactome.org
r-hsa-450341|pathway|Activation of the AP-1 family of transcription factors|REACTOME|https://reactome.org
r-hsa-8866907|pathway|Activation of the TFAP2 (AP-2) family of transcription factors|REACTOME|https://reactome.org
r-hsa-72662|pathway|Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S|REACTOME|https://reactome.org
r-hsa-2485179|pathway|Activation of the phototransduction cascade|REACTOME|https://reactome.org
r-hsa-68962|pathway|Activation of the pre-replicative complex|REACTOME|https://reactome.org
r-hsa-75108|pathway|Activation, myristolyation of BID and translocation to mitochondria|REACTOME|https://reactome.org
r-hsa-114294|pathway|Activation, translocation and oligomerization of BAX|REACTOME|https://reactome.org
r-hsa-1482798|pathway|Acyl chain remodeling of CL|REACTOME|https://reactome.org
r-hsa-1482883|pathway|Acyl chain remodeling of DAG and TAG|REACTOME|https://reactome.org
r-hsa-1482788|pathway|Acyl chain remodelling of PC|REACTOME|https://reactome.org
r-hsa-1482839|pathway|Acyl chain remodelling of PE|REACTOME|https://reactome.org
r-hsa-1482925|pathway|Acyl chain remodelling of PG|REACTOME|https://reactome.org
r-hsa-1482922|pathway|Acyl chain remodelling of PI|REACTOME|https://reactome.org
r-hsa-1482801|pathway|Acyl chain remodelling of PS|REACTOME|https://reactome.org
r-hsa-1280218|pathway|Adaptive Immune System|REACTOME|https://reactome.org
r-hsa-417973|pathway|Adenosine P1 receptors|REACTOME|https://reactome.org
r-hsa-170660|pathway|Adenylate cyclase activating pathway|REACTOME|https://reactome.org
r-hsa-170670|pathway|Adenylate cyclase inhibitory pathway|REACTOME|https://reactome.org
r-hsa-418990|pathway|Adherens junctions interactions|REACTOME|https://reactome.org
r-hsa-392023|pathway|Adrenaline signalling through Alpha-2 adrenergic receptor|REACTOME|https://reactome.org
r-hsa-400042|pathway|Adrenaline,noradrenaline inhibits insulin secretion|REACTOME|https://reactome.org
r-hsa-390696|pathway|Adrenoceptors|REACTOME|https://reactome.org
r-hsa-879415|pathway|Advanced glycosylation endproduct receptor signaling|REACTOME|https://reactome.org
r-hsa-5423646|pathway|Aflatoxin activation and detoxification|REACTOME|https://reactome.org
r-hsa-9646399|pathway|Aggrephagy|REACTOME|https://reactome.org
r-hsa-351143|pathway|Agmatine biosynthesis|REACTOME|https://reactome.org
r-hsa-8964540|pathway|Alanine metabolism|REACTOME|https://reactome.org
r-hsa-9730737|pathway|Alkylating DNA damage induced by chemotherapeutic drugs|REACTOME|https://reactome.org
r-hsa-1462054|pathway|Alpha-defensins|REACTOME|https://reactome.org
r-hsa-389599|pathway|Alpha-oxidation of phytanate|REACTOME|https://reactome.org
r-hsa-9645460|pathway|Alpha-protein kinase 1 signaling pathway|REACTOME|https://reactome.org
r-hsa-9006821|pathway|Alternative Lengthening of Telomeres (ALT)|REACTOME|https://reactome.org
r-hsa-173736|pathway|Alternative complement activation|REACTOME|https://reactome.org
r-hsa-140179|pathway|Amine Oxidase reactions|REACTOME|https://reactome.org
r-hsa-375280|pathway|Amine ligand-binding receptors|REACTOME|https://reactome.org
r-hsa-156587|pathway|Amino Acid conjugation|REACTOME|https://reactome.org
r-hsa-352230|pathway|Amino acid transport across the plasma membrane|REACTOME|https://reactome.org
r-hsa-9639288|pathway|Amino acids regulate mTORC1|REACTOME|https://reactome.org
r-hsa-141444|pathway|Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal|REACTOME|https://reactome.org
r-hsa-141424|pathway|Amplification of signal from the kinetochores|REACTOME|https://reactome.org
r-hsa-977225|pathway|Amyloid fiber formation|REACTOME|https://reactome.org
r-hsa-2214320|pathway|Anchoring fibril formation|REACTOME|https://reactome.org
r-hsa-5620912|pathway|Anchoring of the basal body to the plasma membrane|REACTOME|https://reactome.org
r-hsa-193048|pathway|Androgen biosynthesis|REACTOME|https://reactome.org
r-hsa-2473224|pathway|Antagonism of Activin by Follistatin|REACTOME|https://reactome.org
r-hsa-9662851|pathway|Anti-inflammatory response favouring Leishmania parasite infection|REACTOME|https://reactome.org
r-hsa-983170|pathway|Antigen Presentation: Folding, assembly and peptide loading of class I MHC|REACTOME|https://reactome.org
r-hsa-983695|pathway|Antigen activates B Cell Receptor (BCR) leading to generation of second messengers|REACTOME|https://reactome.org
r-hsa-1236975|pathway|Antigen processing-Cross presentation|REACTOME|https://reactome.org
r-hsa-983168|pathway|Antigen processing: Ubiquitination & Proteasome degradation|REACTOME|https://reactome.org
r-hsa-9639775|pathway|Antimicrobial action and antimicrobial resistance in Mtb|REACTOME|https://reactome.org
r-hsa-6803157|pathway|Antimicrobial peptides|REACTOME|https://reactome.org
r-hsa-1169410|pathway|Antiviral mechanism by IFN-stimulated genes|REACTOME|https://reactome.org
r-hsa-109581|pathway|Apoptosis|REACTOME|https://reactome.org
r-hsa-140342|pathway|Apoptosis induced DNA fragmentation|REACTOME|https://reactome.org
r-hsa-351906|pathway|Apoptotic cleavage of cell adhesion  proteins|REACTOME|https://reactome.org
r-hsa-111465|pathway|Apoptotic cleavage of cellular proteins|REACTOME|https://reactome.org
r-hsa-75153|pathway|Apoptotic execution phase|REACTOME|https://reactome.org
r-hsa-111471|pathway|Apoptotic factor-mediated response|REACTOME|https://reactome.org
r-hsa-445717|pathway|Aquaporin-mediated transport|REACTOME|https://reactome.org
r-hsa-426048|pathway|Arachidonate production from DAG|REACTOME|https://reactome.org
r-hsa-2142753|pathway|Arachidonic acid metabolism|REACTOME|https://reactome.org
r-hsa-211957|pathway|Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2|REACTOME|https://reactome.org
r-hsa-8937144|pathway|Aryl hydrocarbon receptor signalling|REACTOME|https://reactome.org
r-hsa-446203|pathway|Asparagine N-linked glycosylation|REACTOME|https://reactome.org
r-hsa-8963693|pathway|Aspartate and asparagine metabolism|REACTOME|https://reactome.org
r-hsa-9749641|pathway|Aspirin ADME|REACTOME|https://reactome.org
r-hsa-175474|pathway|Assembly Of The HIV Virion|REACTOME|https://reactome.org
r-hsa-9609736|pathway|Assembly and cell surface presentation of NMDA receptors|REACTOME|https://reactome.org
r-hsa-168316|pathway|Assembly of Viral Components at the Budding Site|REACTOME|https://reactome.org
r-hsa-8963889|pathway|Assembly of active LPL and LIPC lipase complexes|REACTOME|https://reactome.org
r-hsa-2022090|pathway|Assembly of collagen fibrils and other multimeric structures|REACTOME|https://reactome.org
r-hsa-68616|pathway|Assembly of the ORC complex at the origin of replication|REACTOME|https://reactome.org
r-hsa-9683439|pathway|Assembly of the SARS-CoV-1 Replication-Transcription Complex (RTC)|REACTOME|https://reactome.org
r-hsa-9694271|pathway|Assembly of the SARS-CoV-2 Replication-Transcription Complex (RTC)|REACTOME|https://reactome.org
r-hsa-68867|pathway|Assembly of the pre-replicative complex|REACTOME|https://reactome.org
r-hsa-390471|pathway|Association of TriC/CCT with target proteins during biosynthesis|REACTOME|https://reactome.org
r-hsa-210455|pathway|Astrocytic Glutamate-Glutamine Uptake And Metabolism|REACTOME|https://reactome.org
r-hsa-4608870|pathway|Asymmetric localization of PCP proteins|REACTOME|https://reactome.org
r-hsa-9754706|pathway|Atorvastatin ADME|REACTOME|https://reactome.org
r-hsa-9678110|pathway|Attachment and Entry|REACTOME|https://reactome.org
r-hsa-9694614|pathway|Attachment and Entry|REACTOME|https://reactome.org
r-hsa-162791|pathway|Attachment of GPI anchor to uPAR|REACTOME|https://reactome.org
r-hsa-3371568|pathway|Attenuation phase|REACTOME|https://reactome.org
r-hsa-174084|pathway|Autodegradation of Cdh1 by Cdh1:APC/C|REACTOME|https://reactome.org
r-hsa-349425|pathway|Autodegradation of the E3 ubiquitin ligase COP1|REACTOME|https://reactome.org
r-hsa-177539|pathway|Autointegration results in viral DNA circles|REACTOME|https://reactome.org
r-hsa-9612973|pathway|Autophagy|REACTOME|https://reactome.org
r-hsa-422475|pathway|Axon guidance|REACTOME|https://reactome.org
r-hsa-193634|pathway|Axonal growth inhibition (RHOA activation)|REACTOME|https://reactome.org
r-hsa-209563|pathway|Axonal growth stimulation|REACTOME|https://reactome.org
r-hsa-9748787|pathway|Azathioprine ADME|REACTOME|https://reactome.org
r-hsa-5250924|pathway|B-WICH complex positively regulates rRNA expression|REACTOME|https://reactome.org
r-hsa-5620922|pathway|BBSome-mediated cargo-targeting to cilium|REACTOME|https://reactome.org
r-hsa-9024909|pathway|BDNF activates NTRK2 (TRKB) signaling|REACTOME|https://reactome.org
r-hsa-111453|pathway|BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members|REACTOME|https://reactome.org
r-hsa-1368108|pathway|BMAL1:CLOCK,NPAS2 activates circadian gene expression|REACTOME|https://reactome.org
r-hsa-9824439|pathway|Bacterial Infection Pathways|REACTOME|https://reactome.org
r-hsa-73884|pathway|Base Excision Repair|REACTOME|https://reactome.org
r-hsa-73929|pathway|Base-Excision Repair, AP Site Formation|REACTOME|https://reactome.org
r-hsa-210991|pathway|Basigin interactions|REACTOME|https://reactome.org
r-hsa-1461957|pathway|Beta defensins|REACTOME|https://reactome.org
r-hsa-77352|pathway|Beta oxidation of butanoyl-CoA to acetyl-CoA|REACTOME|https://reactome.org
r-hsa-77346|pathway|Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA|REACTOME|https://reactome.org
r-hsa-77350|pathway|Beta oxidation of hexanoyl-CoA to butanoyl-CoA|REACTOME|https://reactome.org
r-hsa-77310|pathway|Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA|REACTOME|https://reactome.org
r-hsa-77285|pathway|Beta oxidation of myristoyl-CoA to lauroyl-CoA|REACTOME|https://reactome.org
r-hsa-77348|pathway|Beta oxidation of octanoyl-CoA to hexanoyl-CoA|REACTOME|https://reactome.org
r-hsa-77305|pathway|Beta oxidation of palmitoyl-CoA to myristoyl-CoA|REACTOME|https://reactome.org
r-hsa-3858494|pathway|Beta-catenin independent WNT signaling|REACTOME|https://reactome.org
r-hsa-196299|pathway|Beta-catenin phosphorylation cascade|REACTOME|https://reactome.org
r-hsa-389887|pathway|Beta-oxidation of pristanoyl-CoA|REACTOME|https://reactome.org
r-hsa-390247|pathway|Beta-oxidation of very long chain fatty acids|REACTOME|https://reactome.org
r-hsa-425381|pathway|Bicarbonate transporters|REACTOME|https://reactome.org
r-hsa-194068|pathway|Bile acid and bile salt metabolism|REACTOME|https://reactome.org
r-hsa-2173782|pathway|Binding and Uptake of Ligands by Scavenger Receptors|REACTOME|https://reactome.org
r-hsa-173107|pathway|Binding and entry of HIV virion|REACTOME|https://reactome.org
r-hsa-4411364|pathway|Binding of TCF/LEF:CTNNB1 to target gene promoters|REACTOME|https://reactome.org
r-hsa-141333|pathway|Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB|REACTOME|https://reactome.org
r-hsa-211859|pathway|Biological oxidations|REACTOME|https://reactome.org
r-hsa-2466712|pathway|Biosynthesis of A2E, implicated in retinal degradation|REACTOME|https://reactome.org
r-hsa-9018676|pathway|Biosynthesis of D-series resolvins|REACTOME|https://reactome.org
r-hsa-9018677|pathway|Biosynthesis of DHA-derived SPMs|REACTOME|https://reactome.org
r-hsa-9026395|pathway|Biosynthesis of DHA-derived sulfido conjugates|REACTOME|https://reactome.org
r-hsa-9018683|pathway|Biosynthesis of DPA-derived SPMs|REACTOME|https://reactome.org
r-hsa-9025094|pathway|Biosynthesis of DPAn-3 SPMs|REACTOME|https://reactome.org
r-hsa-9026403|pathway|Biosynthesis of DPAn-3-derived 13-series resolvins|REACTOME|https://reactome.org
r-hsa-9026290|pathway|Biosynthesis of DPAn-3-derived maresins|REACTOME|https://reactome.org
r-hsa-9026286|pathway|Biosynthesis of DPAn-3-derived protectins and resolvins|REACTOME|https://reactome.org
r-hsa-9025106|pathway|Biosynthesis of DPAn-6 SPMs|REACTOME|https://reactome.org
r-hsa-9023661|pathway|Biosynthesis of E-series 18(R)-resolvins|REACTOME|https://reactome.org
r-hsa-9018896|pathway|Biosynthesis of E-series 18(S)-resolvins|REACTOME|https://reactome.org
r-hsa-9018679|pathway|Biosynthesis of EPA-derived SPMs|REACTOME|https://reactome.org
r-hsa-9020265|pathway|Biosynthesis of aspirin-triggered D-series resolvins|REACTOME|https://reactome.org
r-hsa-9027604|pathway|Biosynthesis of electrophilic ω-3 PUFA oxo-derivatives|REACTOME|https://reactome.org
r-hsa-9026762|pathway|Biosynthesis of maresin conjugates in tissue regeneration (MCTR)|REACTOME|https://reactome.org
r-hsa-9027307|pathway|Biosynthesis of maresin-like SPMs|REACTOME|https://reactome.org
r-hsa-9018682|pathway|Biosynthesis of maresins|REACTOME|https://reactome.org
r-hsa-9026766|pathway|Biosynthesis of protectin and resolvin conjugates in tissue regeneration (PCTR and RCTR)|REACTOME|https://reactome.org
r-hsa-9018681|pathway|Biosynthesis of protectins|REACTOME|https://reactome.org
r-hsa-9018678|pathway|Biosynthesis of specialized proresolving mediators (SPMs)|REACTOME|https://reactome.org
r-hsa-446193|pathway|Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein|REACTOME|https://reactome.org
r-hsa-196780|pathway|Biotin transport and metabolism|REACTOME|https://reactome.org
r-hsa-9636467|pathway|Blockage of phagosome acidification|REACTOME|https://reactome.org
r-hsa-9033658|pathway|Blood group systems biosynthesis|REACTOME|https://reactome.org
r-hsa-70895|pathway|Branched-chain amino acid catabolism|REACTOME|https://reactome.org
r-hsa-352238|pathway|Breakdown of the nuclear lamina|REACTOME|https://reactome.org
r-hsa-168302|pathway|Budding|REACTOME|https://reactome.org
r-hsa-162588|pathway|Budding and maturation of HIV virion|REACTOME|https://reactome.org
r-hsa-450385|pathway|Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA|REACTOME|https://reactome.org
r-hsa-8851680|pathway|Butyrophilin (BTN) family interactions|REACTOME|https://reactome.org
r-hsa-5621481|pathway|C-type lectin receptors (CLRs)|REACTOME|https://reactome.org
r-hsa-75102|pathway|C6 deamination of adenosine|REACTOME|https://reactome.org
r-hsa-5218900|pathway|CASP8 activity is inhibited|REACTOME|https://reactome.org
r-hsa-9662834|pathway|CD163 mediating an anti-inflammatory response|REACTOME|https://reactome.org
r-hsa-5621575|pathway|CD209 (DC-SIGN) signaling|REACTOME|https://reactome.org
r-hsa-5690714|pathway|CD22 mediated BCR regulation|REACTOME|https://reactome.org
r-hsa-389356|pathway|CD28 co-stimulation|REACTOME|https://reactome.org
r-hsa-389357|pathway|CD28 dependent PI3K/Akt signaling|REACTOME|https://reactome.org
r-hsa-389359|pathway|CD28 dependent Vav1 pathway|REACTOME|https://reactome.org
r-hsa-9013148|pathway|CDC42 GTPase cycle|REACTOME|https://reactome.org
r-hsa-68689|pathway|CDC6 association with the ORC:origin complex|REACTOME|https://reactome.org
r-hsa-9833576|pathway|CDH11 homotypic and heterotypic interactions|REACTOME|https://reactome.org
r-hsa-69017|pathway|CDK-mediated phosphorylation and removal of Cdc6|REACTOME|https://reactome.org
r-hsa-447041|pathway|CHL1 interactions|REACTOME|https://reactome.org
r-hsa-5607763|pathway|CLEC7A (Dectin-1) induces NFAT activation|REACTOME|https://reactome.org
r-hsa-5607764|pathway|CLEC7A (Dectin-1) signaling|REACTOME|https://reactome.org
r-hsa-5660668|pathway|CLEC7A/inflammasome pathway|REACTOME|https://reactome.org
r-hsa-6811434|pathway|COPI-dependent Golgi-to-ER retrograde traffic|REACTOME|https://reactome.org
r-hsa-6811436|pathway|COPI-independent Golgi-to-ER retrograde traffic|REACTOME|https://reactome.org
r-hsa-6807878|pathway|COPI-mediated anterograde transport|REACTOME|https://reactome.org
r-hsa-204005|pathway|COPII-mediated vesicle transport|REACTOME|https://reactome.org
r-hsa-140180|pathway|COX reactions|REACTOME|https://reactome.org
r-hsa-199920|pathway|CREB phosphorylation|REACTOME|https://reactome.org
r-hsa-442742|pathway|CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling|REACTOME|https://reactome.org
r-hsa-442720|pathway|CREB1 phosphorylation through the activation of Adenylate Cyclase|REACTOME|https://reactome.org
r-hsa-442729|pathway|CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde|REACTOME|https://reactome.org
r-hsa-8874211|pathway|CREB3 factors activate genes|REACTOME|https://reactome.org
r-hsa-399956|pathway|CRMPs in Sema3A signaling|REACTOME|https://reactome.org
r-hsa-2024101|pathway|CS/DS degradation|REACTOME|https://reactome.org
r-hsa-389513|pathway|CTLA4 inhibitory signaling|REACTOME|https://reactome.org
r-hsa-5358747|pathway|CTNNB1 S33 mutants arent phosphorylated|REACTOME|https://reactome.org
r-hsa-5358749|pathway|CTNNB1 S37 mutants arent phosphorylated|REACTOME|https://reactome.org
r-hsa-5358751|pathway|CTNNB1 S45 mutants arent phosphorylated|REACTOME|https://reactome.org
r-hsa-5358752|pathway|CTNNB1 T41 mutants arent phosphorylated|REACTOME|https://reactome.org
r-hsa-211999|pathway|CYP2E1 reactions|REACTOME|https://reactome.org
r-hsa-111996|pathway|Ca-dependent events|REACTOME|https://reactome.org
r-hsa-1296052|pathway|Ca2+ activated K+ channels|REACTOME|https://reactome.org
r-hsa-4086398|pathway|Ca2+ pathway|REACTOME|https://reactome.org
r-hsa-111997|pathway|CaM pathway|REACTOME|https://reactome.org
r-hsa-111932|pathway|CaMK IV-mediated phosphorylation of CREB|REACTOME|https://reactome.org
r-hsa-2025928|pathway|Calcineurin activates NFAT|REACTOME|https://reactome.org
r-hsa-419812|pathway|Calcitonin-like ligand receptors|REACTOME|https://reactome.org
r-hsa-111933|pathway|Calmodulin induced events|REACTOME|https://reactome.org
r-hsa-901042|pathway|Calnexin/calreticulin cycle|REACTOME|https://reactome.org
r-hsa-111957|pathway|Cam-PDE 1 activation|REACTOME|https://reactome.org
r-hsa-72737|pathway|Cap-dependent Translation Initiation|REACTOME|https://reactome.org
r-hsa-8955332|pathway|Carboxyterminal post-translational modifications of tubulin|REACTOME|https://reactome.org
r-hsa-5576891|pathway|Cardiac conduction|REACTOME|https://reactome.org
r-hsa-9733709|pathway|Cardiogenesis|REACTOME|https://reactome.org
r-hsa-5694530|pathway|Cargo concentration in the ER|REACTOME|https://reactome.org
r-hsa-8856825|pathway|Cargo recognition for clathrin-mediated endocytosis|REACTOME|https://reactome.org
r-hsa-5620920|pathway|Cargo trafficking to the periciliary membrane|REACTOME|https://reactome.org
r-hsa-200425|pathway|Carnitine metabolism|REACTOME|https://reactome.org
