ncbi_gene_id	gene_symbol	association_type	disease_id	source
NCBIGene:60	ACTB	MENDELIAN	OMIM:243310	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:672	BRCA1	POLYGENIC	OMIM:604370	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:5610	EIF2AK2	MENDELIAN	OMIM:618877	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:10463	SLC30A9	MENDELIAN	OMIM:617595	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:81570	CLPB	MENDELIAN	OMIM:616271	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:1387	CREBBP	MENDELIAN	OMIM:180849	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:960	CD44	MENDELIAN	OMIM:609027	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:5885	RAD21	MENDELIAN	OMIM:611376	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:5080	PAX6	MENDELIAN	OMIM:604229	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:55703	POLR3B	MENDELIAN	OMIM:614381	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:50484	RRM2B	MENDELIAN	OMIM:613077	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:25836	NIPBL	MENDELIAN	OMIM:122470	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:9563	H6PD	MENDELIAN	OMIM:604931	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:60	ACTB	MENDELIAN	OMIM:604919	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:4171	MCM2	MENDELIAN	OMIM:616968	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:672	BRCA1	POLYGENIC	OMIM:614320	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:23204	ARL6IP1	MENDELIAN	OMIM:615685	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:204	AK2	MENDELIAN	OMIM:267500	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:23451	SF3B1	MENDELIAN	OMIM:614286	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:5250	SLC25A3	MENDELIAN	OMIM:610773	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:5080	PAX6	MENDELIAN	OMIM:165550	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:6908	TBP	MENDELIAN	OMIM:607136	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:5080	PAX6	MENDELIAN	OMIM:194072	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:5700	PSMC1	MENDELIAN	OMIM:620071	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:3720	JARID2	MENDELIAN	OMIM:620098	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:7167	TPI1	MENDELIAN	OMIM:615512	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:51360	MBTPS2	MENDELIAN	OMIM:308800	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:1407	CRY1	POLYGENIC	OMIM:614163	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:4998	ORC1	MENDELIAN	OMIM:224690	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:7403	KDM6A	MENDELIAN	OMIM:147920	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:7546	ZIC2	MENDELIAN	OMIM:609637	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:8243	SMC1A	MENDELIAN	OMIM:301044	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:23028	KDM1A	MENDELIAN	OMIM:616728	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:3757	KCNH2	MENDELIAN	OMIM:609620	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:3181	HNRNPA2B1	MENDELIAN	OMIM:615422	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:51360	MBTPS2	MENDELIAN	OMIM:301014	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:57492	ARID1B	MENDELIAN	OMIM:135900	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:8284	KDM5D	MENDELIAN	OMIM:415000	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:9918	NCAPD2	MENDELIAN	OMIM:617983	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:3615	IMPDH2	MENDELIAN	OMIM:617995	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:7543	ZFX	MENDELIAN	OMIM:301118	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:1387	CREBBP	MENDELIAN	OMIM:618332	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:5610	EIF2AK2	MENDELIAN	OMIM:619687	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:5080	PAX6	MENDELIAN	OMIM:120200	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:5885	RAD21	MENDELIAN	OMIM:614701	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:55703	POLR3B	MENDELIAN	OMIM:607694	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:5888	RAD51	POLYGENIC	OMIM:114480	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:672	BRCA1	MENDELIAN	OMIM:114480	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:11338	U2AF2	MENDELIAN	OMIM:620535	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:5111	PCNA	MENDELIAN	OMIM:615919	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:6231	RPS26	MENDELIAN	OMIM:613309	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:50484	RRM2B	MENDELIAN	OMIM:612075	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:10765	KDM5B	MENDELIAN	OMIM:618109	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:1974	EIF4A2	MENDELIAN	OMIM:620455	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:3181	HNRNPA2B1	MENDELIAN	OMIM:620460	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:5080	PAX6	MENDELIAN	OMIM:120430	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:60	ACTB	MENDELIAN	OMIM:620475	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:60	ACTB	MENDELIAN	OMIM:620470	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:7175	TPR	MENDELIAN	OMIM:620393	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:6234	RPS28	MENDELIAN	OMIM:606164	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:5888	RAD51	MENDELIAN	OMIM:614508	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:5080	PAX6	MENDELIAN	OMIM:106210	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:5981	RFC1	MENDELIAN	OMIM:614575	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:5888	RAD51	MENDELIAN	OMIM:157600	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:60	ACTB	MENDELIAN	OMIM:607371	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:5052	PRDX1	MENDELIAN	OMIM:277400	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:6908	TBP	POLYGENIC	OMIM:168600	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:6232	RPS27	MENDELIAN	OMIM:617409	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:23028	KDM1A	POLYGENIC	OMIM:620990	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:54443	ANLN	MENDELIAN	OMIM:616032	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:7403	KDM6A	MENDELIAN	OMIM:300867	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:10771	ZMYND11	MENDELIAN	OMIM:616083	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:5080	PAX6	MENDELIAN	OMIM:148190	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:738	VPS51	MENDELIAN	OMIM:618606	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:23135	KDM6B	MENDELIAN	OMIM:618505	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:5927	KDM5A	MENDELIAN	OMIM:620820	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:81570	CLPB	MENDELIAN	OMIM:619835	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:5888	RAD51	MENDELIAN	OMIM:617244	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:6647	SOD1	MENDELIAN	OMIM:618598	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:8243	SMC1A	MENDELIAN	OMIM:300590	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:8242	KDM5C	MENDELIAN	OMIM:300534	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:3757	KCNH2	MENDELIAN	OMIM:613688	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:81570	CLPB	MENDELIAN	OMIM:619813	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:55703	POLR3B	MENDELIAN	OMIM:619742	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:6651	SON	MENDELIAN	OMIM:617140	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:4869	NPM1	MENDELIAN	OMIM:601626	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen
NCBIGene:3757	KCNH2	UNKNOWN	ORPHA:51083	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:10765	KDM5B	UNKNOWN	ORPHA:178469	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:7314	UBB	UNKNOWN	ORPHA:101023	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:3757	KCNH2	UNKNOWN	ORPHA:101016	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:2115	ETV1	UNKNOWN	ORPHA:319	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:7546	ZIC2	UNKNOWN	ORPHA:280195	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:4171	MCM2	UNKNOWN	ORPHA:90635	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:8242	KDM5C	UNKNOWN	ORPHA:85279	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:51360	MBTPS2	UNKNOWN	ORPHA:85284	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:672	BRCA1	UNKNOWN	ORPHA:84	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:5888	RAD51	UNKNOWN	ORPHA:84	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:1654	DDX3X	UNKNOWN	ORPHA:99861	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:10383	TUBB4B	UNKNOWN	ORPHA:65	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:23204	ARL6IP1	UNKNOWN	ORPHA:401780	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:57492	ARID1B	UNKNOWN	ORPHA:1465	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:8243	SMC1A	UNKNOWN	ORPHA:220386	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:7546	ZIC2	UNKNOWN	ORPHA:220386	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:50484	RRM2B	UNKNOWN	ORPHA:298	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:7546	ZIC2	UNKNOWN	ORPHA:280200	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:5610	EIF2AK2	UNKNOWN	ORPHA:256	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:22807	IKZF2	UNKNOWN	ORPHA:699599	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:204	AK2	UNKNOWN	ORPHA:33355	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:58508	KMT2C	UNKNOWN	ORPHA:261652	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:1654	DDX3X	UNKNOWN	ORPHA:3338	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:3181	HNRNPA2B1	UNKNOWN	ORPHA:52430	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:5250	SLC25A3	UNKNOWN	ORPHA:91130	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:5080	PAX6	UNKNOWN	ORPHA:250923	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:6591	SNAI2	UNKNOWN	ORPHA:2884	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:672	BRCA1	UNKNOWN	ORPHA:145	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:5888	RAD51	UNKNOWN	ORPHA:145	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:7175	TPR	UNKNOWN	ORPHA:146	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:672	BRCA1	UNKNOWN	ORPHA:168829	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:3670	ISL1	UNKNOWN	ORPHA:93930	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:7546	ZIC2	UNKNOWN	ORPHA:93926	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:7546	ZIC2	UNKNOWN	ORPHA:93924	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:7546	ZIC2	UNKNOWN	ORPHA:93925	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:5981	RFC1	UNKNOWN	ORPHA:504476	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:6224	RPS20	UNKNOWN	ORPHA:124	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:6232	RPS27	UNKNOWN	ORPHA:124	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:6234	RPS28	UNKNOWN	ORPHA:124	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:6231	RPS26	UNKNOWN	ORPHA:124	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:50484	RRM2B	UNKNOWN	ORPHA:329336	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:6908	TBP	UNKNOWN	ORPHA:98759	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:4998	ORC1	UNKNOWN	ORPHA:2554	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:23028	KDM1A	UNKNOWN	ORPHA:477993	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:8243	SMC1A	UNKNOWN	ORPHA:199	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:25836	NIPBL	UNKNOWN	ORPHA:199	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:5885	RAD21	UNKNOWN	ORPHA:199	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:6651	SON	UNKNOWN	ORPHA:500150	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:4176	MCM7	UNKNOWN	ORPHA:2512	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:672	BRCA1	UNKNOWN	ORPHA:694963	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:8243	SMC1A	UNKNOWN	ORPHA:3095	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:55703	POLR3B	UNKNOWN	ORPHA:88637	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:7175	TPR	UNKNOWN	ORPHA:88616	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:10765	KDM5B	UNKNOWN	ORPHA:88616	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:7167	TPI1	UNKNOWN	ORPHA:868	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:5080	PAX6	UNKNOWN	ORPHA:893	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:6591	SNAI2	UNKNOWN	ORPHA:895	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:6427	SRSF2	UNKNOWN	ORPHA:98850	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:6427	SRSF2	UNKNOWN	ORPHA:98849	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:4869	NPM1	UNKNOWN	ORPHA:98842	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:4869	NPM1	UNKNOWN	ORPHA:98833	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:4869	NPM1	UNKNOWN	ORPHA:98834	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:6427	SRSF2	UNKNOWN	ORPHA:98823	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:672	BRCA1	UNKNOWN	ORPHA:227535	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:5982	RFC2	UNKNOWN	ORPHA:904	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:50943	FOXP3	UNKNOWN	ORPHA:37042	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:51360	MBTPS2	UNKNOWN	ORPHA:216812	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:3190	HNRNPK	UNKNOWN	ORPHA:352665	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:51360	MBTPS2	UNKNOWN	ORPHA:216820	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:672	BRCA1	UNKNOWN	ORPHA:1333	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:672	BRCA1	UNKNOWN	ORPHA:1331	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:3615	IMPDH2	UNKNOWN	ORPHA:98808	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:51360	MBTPS2	UNKNOWN	ORPHA:216796	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:5080	PAX6	UNKNOWN	ORPHA:98947	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:5080	PAX6	UNKNOWN	ORPHA:1065	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:5080	PAX6	UNKNOWN	ORPHA:98943	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:5080	PAX6	UNKNOWN	ORPHA:98944	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:5080	PAX6	UNKNOWN	ORPHA:98945	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:5080	PAX6	UNKNOWN	ORPHA:98946	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:5080	PAX6	UNKNOWN	ORPHA:98942	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:60	ACTB	UNKNOWN	ORPHA:64755	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:6647	SOD1	UNKNOWN	ORPHA:803	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:51360	MBTPS2	UNKNOWN	ORPHA:2340	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:5080	PAX6	UNKNOWN	ORPHA:2334	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:7403	KDM6A	UNKNOWN	ORPHA:2322	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:672	BRCA1	UNKNOWN	ORPHA:70567	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:51099	ABHD5	UNKNOWN	ORPHA:98907	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:3190	HNRNPK	UNKNOWN	ORPHA:453504	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:23028	KDM1A	UNKNOWN	ORPHA:189427	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:57492	ARID1B	UNKNOWN	ORPHA:251056	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:23451	SF3B1	UNKNOWN	ORPHA:75564	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:81570	CLPB	UNKNOWN	ORPHA:445038	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:1387	CREBBP	UNKNOWN	ORPHA:353281	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:51360	MBTPS2	UNKNOWN	ORPHA:659	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:54443	ANLN	UNKNOWN	ORPHA:656	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:10771	ZMYND11	UNKNOWN	ORPHA:694308	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:23451	SF3B1	UNKNOWN	ORPHA:39044	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:9563	H6PD	UNKNOWN	ORPHA:168588	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:1387	CREBBP	UNKNOWN	ORPHA:353277	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:5080	PAX6	UNKNOWN	ORPHA:708	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:60	ACTB	UNKNOWN	ORPHA:674653	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:1750	DLX6	UNKNOWN	ORPHA:2440	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:22807	IKZF2	UNKNOWN	ORPHA:697389	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:4869	NPM1	UNKNOWN	ORPHA:402026	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:50484	RRM2B	UNKNOWN	ORPHA:254892	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:3720	JARID2	UNKNOWN	ORPHA:528084	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:1974	EIF4A2	UNKNOWN	ORPHA:528084	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:4869	NPM1	UNKNOWN	ORPHA:300865	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:5885	RAD21	UNKNOWN	ORPHA:502	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:4869	NPM1	UNKNOWN	ORPHA:520	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:5888	RAD51	UNKNOWN	ORPHA:238722	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:60	ACTB	UNKNOWN	ORPHA:79107	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:10771	ZMYND11	UNKNOWN	ORPHA:687424	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:60	ACTB	UNKNOWN	ORPHA:2995	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:50484	RRM2B	UNKNOWN	ORPHA:255235	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:6224	RPS20	UNKNOWN	ORPHA:440437	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:10463	SLC30A9	UNKNOWN	ORPHA:505242	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:5080	PAX6	UNKNOWN	ORPHA:35737	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:7314	UBB	UNKNOWN	ORPHA:155878	http://www.orphadata.org/data/xml/en_product6.xml
NCBIGene:25836	NIPBL	UNKNOWN	ORPHA:329802	http://www.orphadata.org/data/xml/en_product6.xml
