biological_context|label|score|source|source_id|source_type|source_url|target_id|target_type
UBERON_0006618|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
UBERON_0006618|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
UBERON_0002369|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
UBERON_0002369|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
UBERON_0002048|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
UBERON_0002048|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
UBERON_0001323|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
UBERON_0001323|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
UBERON_0001264|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
UBERON_0001264|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
UBERON_0000007|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
UBERON_0000007|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
UBERON_0036149|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
UBERON_0036149|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
UBERON_0000947|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
UBERON_0000947|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
UBERON_0000945|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
UBERON_0000945|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
UBERON_0000473|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
UBERON_0002046|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
UBERON_0002046|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
UBERON_0001621|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
UBERON_0001621|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
UBERON_0007610|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
UBERON_0007610|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
CLO_0003665|associated_with|0.324906451201961|PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
CLO_0050119|associated_with|0.0646061715481327|PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000131591|gene
UBERON_0007650|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000187642|gene
UBERON_0007650|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000187642|gene
UBERON_0004648|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000187642|gene
UBERON_0004648|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000187642|gene
UBERON_0000947|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000187642|gene
UBERON_0000947|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000187642|gene
CLO_0003665|associated_with|0.164425290627399|PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000187642|gene
CLO_0050119|associated_with|0.0574559167099999|PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000187642|gene
CLO_0007606|associated_with|0.0316013793313801|PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000187642|gene
UBERON_0014454|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000188157|gene
UBERON_0014454|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000188157|gene
UBERON_0004648|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000188157|gene
UBERON_0004648|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000188157|gene
UBERON_0001323|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000188157|gene
UBERON_0001323|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000188157|gene
UBERON_0002046|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000188157|gene
UBERON_0002046|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000188157|gene
CLO_0003665|associated_with|0.147671091377137|PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000188157|gene
CLO_0050119|associated_with|0.0839076114972754|PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000188157|gene
CLO_0007606|associated_with|0.0930301077558818|PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000188157|gene
UBERON_0036149|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000237330|gene
UBERON_0036149|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000237330|gene
UBERON_0004264|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000237330|gene
UBERON_0004264|associated_with||PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000237330|gene
CLO_0003665|associated_with|0.474855751422019|PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000237330|gene
CLO_0050119|associated_with|0.039273953384995|PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000237330|gene
CLO_0007606|associated_with|0.128046772930446|PEREGRINE|SO_chr1_1069266_1069606_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000237330|gene
CLO_0001601|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162438|gene
CLO_0002177|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162438|gene
CLO_0003434|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162438|gene
CLO_0007366|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162438|gene
CLO_0008089|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162438|gene
CLO_0008381|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162438|gene
CLO_0008877|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162438|gene
CLO_0037076|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162438|gene
CLO_0009047|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162438|gene
CLO_0009054|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162438|gene
CLO_0009058|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162438|gene
CLO_0009251|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162438|gene
CLO_0001654|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162438|gene
CL_0002603|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162438|gene
CL_2000044|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162438|gene
CL_2000043|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162438|gene
CL_2000091|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162438|gene
CL_0002262|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162438|gene
CLO_0022851|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162438|gene
EFO_0001188|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162438|gene
CLO_0006951|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162438|gene
CLO_0050119|associated_with|0.108568109342927|PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162438|gene
CLO_0003665|associated_with|0.144950753333029|PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162438|gene
CLO_0007606|associated_with|0.042278709224129|PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000162438|gene
CLO_0001601|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000142634|gene
CLO_0002177|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000142634|gene
CLO_0003434|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000142634|gene
CLO_0007366|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000142634|gene
CLO_0008089|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000142634|gene
CLO_0008381|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000142634|gene
CLO_0008877|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000142634|gene
CLO_0037076|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000142634|gene
CLO_0009047|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000142634|gene
CLO_0009054|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000142634|gene
CLO_0009058|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000142634|gene
CLO_0009251|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000142634|gene
CLO_0001654|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000142634|gene
CLO_0002785|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000142634|gene
CL_0002603|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000142634|gene
CL_2000044|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000142634|gene
CL_2000043|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000142634|gene
CL_2000091|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000142634|gene
CL_0002262|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000142634|gene
CLO_0006951|associated_with||PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000142634|gene
CLO_0050119|associated_with|0.447485123182444|PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000142634|gene
CLO_0003665|associated_with|0.474820559290951|PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000142634|gene
CLO_0007606|associated_with|0.105467547497944|PEREGRINE|SO_chr1_15346622_15346926_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000142634|gene
UBERON_0000473|associated_with||PEREGRINE|SO_chr11_124276186_124276576_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000255298|gene
CLO_0001601|associated_with||PEREGRINE|SO_chr11_124276186_124276576_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000255298|gene
CLO_0002177|associated_with||PEREGRINE|SO_chr11_124276186_124276576_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000255298|gene
CLO_0003434|associated_with||PEREGRINE|SO_chr11_124276186_124276576_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000255298|gene
CLO_0007366|associated_with||PEREGRINE|SO_chr11_124276186_124276576_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000255298|gene
CLO_0008089|associated_with||PEREGRINE|SO_chr11_124276186_124276576_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000255298|gene
CLO_0008381|associated_with||PEREGRINE|SO_chr11_124276186_124276576_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000255298|gene
CLO_0008877|associated_with||PEREGRINE|SO_chr11_124276186_124276576_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000255298|gene
CLO_0037076|associated_with||PEREGRINE|SO_chr11_124276186_124276576_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000255298|gene
CLO_0009047|associated_with||PEREGRINE|SO_chr11_124276186_124276576_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000255298|gene
CLO_0009054|associated_with||PEREGRINE|SO_chr11_124276186_124276576_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000255298|gene
CLO_0009058|associated_with||PEREGRINE|SO_chr11_124276186_124276576_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000255298|gene
CLO_0009251|associated_with||PEREGRINE|SO_chr11_124276186_124276576_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000255298|gene
CLO_0001654|associated_with||PEREGRINE|SO_chr11_124276186_124276576_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000255298|gene
CLO_0002785|associated_with||PEREGRINE|SO_chr11_124276186_124276576_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000255298|gene
CL_0002603|associated_with||PEREGRINE|SO_chr11_124276186_124276576_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000255298|gene
CL_2000044|associated_with||PEREGRINE|SO_chr11_124276186_124276576_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000255298|gene
CL_2000043|associated_with||PEREGRINE|SO_chr11_124276186_124276576_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000255298|gene
CL_2000091|associated_with||PEREGRINE|SO_chr11_124276186_124276576_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000255298|gene
CL_0002262|associated_with||PEREGRINE|SO_chr11_124276186_124276576_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000255298|gene
CLO_0003665|associated_with|0.1576516981884|PEREGRINE|SO_chr11_124276186_124276576_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000255298|gene
CLO_0050119|associated_with|0.974319198762129|PEREGRINE|SO_chr11_124276186_124276576_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000255298|gene
CLO_0007606|associated_with|0.0549009365018166|PEREGRINE|SO_chr11_124276186_124276576_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000255298|gene
UBERON_0000007|associated_with||PEREGRINE|SO_chr11_124276186_124276576_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000110002|gene
UBERON_0000947|associated_with||PEREGRINE|SO_chr11_124276186_124276576_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000110002|gene
CLO_0001601|associated_with||PEREGRINE|SO_chr11_124276186_124276576_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000110002|gene
CLO_0002177|associated_with||PEREGRINE|SO_chr11_124276186_124276576_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000110002|gene
CLO_0003434|associated_with||PEREGRINE|SO_chr11_124276186_124276576_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000110002|gene
CLO_0007366|associated_with||PEREGRINE|SO_chr11_124276186_124276576_GRCh38|enhancer|https://www.peregrineproj.org/|ensg00000110002|gene
