gene_name|id|source|source_url|transcript_id|transcript_name|transcript_type
SNAP25-AS1|ENST00000662559|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000662559.1|SNAP25-AS1-217|lncRNA
SNAP25-AS1|ENST00000661134|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000661134.1|SNAP25-AS1-215|lncRNA
SNAP25-AS1|ENST00000655307|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000655307.1|SNAP25-AS1-209|lncRNA
SNAP25-AS1|ENST00000660550|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000660550.1|SNAP25-AS1-214|lncRNA
SNAP25-AS1|ENST00000667042|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000667042.1|SNAP25-AS1-221|lncRNA
SNAP25-AS1|ENST00000671416|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000671416.1|SNAP25-AS1-223|lncRNA
SNAP25-AS1|ENST00000438646|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000438646.1|SNAP25-AS1-203|lncRNA
SNAP25-AS1|ENST00000656496|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000656496.1|SNAP25-AS1-211|lncRNA
SNAP25-AS1|ENST00000421143|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000421143.6|SNAP25-AS1-201|lncRNA
SNAP25-AS1|ENST00000426491|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000426491.5|SNAP25-AS1-202|lncRNA
SNAP25-AS1|ENST00000605592|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000605592.2|SNAP25-AS1-208|lncRNA
SNAP25-AS1|ENST00000451151|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000451151.6|SNAP25-AS1-204|lncRNA
SNAP25-AS1|ENST00000671453|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000671453.1|SNAP25-AS1-224|lncRNA
SNAP25-AS1|ENST00000692436|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000692436.2|SNAP25-AS1-225|lncRNA
SNAP25-AS1|ENST00000453544|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000453544.5|SNAP25-AS1-205|lncRNA
SNAP25-AS1|ENST00000701361|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000701361.1|SNAP25-AS1-226|lncRNA
unknown|ENST00000614195|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000614195.1|Metazoa_SRP.120-201|misc_RNA
SNAP25|ENST00000693732|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000693732.1|SNAP25-222|protein_coding_CDS_not_defined
SNAP25|ENST00000689077|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000689077.1|SNAP25-208|protein_coding_CDS_not_defined
SNAP25|ENST00000690099|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000690099.1|SNAP25-213|retained_intron
SNAP25|ENST00000690766|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000690766.1|SNAP25-214|retained_intron
SNAP25|ENST00000254976|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000254976.7|SNAP25-201|protein_coding
SNAP25|ENST00000691665|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000691665.1|SNAP25-218|protein_coding
SNAP25|ENST00000304886|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000304886.6|SNAP25-202|protein_coding
SNAP25|ENST00000693325|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000693325.1|SNAP25-221|protein_coding
SNAP25|ENST00000689858|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000689858.1|SNAP25-212|protein_coding
SNAP25|ENST00000689757|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000689757.1|SNAP25-211|protein_coding
SNAP25|ENST00000685131|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000685131.1|SNAP25-206|protein_coding
SNAP25|ENST00000689248|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000689248.1|SNAP25-209|protein_coding_CDS_not_defined
SNAP25|ENST00000687785|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000687785.1|SNAP25-207|protein_coding
SNAP25|ENST00000691161|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000691161.1|SNAP25-216|protein_coding
SNAP25|ENST00000692411|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000692411.1|SNAP25-219|protein_coding
SNAP25|ENST00000690812|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000690812.1|SNAP25-215|protein_coding
SNAP25|ENST00000706269|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000706269.1|SNAP25-223|protein_coding
SNAP25|ENST00000691353|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000691353.1|SNAP25-217|protein_coding
SNAP25|ENST00000492814|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000492814.1|SNAP25-204|retained_intron
SNAP25|ENST00000692697|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000692697.1|SNAP25-220|retained_intron
SNAP25|ENST00000689723|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000689723.1|SNAP25-210|retained_intron
SNAP25|ENST00000495883|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000495883.1|SNAP25-205|retained_intron
unknown|ENST00000662058|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000662058.1|ENST00000662058|lncRNA
unknown|ENST00000424931|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000424931.1|ENST00000424931|lncRNA
unknown|ENST00000666915|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000666915.1|ENST00000666915|lncRNA
unknown|ENST00000458004|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000458004.2|ENST00000458004|lncRNA
unknown|ENST00000688853|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000688853.1|ENST00000688853|lncRNA
unknown|ENST00000664194|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000664194.1|ENST00000664194|lncRNA
HIGD1AP15|ENST00000416198|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000416198.1|HIGD1AP15-201|processed_pseudogene
RPL23AP6|ENST00000446637|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000446637.1|RPL23AP6-201|processed_pseudogene
SDAD1P2|ENST00000441308|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000441308.1|SDAD1P2-201|processed_pseudogene
MKKS|ENST00000347364|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000347364.7|MKKS-201|protein_coding
MKKS|ENST00000651692|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000651692.1|MKKS-203|protein_coding
MKKS|ENST00000652676|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000652676.1|MKKS-204|protein_coding_CDS_not_defined
MKKS|ENST00000399054|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000399054.6|MKKS-202|protein_coding
MKKS|ENST00000609375|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000609375.1|MKKS-205|protein_coding
MKKS|ENST00000649912|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000649912.1|MKKS-206|protein_coding
SLX4IP|ENST00000334534|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000334534.10|SLX4IP-201|protein_coding
DNAJC9P1|ENST00000456064|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000456064.1|ENST00000456064|processed_pseudogene
JAG1|ENST00000254958|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000254958.10|JAG1-201|protein_coding
JAG1|ENST00000423891|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000423891.6|JAG1-202|protein_coding_CDS_not_defined
JAG1|ENST00000617357|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000617357.1|JAG1-206|retained_intron
JAG1|ENST00000617965|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000617965.2|JAG1-207|retained_intron
JAG1|ENST00000488480|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000488480.2|JAG1-203|retained_intron
JAG1|ENST00000612857|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000612857.1|JAG1-204|retained_intron
JAG1|ENST00000620743|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000620743.1|JAG1-208|retained_intron
MIR6870|ENST00000615931|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000615931.1|MIR6870-201|miRNA
unknown|ENST00000667822|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000667822.1|ENST00000667822|lncRNA
unknown|ENST00000605292|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000605292.5|ENST00000605292|lncRNA
unknown|ENST00000603462|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000603462.1|ENST00000603462|lncRNA
unknown|ENST00000603180|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000603180.5|ENST00000603180|lncRNA
unknown|ENST00000603985|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000603985.1|ENST00000603985|lncRNA
LINC01752|ENST00000417299|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000417299.2|LINC01752-201|lncRNA
LINC01752|ENST00000654385|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000654385.1|LINC01752-202|lncRNA
unknown|ENST00000418690|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000418690.1|ENST00000418690|lncRNA
unknown|ENST00000448859|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000448859.2|ENST00000448859|lncRNA
unknown|ENST00000668688|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000668688.1|ENST00000668688|lncRNA
unknown|ENST00000654048|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000654048.1|ENST00000654048|lncRNA
unknown|ENST00000665099|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000665099.1|ENST00000665099|lncRNA
unknown|ENST00000657181|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000657181.1|ENST00000657181|lncRNA
unknown|ENST00000667238|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000667238.1|ENST00000667238|lncRNA
unknown|ENST00000666969|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000666969.1|ENST00000666969|lncRNA
unknown|ENST00000660168|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000660168.1|ENST00000660168|lncRNA
unknown|ENST00000663948|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000663948.1|ENST00000663948|lncRNA
unknown|ENST00000653164|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000653164.1|ENST00000653164|lncRNA
unknown|ENST00000655050|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000655050.1|ENST00000655050|lncRNA
unknown|ENST00000655890|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000655890.1|ENST00000655890|lncRNA
unknown|ENST00000656902|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000656902.1|ENST00000656902|lncRNA
unknown|ENST00000653414|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000653414.1|ENST00000653414|lncRNA
unknown|ENST00000656524|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000656524.1|ENST00000656524|lncRNA
unknown|ENST00000665608|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000665608.1|ENST00000665608|lncRNA
unknown|ENST00000662420|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000662420.1|ENST00000662420|lncRNA
unknown|ENST00000657238|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000657238.1|ENST00000657238|lncRNA
unknown|ENST00000663360|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000663360.1|ENST00000663360|lncRNA
FAT1P1|ENST00000406588|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000406588.1|FAT1P1-201|processed_pseudogene
LINC02871|ENST00000659767|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000659767.1|LINC02871-202|lncRNA
LINC02871|ENST00000662726|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000662726.1|LINC02871-203|lncRNA
LINC02871|ENST00000378252|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000378252.2|LINC02871-201|lncRNA
unknown|ENST00000605338|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000605338.1|ENST00000605338|lncRNA
unknown|ENST00000444792|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000444792.1|ENST00000444792|lncRNA
unknown|ENST00000666460|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000666460.1|ENST00000666460|lncRNA
unknown|ENST00000412405|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000412405.2|ENST00000412405|lncRNA
unknown|ENST00000667330|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000667330.1|ENST00000667330|lncRNA
RPS11P1|ENST00000451072|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000451072.1|RPS11P1-201|processed_pseudogene
unknown|ENST00000632608|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000632608.1|ENST00000632608|lncRNA
unknown|ENST00000661821|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000661821.1|ENST00000661821|lncRNA
LIN28AP3|ENST00000603272|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000603272.1|ENST00000603272|processed_pseudogene
PGAM3P|ENST00000437662|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000437662.1|PGAM3P-201|processed_pseudogene
unknown|ENST00000569833|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000569833.1|ENST00000569833|lncRNA
LINC00687|ENST00000558175|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000558175.1|LINC00687-203|lncRNA
LINC00687|ENST00000663254|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000663254.1|LINC00687-206|lncRNA
LINC00687|ENST00000659465|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000659465.1|LINC00687-205|lncRNA
LINC00687|ENST00000427835|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000427835.3|LINC00687-201|lncRNA
LINC00687|ENST00000656506|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000656506.1|LINC00687-204|lncRNA
LINC00687|ENST00000557899|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000557899.2|LINC00687-202|lncRNA
LINC00687|ENST00000666572|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000666572.1|LINC00687-207|lncRNA
LINC00687|ENST00000668731|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000668731.1|LINC00687-208|lncRNA
RN7SKP111|ENST00000410349|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000410349.1|RN7SKP111-201|misc_RNA
ANAPC13P1|ENST00000605565|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000605565.1|ENST00000605565|processed_pseudogene
BTBD3|ENST00000254977|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000254977.7|BTBD3-201|protein_coding
BTBD3|ENST00000399006|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000399006.6|BTBD3-203|protein_coding
BTBD3|ENST00000405977|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000405977.5|BTBD3-204|protein_coding
BTBD3|ENST00000618918|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000618918.4|BTBD3-215|protein_coding
BTBD3|ENST00000618296|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000618296.4|BTBD3-214|protein_coding
BTBD3|ENST00000378226|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000378226.7|BTBD3-202|protein_coding
BTBD3|ENST00000488503|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000488503.5|BTBD3-213|protein_coding_CDS_not_defined
BTBD3|ENST00000471120|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000471120.1|BTBD3-210|protein_coding_CDS_not_defined
BTBD3|ENST00000473416|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000473416.1|BTBD3-212|protein_coding_CDS_not_defined
BTBD3|ENST00000473180|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000473180.1|BTBD3-211|protein_coding_CDS_not_defined
BTBD3-AS1|ENST00000439529|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000439529.1|BTBD3-AS1-201|lncRNA
unknown|ENST00000654812|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000654812.1|ENST00000654812|lncRNA
unknown|ENST00000455132|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000455132.1|ENST00000455132|lncRNA
unknown|ENST00000442389|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000442389.1|ENST00000442389|lncRNA
PA2G4P2|ENST00000414718|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000414718.1|PA2G4P2-201|processed_pseudogene
LINC01722|ENST00000456265|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000456265.1|LINC01722-201|lncRNA
unknown|ENST00000602702|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000602702.1|ENST00000602702|lncRNA
unknown|ENST00000651426|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000651426.1|ENST00000651426|lncRNA
unknown|ENST00000651029|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000651029.1|ENST00000651029|lncRNA
LINC01723|ENST00000660848|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000660848.1|LINC01723-207|lncRNA
LINC01723|ENST00000666864|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000666864.1|LINC01723-210|lncRNA
LINC01723|ENST00000660733|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000660733.1|LINC01723-206|lncRNA
LINC01723|ENST00000655843|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000655843.1|LINC01723-203|lncRNA
LINC01723|ENST00000432244|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000432244.1|LINC01723-201|lncRNA
LINC01723|ENST00000661302|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000661302.1|LINC01723-208|lncRNA
LINC01723|ENST00000664230|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000664230.1|LINC01723-209|lncRNA
LINC01723|ENST00000668019|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000668019.1|LINC01723-211|lncRNA
LINC01723|ENST00000658737|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000658737.1|LINC01723-205|lncRNA
LINC01723|ENST00000658457|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000658457.1|LINC01723-204|lncRNA
LINC01723|ENST00000654168|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000654168.1|LINC01723-202|lncRNA
LINC01723|ENST00000669657|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000669657.1|LINC01723-212|lncRNA
LINC01723|ENST00000669978|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000669978.1|LINC01723-213|lncRNA
LINC01723|ENST00000670547|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000670547.1|LINC01723-214|lncRNA
LINC01723|ENST00000671262|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000671262.1|LINC01723-215|lncRNA
SPTLC3|ENST00000399002|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000399002.7|SPTLC3-201|protein_coding
SPTLC3|ENST00000476791|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000476791.1|SPTLC3-205|protein_coding_CDS_not_defined
AKAP17A|ENST00000313871|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000313871.9|AKAP17A-201|protein_coding
AKAP17A|ENST00000313871_PAR_Y|GENCODE|https://www.gencodegenes.org/human/|ENSEMBL:ENST00000313871.9_PAR_Y|AKAP17A-201|protein_coding
