tad,genelist
70|chr1|52050000|52400000,TXNDC12|Ensembl:ENSG00000117862|HGNC:TXNDC12;BTF3L4|Ensembl:ENSG00000134717|HGNC:BTF3L4;ZFYVE9|Ensembl:ENSG00000157077|HGNC:ZFYVE9;CC2D1B|Ensembl:ENSG00000154222|HGNC:CC2D1B;ORC1|Ensembl:ENSG00000085840|HGNC:ORC1
71|chr1|52400000|53200000,ORC1|Ensembl:ENSG00000085840|HGNC:ORC1;PRPF38A|Ensembl:ENSG00000134748|HGNC:PRPF38A;TUT4|Ensembl:ENSG00000134744|HGNC:TUT4;GPX7|Ensembl:ENSG00000116157|HGNC:GPX7;SHISAL2A|Ensembl:ENSG00000182183|HGNC:SHISAL2A;COA7|Ensembl:ENSG00000162377|HGNC:COA7;ZYG11B|Ensembl:ENSG00000162378|HGNC:ZYG11B;ZYG11A|Ensembl:ENSG00000203995|HGNC:ZYG11A;ECHDC2|Ensembl:ENSG00000121310|HGNC:ECHDC2;SCP2|Ensembl:ENSG00000116171|HGNC:SCP2;PODN|Ensembl:ENSG00000174348|HGNC:PODN;SLC1A7|Ensembl:ENSG00000162383|HGNC:SLC1A7;CPT2|Ensembl:ENSG00000157184|HGNC:CPT2
96|chr1|77150000|78000000,PIGK|Ensembl:ENSG00000142892|HGNC:PIGK;AK5|Ensembl:ENSG00000154027|HGNC:AK5;ZZZ3|Ensembl:ENSG00000036549|HGNC:ZZZ3;USP33|Ensembl:ENSG00000077254|HGNC:USP33;MIGA1|Ensembl:ENSG00000180488|HGNC:MIGA1;NEXN|Ensembl:ENSG00000162614|HGNC:NEXN;FUBP1|Ensembl:ENSG00000162613|HGNC:FUBP1;DNAJB4|Ensembl:ENSG00000162616|HGNC:DNAJB4;GIPC2|Ensembl:ENSG00000137960|HGNC:GIPC2
150|chr1|153500000|154200000,S100A6|Ensembl:ENSG00000197956|HGNC:S100A6;S100A5|Ensembl:ENSG00000196420|HGNC:S100A5;S100A4|Ensembl:ENSG00000196154|HGNC:S100A4;S100A3|Ensembl:ENSG00000188015|HGNC:S100A3;S100A2|Ensembl:ENSG00000196754|HGNC:S100A2;S100A16|Ensembl:ENSG00000188643|HGNC:S100A16;S100A14|Ensembl:ENSG00000189334|HGNC:S100A14;S100A13|Ensembl:ENSG00000189171|HGNC:S100A13;S100A1|Ensembl:ENSG00000160678|HGNC:S100A1;CHTOP|Ensembl:ENSG00000160679|HGNC:CHTOP;SNAPIN|Ensembl:ENSG00000143553|HGNC:SNAPIN;ILF2|Ensembl:ENSG00000143621|HGNC:ILF2;NPR1|Ensembl:ENSG00000169418|HGNC:NPR1;INTS3|Ensembl:ENSG00000143624|HGNC:INTS3;SLC27A3|Ensembl:ENSG00000143554|HGNC:SLC27A3;GATAD2B|Ensembl:ENSG00000143614|HGNC:GATAD2B;DENND4B|Ensembl:ENSG00000198837|HGNC:DENND4B;CRTC2|Ensembl:ENSG00000160741|HGNC:CRTC2;SLC39A1|Ensembl:ENSG00000143570|HGNC:SLC39A1;CREB3L4|Ensembl:ENSG00000143578|HGNC:CREB3L4;JTB|Ensembl:ENSG00000143543|HGNC:JTB;RAB13|Ensembl:ENSG00000143545|HGNC:RAB13;RPS27|Ensembl:ENSG00000177954|HGNC:RPS27;NUP210L|Ensembl:ENSG00000143552|HGNC:NUP210L;TPM3|Ensembl:ENSG00000143549|HGNC:TPM3;C1orf189|Ensembl:ENSG00000163263|HGNC:C1orf189
194|chr1|185750000|186350000,HMCN1|Ensembl:ENSG00000143341|HGNC:HMCN1;PRG4|Ensembl:ENSG00000116690|HGNC:PRG4;TPR|Ensembl:ENSG00000047410|HGNC:TPR
211|chr1|202150000|203050000,PTPN7|Ensembl:ENSG00000143851|HGNC:PTPN7;LGR6|Ensembl:ENSG00000133067|HGNC:LGR6;UBE2T|Ensembl:ENSG00000077152|HGNC:UBE2T;PPP1R12B|Ensembl:ENSG00000077157|HGNC:PPP1R12B;SYT2|Ensembl:ENSG00000143858|HGNC:SYT2;KDM5B|Ensembl:ENSG00000117139|HGNC:KDM5B;RABIF|Ensembl:ENSG00000183155|HGNC:RABIF;KLHL12|Ensembl:ENSG00000117153|HGNC:KLHL12;ADIPOR1|Ensembl:ENSG00000159346|HGNC:ADIPOR1;CYB5R1|Ensembl:ENSG00000159348|HGNC:CYB5R1;TMEM183A|Ensembl:ENSG00000163444|HGNC:TMEM183A;PPFIA4|Ensembl:ENSG00000143847|HGNC:PPFIA4
221|chr1|211700000|212050000,LPGAT1|Ensembl:ENSG00000123684|HGNC:LPGAT1;INTS7|Ensembl:ENSG00000143493|HGNC:INTS7;DTL|Ensembl:ENSG00000143476|HGNC:DTL
222|chr1|212050000|212500000,DTL|Ensembl:ENSG00000143476|HGNC:DTL;PPP2R5A|Ensembl:ENSG00000066027|HGNC:PPP2R5A;PACC1|Ensembl:ENSG00000065600|HGNC:PACC1;NENF|Ensembl:ENSG00000117691|HGNC:NENF
247|chr1|235150000|235450000,RBM34|Ensembl:ENSG00000188739|HGNC:RBM34;ARID4B|Ensembl:ENSG00000054267|HGNC:ARID4B;GGPS1|Ensembl:ENSG00000152904|HGNC:GGPS1;TBCE|Ensembl:ENSG00000284770|HGNC:TBCE;B3GALNT2|Ensembl:ENSG00000162885|HGNC:B3GALNT2
257|chr1|243350000|244500000,SDCCAG8|Ensembl:ENSG00000054282|HGNC:SDCCAG8;AKT3|Ensembl:ENSG00000117020|HGNC:AKT3;ZBTB18|Ensembl:ENSG00000179456|HGNC:ZBTB18;C1orf100|Ensembl:ENSG00000173728|HGNC:C1orf100;ADSS2|Ensembl:ENSG00000035687|HGNC:ADSS2;CATSPERE|Ensembl:ENSG00000179397|HGNC:CATSPERE
261|chr10|50000|1150000,TUBB8|Ensembl:ENSG00000261456|HGNC:TUBB8;ZMYND11|Ensembl:ENSG00000015171|HGNC:ZMYND11;DIP2C|Ensembl:ENSG00000151240|HGNC:DIP2C;LARP4B|Ensembl:ENSG00000107929|HGNC:LARP4B;GTPBP4|Ensembl:ENSG00000107937|HGNC:GTPBP4;IDI2|Ensembl:ENSG00000148377|HGNC:IDI2;IDI1|Ensembl:ENSG00000067064|HGNC:IDI1;WDR37|Ensembl:ENSG00000047056|HGNC:WDR37
382|chr11|150000|850000,BET1L|Ensembl:ENSG00000177951|HGNC:BET1L;SCGB1C1|Ensembl:ENSG00000188076|HGNC:SCGB1C1;ODF3|Ensembl:ENSG00000177947|HGNC:ODF3;RIC8A|Ensembl:ENSG00000177963|HGNC:RIC8A;SIRT3|Ensembl:ENSG00000142082|HGNC:SIRT3;PSMD13|Ensembl:ENSG00000185627|HGNC:PSMD13;NLRP6|Ensembl:ENSG00000174885|HGNC:NLRP6;PGGHG|Ensembl:ENSG00000142102|HGNC:PGGHG;IFITM5|Ensembl:ENSG00000206013|HGNC:IFITM5;IFITM2|Ensembl:ENSG00000185201|HGNC:IFITM2;IFITM1|Ensembl:ENSG00000185885|HGNC:IFITM1;IFITM3|Ensembl:ENSG00000142089|HGNC:IFITM3;B4GALNT4|Ensembl:ENSG00000182272|HGNC:B4GALNT4;PKP3|Ensembl:ENSG00000184363|HGNC:PKP3;SIGIRR|Ensembl:ENSG00000185187|HGNC:SIGIRR;ANO9|Ensembl:ENSG00000185101|HGNC:ANO9;PTDSS2|Ensembl:ENSG00000174915|HGNC:PTDSS2;RNH1|Ensembl:ENSG00000023191|HGNC:RNH1;HRAS|Ensembl:ENSG00000174775|HGNC:HRAS;LRRC56|Ensembl:ENSG00000161328|HGNC:LRRC56;LMNTD2|Ensembl:ENSG00000185522|HGNC:LMNTD2;RASSF7|Ensembl:ENSG00000099849|HGNC:RASSF7;PHRF1|Ensembl:ENSG00000070047|HGNC:PHRF1;IRF7|Ensembl:ENSG00000185507|HGNC:IRF7;CDHR5|Ensembl:ENSG00000099834|HGNC:CDHR5;SCT|Ensembl:ENSG00000070031|HGNC:SCT;DRD4|Ensembl:ENSG00000069696|HGNC:DRD4;DEAF1|Ensembl:ENSG00000177030|HGNC:DEAF1;EPS8L2|Ensembl:ENSG00000177106|HGNC:EPS8L2;TMEM80|Ensembl:ENSG00000177042|HGNC:TMEM80;TALDO1|Ensembl:ENSG00000177156|HGNC:TALDO1;GATD1|Ensembl:ENSG00000177225|HGNC:GATD1;CEND1|Ensembl:ENSG00000184524|HGNC:CEND1;SLC25A22|Ensembl:ENSG00000177542|HGNC:SLC25A22;PIDD1|Ensembl:ENSG00000177595|HGNC:PIDD1;RPLP2|Ensembl:ENSG00000177600|HGNC:RPLP2;PNPLA2|Ensembl:ENSG00000177666|HGNC:PNPLA2;CRACR2B|Ensembl:ENSG00000177685|HGNC:CRACR2B;CD151|Ensembl:ENSG00000177697|HGNC:CD151;POLR2L|Ensembl:ENSG00000177700|HGNC:POLR2L;TSPAN4|Ensembl:ENSG00000214063|HGNC:TSPAN4
403|chr11|13500000|14550000,FAR1|Ensembl:ENSG00000197601|HGNC:FAR1;SPON1|Ensembl:ENSG00000262655|HGNC:SPON1;RRAS2|Ensembl:ENSG00000133818|HGNC:RRAS2;COPB1|Ensembl:ENSG00000129083|HGNC:COPB1;PSMA1|Ensembl:ENSG00000129084|HGNC:PSMA1
404|chr11|14550000|15250000,PSMA1|Ensembl:ENSG00000129084|HGNC:PSMA1;PDE3B|Ensembl:ENSG00000152270|HGNC:PDE3B;CYP2R1|Ensembl:ENSG00000186104|HGNC:CYP2R1;CALCB|Ensembl:ENSG00000175868|HGNC:CALCB;CALCA|Ensembl:ENSG00000110680|HGNC:CALCA;INSC|Ensembl:ENSG00000188487|HGNC:INSC
419|chr11|31150000|32350000,DCDC1|Ensembl:ENSG00000170959|HGNC:DCDC1;DNAJC24|Ensembl:ENSG00000170946|HGNC:DNAJC24;IMMP1L|Ensembl:ENSG00000148950|HGNC:IMMP1L;ELP4|Ensembl:ENSG00000109911|HGNC:ELP4;PAX6|Ensembl:ENSG00000007372|HGNC:PAX6;RCN1|Ensembl:ENSG00000049449|HGNC:RCN1
426|chr11|34950000|35500000,PDHX|Ensembl:ENSG00000110435|HGNC:PDHX;CD44|Ensembl:ENSG00000026508|HGNC:CD44;SLC1A2|Ensembl:ENSG00000110436|HGNC:SLC1A2;PAMR1|Ensembl:ENSG00000149090|HGNC:PAMR1
457|chr11|64800000|65150000,MAP4K2|Ensembl:ENSG00000168067|HGNC:MAP4K2;MEN1|Ensembl:ENSG00000133895|HGNC:MEN1;CDC42BPG|Ensembl:ENSG00000171219|HGNC:CDC42BPG;EHD1|Ensembl:ENSG00000110047|HGNC:EHD1;ATG2A|Ensembl:ENSG00000110046|HGNC:ATG2A;PPP2R5B|Ensembl:ENSG00000068971|HGNC:PPP2R5B;GPHA2|Ensembl:ENSG00000149735|HGNC:GPHA2;MAJIN|Ensembl:ENSG00000168070|HGNC:MAJIN;BATF2|Ensembl:ENSG00000168062|HGNC:BATF2;ARL2|Ensembl:ENSG00000213465|HGNC:ARL2;ARL2-SNX15|Ensembl:ENSG00000273003|HGNC:ARL2-SNX15;SNX15|Ensembl:ENSG00000110025|HGNC:SNX15;SAC3D1|Ensembl:ENSG00000168061|HGNC:SAC3D1;NAALADL1|Ensembl:ENSG00000168060|HGNC:NAALADL1;CDCA5|Ensembl:ENSG00000146670|HGNC:CDCA5;ZFPL1|Ensembl:ENSG00000162300|HGNC:ZFPL1;TMEM262|Ensembl:ENSG00000187066|HGNC:TMEM262;VPS51|Ensembl:ENSG00000149823|HGNC:VPS51;TM7SF2|Ensembl:ENSG00000149809|HGNC:TM7SF2;ZNHIT2|Ensembl:ENSG00000174276|HGNC:ZNHIT2;FAU|Ensembl:ENSG00000149806|HGNC:FAU;SYVN1|Ensembl:ENSG00000162298|HGNC:SYVN1;MRPL49|Ensembl:ENSG00000149792|HGNC:MRPL49
458|chr11|65150000|65600000,SPDYC|Ensembl:ENSG00000204710|HGNC:SPDYC;CAPN1|Ensembl:ENSG00000014216|HGNC:CAPN1;POLA2|Ensembl:ENSG00000014138|HGNC:POLA2;CDC42EP2|Ensembl:ENSG00000149798|HGNC:CDC42EP2;DPF2|Ensembl:ENSG00000133884|HGNC:DPF2;TIGD3|Ensembl:ENSG00000173825|HGNC:TIGD3;SLC25A45|Ensembl:ENSG00000162241|HGNC:SLC25A45;FRMD8|Ensembl:ENSG00000126391|HGNC:FRMD8;SCYL1|Ensembl:ENSG00000142186|HGNC:SCYL1;LTBP3|Ensembl:ENSG00000168056|HGNC:LTBP3;ZNRD2|Ensembl:ENSG00000173465|HGNC:ZNRD2;FAM89B|Ensembl:ENSG00000176973|HGNC:FAM89B;EHBP1L1|Ensembl:ENSG00000173442|HGNC:EHBP1L1;KCNK7|Ensembl:ENSG00000173338|HGNC:KCNK7;MAP3K11|Ensembl:ENSG00000173327|HGNC:MAP3K11
459|chr11|65600000|66300000,MAP3K11|Ensembl:ENSG00000173327|HGNC:MAP3K11;PCNX3|Ensembl:ENSG00000197136|HGNC:PCNX3;SIPA1|Ensembl:ENSG00000213445|HGNC:SIPA1;RELA|Ensembl:ENSG00000173039|HGNC:RELA;KAT5|Ensembl:ENSG00000172977|HGNC:KAT5;RNASEH2C|Ensembl:ENSG00000172922|HGNC:RNASEH2C;AP5B1|Ensembl:ENSG00000254470|HGNC:AP5B1;OVOL1|Ensembl:ENSG00000172818|HGNC:OVOL1;CFL1|Ensembl:ENSG00000172757|HGNC:CFL1;SNX32|Ensembl:ENSG00000172803|HGNC:SNX32;MUS81|Ensembl:ENSG00000172732|HGNC:MUS81;EFEMP2|Ensembl:ENSG00000172638|HGNC:EFEMP2;CTSW|Ensembl:ENSG00000172543|HGNC:CTSW;FIBP|Ensembl:ENSG00000172500|HGNC:FIBP;CCDC85B|Ensembl:ENSG00000175602|HGNC:CCDC85B;FOSL1|Ensembl:ENSG00000175592|HGNC:FOSL1;C11orf68|Ensembl:ENSG00000175573|HGNC:C11orf68;DRAP1|Ensembl:ENSG00000175550|HGNC:DRAP1;TSGA10IP|Ensembl:ENSG00000175513|HGNC:TSGA10IP;SART1|Ensembl:ENSG00000175467|HGNC:SART1;EIF1AD|Ensembl:ENSG00000175376|HGNC:EIF1AD;BANF1|Ensembl:ENSG00000175334|HGNC:BANF1;CST6|Ensembl:ENSG00000175315|HGNC:CST6;CATSPER1|Ensembl:ENSG00000175294|HGNC:CATSPER1;GAL3ST3|Ensembl:ENSG00000175229|HGNC:GAL3ST3;SF3B2|Ensembl:ENSG00000087365|HGNC:SF3B2;PACS1|Ensembl:ENSG00000175115|HGNC:PACS1;KLC2|Ensembl:ENSG00000174996|HGNC:KLC2;RAB1B|Ensembl:ENSG00000174903|HGNC:RAB1B;CNIH2|Ensembl:ENSG00000174871|HGNC:CNIH2;YIF1A|Ensembl:ENSG00000174851|HGNC:YIF1A;TMEM151A|Ensembl:ENSG00000179292|HGNC:TMEM151A
466|chr11|71800000|72450000,ZNF705E|Ensembl:ENSG00000214534|HGNC:ZNF705E;DEFB108B|Ensembl:ENSG00000184276|HGNC:DEFB108B;DEFB131B|Ensembl:ENSG00000225805|HGNC:DEFB131B;RNF121|Ensembl:ENSG00000137522|HGNC:RNF121;IL18BP|Ensembl:ENSG00000137496|HGNC:IL18BP;NUMA1|Ensembl:ENSG00000137497|HGNC:NUMA1;LRTOMT|Ensembl:ENSG00000184154|HGNC:LRTOMT;LAMTOR1|Ensembl:ENSG00000149357|HGNC:LAMTOR1;ANAPC15|Ensembl:ENSG00000110200|HGNC:ANAPC15;FOLR3|Ensembl:ENSG00000110203|HGNC:FOLR3;FOLR1|Ensembl:ENSG00000110195|HGNC:FOLR1;FOLR2|Ensembl:ENSG00000165457|HGNC:FOLR2;INPPL1|Ensembl:ENSG00000165458|HGNC:INPPL1;PHOX2A|Ensembl:ENSG00000165462|HGNC:PHOX2A;CLPB|Ensembl:ENSG00000162129|HGNC:CLPB
528|chr11|122600000|123100000,UBASH3B|Ensembl:ENSG00000154127|HGNC:UBASH3B;CRTAM|Ensembl:ENSG00000109943|HGNC:CRTAM;JHY|Ensembl:ENSG00000109944|HGNC:JHY;BSX|Ensembl:ENSG00000188909|HGNC:BSX;HSPA8|Ensembl:ENSG00000109971|HGNC:HSPA8;CLMP|Ensembl:ENSG00000166250|HGNC:CLMP
538|chr11|129350000|129800000,BARX2|Ensembl:ENSG00000043039|HGNC:BARX2
546|chr12|1650000|3050000,ADIPOR2|Ensembl:ENSG00000006831|HGNC:ADIPOR2;CACNA2D4|Ensembl:ENSG00000151062|HGNC:CACNA2D4;LRTM2|Ensembl:ENSG00000166159|HGNC:LRTM2;DCP1B|Ensembl:ENSG00000151065|HGNC:DCP1B;CACNA1C|Ensembl:ENSG00000151067|HGNC:CACNA1C;FKBP4|Ensembl:ENSG00000004478|HGNC:FKBP4;ITFG2|Ensembl:ENSG00000111203|HGNC:ITFG2;NRIP2|Ensembl:ENSG00000053702|HGNC:NRIP2;TEX52|Ensembl:ENSG00000283297|HGNC:TEX52;FOXM1|Ensembl:ENSG00000111206|HGNC:FOXM1;RHNO1|Ensembl:ENSG00000171792|HGNC:RHNO1;TULP3|Ensembl:ENSG00000078246|HGNC:TULP3;TEAD4|Ensembl:ENSG00000197905|HGNC:TEAD4
553|chr12|6300000|6550000,PLEKHG6|Ensembl:ENSG00000008323|HGNC:PLEKHG6;TNFRSF1A|Ensembl:ENSG00000067182|HGNC:TNFRSF1A;SCNN1A|Ensembl:ENSG00000111319|HGNC:SCNN1A;LTBR|Ensembl:ENSG00000111321|HGNC:LTBR;CD27|Ensembl:ENSG00000139193|HGNC:CD27;TAPBPL|Ensembl:ENSG00000139192|HGNC:TAPBPL;VAMP1|Ensembl:ENSG00000139190|HGNC:VAMP1;MRPL51|Ensembl:ENSG00000111639|HGNC:MRPL51;NCAPD2|Ensembl:ENSG00000010292|HGNC:NCAPD2;GAPDH|Ensembl:ENSG00000111640|HGNC:GAPDH;IFFO1|Ensembl:ENSG00000010295|HGNC:IFFO1
602|chr12|49050000|49650000,KMT2D|Ensembl:ENSG00000167548|HGNC:KMT2D;RHEBL1|Ensembl:ENSG00000167550|HGNC:RHEBL1;DHH|Ensembl:ENSG00000139549|HGNC:DHH;LMBR1L|Ensembl:ENSG00000139636|HGNC:LMBR1L;TUBA1B|Ensembl:ENSG00000123416|HGNC:TUBA1B;TUBA1A|Ensembl:ENSG00000167552|HGNC:TUBA1A;TUBA1C|Ensembl:ENSG00000167553|HGNC:TUBA1C;PRPH|Ensembl:ENSG00000135406|HGNC:PRPH;TROAP|Ensembl:ENSG00000135451|HGNC:TROAP;C1QL4|Ensembl:ENSG00000186897|HGNC:C1QL4;DNAJC22|Ensembl:ENSG00000178401|HGNC:DNAJC22;SPATS2|Ensembl:ENSG00000123352|HGNC:SPATS2;KCNH3|Ensembl:ENSG00000135519|HGNC:KCNH3;MCRS1|Ensembl:ENSG00000187778|HGNC:MCRS1;PRPF40B|Ensembl:ENSG00000110844|HGNC:PRPF40B;FAM186B|Ensembl:ENSG00000135436|HGNC:FAM186B;FMNL3|Ensembl:ENSG00000161791|HGNC:FMNL3
607|chr12|53050000|53550000,TNS2|Ensembl:ENSG00000111077|HGNC:TNS2;SPRYD3|Ensembl:ENSG00000167778|HGNC:SPRYD3;IGFBP6|Ensembl:ENSG00000167779|HGNC:IGFBP6;SOAT2|Ensembl:ENSG00000167780|HGNC:SOAT2;CSAD|Ensembl:ENSG00000139631|HGNC:CSAD;ZNF740|Ensembl:ENSG00000139651|HGNC:ZNF740;ITGB7|Ensembl:ENSG00000139626|HGNC:ITGB7;RARG|Ensembl:ENSG00000172819|HGNC:RARG;MFSD5|Ensembl:ENSG00000182544|HGNC:MFSD5;ESPL1|Ensembl:ENSG00000135476|HGNC:ESPL1;PFDN5|Ensembl:ENSG00000123349|HGNC:PFDN5;MYG1|Ensembl:ENSG00000139637|HGNC:MYG1;AAAS|Ensembl:ENSG00000094914|HGNC:AAAS;SP7|Ensembl:ENSG00000170374|HGNC:SP7;SP1|Ensembl:ENSG00000185591|HGNC:SP1;AMHR2|Ensembl:ENSG00000135409|HGNC:AMHR2;PRR13|Ensembl:ENSG00000205352|HGNC:PRR13;PCBP2|Ensembl:ENSG00000197111|HGNC:PCBP2;MAP3K12|Ensembl:ENSG00000139625|HGNC:MAP3K12;TARBP2|Ensembl:ENSG00000139546|HGNC:TARBP2;NPFF|Ensembl:ENSG00000139574|HGNC:NPFF;ATF7|Ensembl:ENSG00000170653|HGNC:ATF7
