abc_stem	ontology_id	cre_key
Pericyte General 2	CL:0000669	Pericyte_General_2
Pericyte General 3	CL:0000669	Pericyte_General_3
Pericyte General 4	CL:0000669	Pericyte_General_4
Pericyte Muscularis	CL:0000669	Pericyte_Esophageal_Muscularis
Plasma B	CL:0000786	Plasma_Cell
SI Goblet	CL:1000495	Small_Intestinal_Goblet_Cell
Satellite	CL:0000594	Satellite_Cell
Schwann General	CL:0002573	Schwann_Cell_General
Skin Basal Epidermal	CL:0002187	Basal_Epidermal_Skin
Skin Eccrine Epidermal	CL:0000434	Eccrine_Epidermal_Skin
Skin Granular Epidermal	CL:0002189	Granular_Epidermal_Skin
Sm Ms Colon 1	CL:0002504	Smooth_Muscle_Colon_1
Sm Ms Colon 2	CL:0002504	Smooth_Muscle_Colon_2
Sm Ms GE junction	CL:0000192	Smooth_Muscle_GE_Junction
Sm Ms GI	CL:0000192	Smooth_Muscle_General_Gastrointestinal
Sm Ms General	CL:0000192	Smooth_Muscle_General
Sm Ms Mucosal	CL:0000192	Smooth_Muscle_Esophageal_Mucosal
Sm Ms Muscularis 1	CL:0002599	Smooth_Muscle_Esophageal_Muscularis_1
Sm Ms Muscularis 2	CL:0002599	Smooth_Muscle_Esophageal_Muscularis_2
Sm Ms Muscularis 3	CL:0000192	Smooth_Muscle_Esophageal_Muscularis_3
Sm Ms Uterine	CL:0002601	Smooth_Muscle_Uterine
Sm Ms Vaginal	CL:0000192	Smooth_Muscle_Vaginal
T Lymphocyte 1 (CD8+)	CL:0000625	T_Lymphocyte_1_CD8+
T lymphocyte 2 (CD4+)	CL:0000624	T_lymphocyte_2_CD4+
Transitional Cortical	CL:0002097	Transitional_Zone_Cortical_Cell
Tuft	CL:0019032	Tuft_Cell
Type I Skeletal Myocyte	CL:0002211	Type_I_Skeletal_Myocyte
Type II Skeletal Myocyte	CL:0002212	Type_II_Skeletal_Myocyte
V Cardiomyocyte	CL:2000046	Ventricular_Cardiomyocyte
Vasc Sm Muscle 1	CL:0019018	Vascular_Smooth_Muscle_1
Vasc Sm Muscle 2	CL:0019018	Vascular_Smooth_Muscle_2
