chr|end|id|source|source_url|start|taxon_id
chr2L|278315|CHR2L_278256_278315_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|278256|7227
chr2L|283212|CHR2L_283153_283212_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|283153|7227
chr2L|283327|CHR2L_283268_283327_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|283268|7227
chr2L|285771|CHR2L_285712_285771_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|285712|7227
chr2L|286576|CHR2L_286517_286576_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|286517|7227
chr2L|289000|CHR2L_288941_289000_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|288941|7227
chr2L|291818|CHR2L_291759_291818_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|291759|7227
chr2L|292476|CHR2L_292417_292476_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|292417|7227
chr2L|294713|CHR2L_294654_294713_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|294654|7227
chr2L|295134|CHR2L_295075_295134_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|295075|7227
chr2L|297913|CHR2L_297854_297913_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|297854|7227
chr2L|301681|CHR2L_301622_301681_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|301622|7227
chr2L|305951|CHR2L_305892_305951_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|305892|7227
chr2L|310259|CHR2L_310200_310259_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|310200|7227
chr2L|319306|CHR2L_319247_319306_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|319247|7227
chr2L|321294|CHR2L_321235_321294_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|321235|7227
chr2L|322111|CHR2L_322052_322111_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|322052|7227
chr2L|329832|CHR2L_329773_329832_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|329773|7227
chr2L|332317|CHR2L_332258_332317_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|332258|7227
chr2L|357904|CHR2L_357845_357904_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|357845|7227
chr2L|378126|CHR2L_378067_378126_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|378067|7227
chr2L|402137|CHR2L_402078_402137_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|402078|7227
chr2L|402245|CHR2L_402186_402245_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|402186|7227
chr2L|404317|CHR2L_404258_404317_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|404258|7227
chr2L|412967|CHR2L_412908_412967_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|412908|7227
chr2L|415079|CHR2L_415020_415079_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|415020|7227
chr2L|419699|CHR2L_419640_419699_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|419640|7227
chr2L|419966|CHR2L_419907_419966_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|419907|7227
chr2L|421485|CHR2L_421426_421485_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|421426|7227
chr2L|421872|CHR2L_421813_421872_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|421813|7227
chr2L|422919|CHR2L_422860_422919_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|422860|7227
chr2L|431237|CHR2L_431178_431237_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|431178|7227
chr2L|451368|CHR2L_451309_451368_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|451309|7227
chr2L|452748|CHR2L_452689_452748_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|452689|7227
chr2L|452996|CHR2L_452937_452996_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|452937|7227
chr2L|453144|CHR2L_453085_453144_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|453085|7227
chr2L|455553|CHR2L_455494_455553_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|455494|7227
chr2L|471623|CHR2L_471564_471623_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|471564|7227
chr2L|472290|CHR2L_472231_472290_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|472231|7227
chr2L|473033|CHR2L_472974_473033_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|472974|7227
chr2L|476319|CHR2L_476260_476319_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|476260|7227
chr2L|479730|CHR2L_479671_479730_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|479671|7227
chr2L|490844|CHR2L_490785_490844_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|490785|7227
chr2L|523478|CHR2L_523419_523478_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|523419|7227
chr2L|523746|CHR2L_523687_523746_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|523687|7227
chr2L|542619|CHR2L_542560_542619_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|542560|7227
chr2L|544677|CHR2L_544618_544677_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|544618|7227
chr2L|545141|CHR2L_545082_545141_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|545082|7227
chr2L|549583|CHR2L_549524_549583_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|549524|7227
chr2L|552528|CHR2L_552469_552528_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|552469|7227
chr2L|559033|CHR2L_558974_559033_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|558974|7227
chr2L|559687|CHR2L_559628_559687_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|559628|7227
chr2L|560388|CHR2L_560329_560388_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|560329|7227
chr2L|563364|CHR2L_563305_563364_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|563305|7227
chr2L|563917|CHR2L_563858_563917_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|563858|7227
chr2L|564203|CHR2L_564144_564203_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|564144|7227
chr2L|568134|CHR2L_568075_568134_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|568075|7227
chr2L|568357|CHR2L_568298_568357_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|568298|7227
chr2L|574296|CHR2L_574237_574296_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|574237|7227
chr2L|574540|CHR2L_574481_574540_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|574481|7227
chr2L|576612|CHR2L_576553_576612_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|576553|7227
chr2L|576938|CHR2L_576879_576938_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|576879|7227
chr2L|577499|CHR2L_577440_577499_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|577440|7227
chr2L|594736|CHR2L_594677_594736_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|594677|7227
chr2L|602819|CHR2L_602760_602819_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|602760|7227
chr2L|621284|CHR2L_621225_621284_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|621225|7227
chr2L|624613|CHR2L_624554_624613_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|624554|7227
chr2L|625652|CHR2L_625593_625652_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|625593|7227
chr2L|715031|CHR2L_714972_715031_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|714972|7227
chr2L|728420|CHR2L_728361_728420_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|728361|7227
chr2L|741840|CHR2L_741781_741840_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|741781|7227
chr2L|744443|CHR2L_744384_744443_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|744384|7227
chr2L|750616|CHR2L_750557_750616_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|750557|7227
chr2L|773557|CHR2L_773498_773557_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|773498|7227
chr2L|779183|CHR2L_779124_779183_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|779124|7227
chr2L|780484|CHR2L_780425_780484_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|780425|7227
chr2L|781288|CHR2L_781229_781288_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|781229|7227
chr2L|784336|CHR2L_784277_784336_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|784277|7227
chr2L|790846|CHR2L_790787_790846_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|790787|7227
chr2L|810578|CHR2L_810519_810578_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|810519|7227
chr2L|811628|CHR2L_811569_811628_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|811569|7227
chr2L|815989|CHR2L_815930_815989_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|815930|7227
chr2L|816023|CHR2L_815964_816023_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|815964|7227
chr2L|818048|CHR2L_817989_818048_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|817989|7227
chr2L|819541|CHR2L_819482_819541_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|819482|7227
chr2L|819988|CHR2L_819929_819988_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|819929|7227
chr2L|821207|CHR2L_821148_821207_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|821148|7227
chr2L|821457|CHR2L_821398_821457_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|821398|7227
chr2L|825981|CHR2L_825922_825981_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|825922|7227
chr2L|843045|CHR2L_842986_843045_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|842986|7227
chr2L|851119|CHR2L_851060_851119_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|851060|7227
chr2L|852753|CHR2L_852694_852753_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|852694|7227
chr2L|852860|CHR2L_852801_852860_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|852801|7227
chr2L|855278|CHR2L_855219_855278_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|855219|7227
chr2L|855482|CHR2L_855423_855482_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|855423|7227
chr2L|860305|CHR2L_860246_860305_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|860246|7227
chr2L|865938|CHR2L_865879_865938_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|865879|7227
chr2L|868034|CHR2L_867975_868034_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|867975|7227
chr2L|868401|CHR2L_868342_868401_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|868342|7227
chr2L|869891|CHR2L_869832_869891_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|869832|7227
chr2L|870477|CHR2L_870418_870477_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|870418|7227
chr2L|871107|CHR2L_871048_871107_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|871048|7227
chr2L|877332|CHR2L_877273_877332_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|877273|7227
chr2L|885165|CHR2L_885106_885165_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|885106|7227
chr2L|898655|CHR2L_898596_898655_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|898596|7227
chr2L|901703|CHR2L_901644_901703_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|901644|7227
chr2L|914100|CHR2L_914041_914100_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|914041|7227
chr2L|922805|CHR2L_922746_922805_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|922746|7227
chr2L|1026961|CHR2L_1026902_1026961_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1026902|7227
chr2L|1037267|CHR2L_1037208_1037267_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1037208|7227
chr2L|1043265|CHR2L_1043206_1043265_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1043206|7227
chr2L|1048116|CHR2L_1048057_1048116_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1048057|7227
chr2L|1077860|CHR2L_1077801_1077860_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1077801|7227
chr2L|1077959|CHR2L_1077900_1077959_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1077900|7227
chr2L|1080926|CHR2L_1080867_1080926_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1080867|7227
chr2L|1102551|CHR2L_1102492_1102551_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1102492|7227
chr2L|1108367|CHR2L_1108308_1108367_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1108308|7227
chr2L|1112983|CHR2L_1112924_1112983_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1112924|7227
chr2L|1119076|CHR2L_1119017_1119076_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1119017|7227
chr2L|1128988|CHR2L_1128929_1128988_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1128929|7227
chr2L|1129330|CHR2L_1129271_1129330_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1129271|7227
chr2L|1134168|CHR2L_1134109_1134168_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1134109|7227
chr2L|1134711|CHR2L_1134652_1134711_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1134652|7227
chr2L|1143213|CHR2L_1143154_1143213_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1143154|7227
chr2L|1147834|CHR2L_1147775_1147834_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1147775|7227
chr2L|1150718|CHR2L_1150659_1150718_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1150659|7227
chr2L|1150787|CHR2L_1150728_1150787_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1150728|7227
chr2L|1156344|CHR2L_1156285_1156344_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1156285|7227
chr2L|1158228|CHR2L_1158169_1158228_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1158169|7227
chr2L|1158672|CHR2L_1158613_1158672_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1158613|7227
chr2L|1163930|CHR2L_1163871_1163930_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1163871|7227
chr2L|1164485|CHR2L_1164426_1164485_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1164426|7227
chr2L|1166542|CHR2L_1166483_1166542_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1166483|7227
chr2L|1169948|CHR2L_1169889_1169948_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1169889|7227
chr2L|1170131|CHR2L_1170072_1170131_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1170072|7227
chr2L|1170219|CHR2L_1170160_1170219_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1170160|7227
chr2L|1170487|CHR2L_1170428_1170487_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1170428|7227
chr2L|1172815|CHR2L_1172756_1172815_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1172756|7227
chr2L|1173058|CHR2L_1172999_1173058_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1172999|7227
chr2L|1177707|CHR2L_1177648_1177707_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1177648|7227
chr2L|1184003|CHR2L_1183944_1184003_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1183944|7227
chr2L|1184085|CHR2L_1184026_1184085_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1184026|7227
chr2L|1185907|CHR2L_1185848_1185907_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1185848|7227
chr2L|1186267|CHR2L_1186208_1186267_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1186208|7227
chr2L|1199273|CHR2L_1199214_1199273_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1199214|7227
chr2L|1199432|CHR2L_1199373_1199432_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1199373|7227
chr2L|1200221|CHR2L_1200162_1200221_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1200162|7227
chr2L|1200841|CHR2L_1200782_1200841_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1200782|7227
chr2L|1204230|CHR2L_1204171_1204230_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1204171|7227
chr2L|1219309|CHR2L_1219250_1219309_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1219250|7227
chr2L|1240048|CHR2L_1239989_1240048_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1239989|7227
chr2L|1256413|CHR2L_1256354_1256413_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1256354|7227
chr2L|1329171|CHR2L_1329112_1329171_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1329112|7227
chr2L|1334173|CHR2L_1334114_1334173_GRCH38|EPD|https://epd.expasy.org/ftp/epdnew/D_melanogaster/|1334114|7227
