id|source|source_url|synonyms|term_name
EFO_0003866|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""accessory sinus neoplasm"", ""accessory sinus tumor"", ""accessory sinus tumour"", ""neoplasm of accessory sinus"", ""neoplasm of paranasal sinus"", ""neoplasm of the accessory sinus"", ""neoplasm of the paranasal sinus"", ""paranasal sinus neoplasm"", ""paranasal sinus neoplasm (disease)"", ""paranasal sinus neoplasms"", ""paranasal sinus tumor"", ""paranasal sinus tumour"", ""tumor of accessory sinus"", ""tumor of paranasal sinus"", ""tumor of the accessory sinus"", ""tumor of the paranasal sinus"", ""tumour of accessory sinus"", ""tumour of paranasal sinus"", ""tumour of the accessory sinus"", ""tumour of the paranasal sinus""]"|paranasal sinus neoplasm
EFO_0800588|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||undecenoylcarnitine (C11:1) measurement
EFO_1000197|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""colorectal SSA"", ""colorectal SSA/P"", ""colorectal SSP"", ""colorectal mixed hyperplastic adenomatous polyp"", ""colorectal mixed hyperplastic adenomatous polyp/serrated adenoma"", ""colorectal sessile serrated adenoma"", ""colorectal sessile serrated adenoma/polyp"", ""colorectal sessile serrated polyp""]"|Colorectal Sessile Serrated Adenoma/Polyp
EFO_0021262|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||X-11799 measurement
EFO_0004941|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||T3a tumor stage
EFO_0030046|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||alive with progressive disease
EFO_0002390|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""WC00079"", ""WM115-mel"", ""WM115F"", ""WM115mel""]"|WM115
EFO_0005836|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""S2"", ""S2_DRSC"", ""SL2"", ""Schneiders 2"", ""Schneiders line 2""]"|S2-DRSC
EFO_0022615|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""Xenium""]"|10x Xenium
EFO_0005126|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""paraoxonase enzyme measurement""]"|arylesterase enzyme measurement
EFO_0007652|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||health trait
EFO_0030041|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""alive""]"|alive (follow-up status)
EFO_1000595|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""THAP"", ""thyroid cancer, anaplastic"", ""thyroid carcinoma, anaplastic"", ""Dedifferentiated thyroid gland carcinoma"", ""anaplastic carcinoma of the thyroid"", ""anaplastic carcinoma of the thyroid gland"", ""anaplastic carcinoma of thyroid"", ""anaplastic carcinoma of thyroid gland"", ""anaplastic thyroid cancer"", ""anaplastic thyroid carcinoma"", ""anaplastic thyroid gland carcinoma"", ""metaplastic thyroid gland carcinoma"", ""pleomorphic thyroid gland carcinoma"", ""sarcomatoid thyroid gland carcinoma"", ""thyroid gland carcinosarcoma"", ""thyroid gland undifferentiated (anaplastic) carcinoma"", ""thyroid gland undifferentiated carcinoma"", ""undifferentiated (anaplastic) thyroid gland cancer"", ""undifferentiated (anaplastic) thyroid gland carcinoma"", ""undifferentiated carcinoma of the thyroid"", ""undifferentiated carcinoma of the thyroid gland"", ""undifferentiated carcinoma of thyroid"", ""undifferentiated carcinoma of thyroid gland"", ""undifferentiated thyroid carcinoma"", ""undifferentiated thyroid gland carcinoma"", ""undifferentiated thyroid tumor"", ""undifferentiated thyroid tumour""]"|Thyroid Gland Undifferentiated (Anaplastic) Carcinoma
EFO_0800152|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||3-phosphoglycerate measurement
EFO_0007851|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||seroconversion
EFO_0020365|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||estradiol 17-beta-dehydrogenase 1 measurement
EFO_0008935|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||smMIP
EFO_0006984|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||An-1
EFO_0004379|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||milli-International Unit per milliliter
EFO_0600031|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""response to BZN""]"|response to benznidazole
EFO_0803172|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||translin measurement
EFO_0002979|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||ILSXISS23/TejJ
EFO_0007966|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||clopidogrel metabolite measurement
EFO_0801217|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||pyruvic acid measurement
EFO_0010769|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||CCL28 measurement
EFO_0005149|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""Columbia-1""]"|Col-1
EFO_0800855|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||X-23644 measurement
EFO_0021630|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||L-Serine measurement
EFO_0008869|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||PRO-seq
EFO_1000045|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""PANET"", ""neuroendocrine tumor of pancreas"", ""neuroendocrine tumour of pancreas"", ""pancreatic endocrine tumor"", ""pancreatic endocrine tumour"", ""Islet cell tumors of the pancreas"", ""islet cell tumor"", ""islet cell tumors - pancreas"", ""islet cell tumors of the pancreas"", ""islet cell tumour"", ""islet cell tumours - pancreas"", ""islet cell tumours of the pancreas"", ""pancreatic NET"", ""pancreatic neuroendocrine tumor"", ""well differentiated pancreatic endocrine neoplasm"", ""well differentiated pancreatic endocrine tumor"", ""well differentiated pancreatic endocrine tumour"", ""well-differentiated NEN of pancreas"", ""well-differentiated neuroendocrine neoplasm of pancreas"", ""well-differentiated pancreatic NEN"", ""well-differentiated pancreatic neuroendocrine neoplasm""]"|pancreatic neuroendocrine tumor
EFO_0802056|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||serine-rich single-pass membrane protein 1 measurement
EFO_0008908|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||SCI-seq
EFO_0008892|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||RiboMeth-seq
EFO_0803558|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||stearoyl-arachidonoyl-glycerophosphocholine (1) measurement
EFO_1001058|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""Fusospirillary gingivitis"", ""Fusospirillosis"", ""Vincents gingivitis"", ""Vincents infection"", ""Vincents stomatitis"", ""acute membranous gingivitis"", ""phagedenic gingivitis"", ""(Vincents angina) or (trench mouth)"", ""ANUG"", ""Angina - Vincents"", ""Gingivitis, Necrotizing Ulcerative"", ""Trench mouth"", ""Vincent angina"", ""Vincents Angina"", ""Vincents angina"", ""Vincents angina - pharyngitis"", ""Vincents angina - pharyngitis (disorder)"", ""Vincents angina NOS"", ""Vincents disease"", ""Vincents infection, any site"", ""acute necrotising ulcerative gingivitis"", ""acute necrotising ulcerative gingivitis [Ambiguous]"", ""acute necrotising ulcerative gingivitis [ambiguous]"", ""acute necrotising ulcerative gingivostomatitis"", ""acute necrotising ulcerative gingivostomatitis [Ambiguous]"", ""acute necrotising ulcerative gingivostomatitis [ambiguous]"", ""acute necrotizing ulcerative gingivitis"", ""acute necrotizing ulcerative gingivostomatitis"", ""acute necrotizing ulcerative gingivostomatitis (disorder)"", ""acute ulceromembranous gingivitis"", ""angina - Vincents"", ""early acute necrotising gingivitis"", ""necrotizing ulcerative gingivitis"", ""trench mouth""]"|necrotizing ulcerative gingivitis
EFO_0020113|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||3-hydroxy-3-methylglutaryl-coenzymeAreductase measurement
EFO_0021804|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||dodecanoylcarnitine measurement
EFO_0021113|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||4-androsten-3beta,17beta-diol disulfate 1 measurement
EFO_0700003|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""BD Rhapsody WTA""]"|BD Rhapsody Whole Transcriptome Analysis
EFO_0000653|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""CSP"", ""cystosarcoma phyllodes"", ""phyllodes neoplasm"", ""phyllodes tumor""]"|phyllodes tumor
EFO_0800874|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||X-24334 measurement
EFO_1001286|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""CAROLI disease, isolated"", ""Caroli disease isolated"", ""congenital polycystic dilatation of intrahepatic bile ducts"", ""cystic dilatation of the intrahepatic biliary tree"", ""Caroli disease""]"|Caroli Disease
EFO_0022251|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||cholesteryl esters to total lipids in medium HDL percentage 
EFO_0005357|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""CAL-148""]"|CAL148
EFO_0010936|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""SDS polyacrylamide gel electrophoresis"", ""SDS polyacrylamide gel electrophoresis of proteins"", ""SDS-PAGE electrophoresis"", ""sodium dodecyl sulphate\u2013polyacrylamide gel electrophoresis""]"|SDS-PAGE
EFO_0021889|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||lumican measurement
EFO_0801115|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||atorvastatin measurement
EFO_0020639|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||phosphoglycerate mutase 1 measurement
EFO_0803400|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""N-alpha-Acetyl-L-lysine""]"|acetyllysine measurement
EFO_0004418|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||unit of flow rate
EFO_0002931|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""U/kg""]"|unit per kilogram
EFO_0010440|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""TAG 58:6""]"|triacylglycerol 58:6 measurement
EFO_0802149|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||transmembrane protease serine 11D measurement
EFO_0007260|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl|"[""abscess epidural"", ""epidural abscess"", ""extradural intraspinal abscess"", ""intraspinal epidural abscess"", ""intraspinal extradural abscess"", ""spinal epidural abscess"", ""spinal epidural abscess (disorder)"", ""spinal extradural abscess""]"|epidural abscess
EFO_0803014|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||retinoschisin measurement
EFO_0802408|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||CMRF35-like molecule 9 measurement
EFO_0022807|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||MTLn3
EFO_0010089|Experimental Factor Ontology|http://www.ebi.ac.uk/efo/efo.owl||bitter beverage consumption measurement
