id|chr|end|exon_id|exon_number|gene_id|label|source|source_url|start|transcript_id
ense00003880241|chr20|9873900|ENSE00003880241|3|ENSG00000286470|exon|GENCODE|https://www.gencodegenes.org/human/|9872240|ENST00000656748
ense00001736075|chr20|9986519|ENSE00001736075|1|ENSG00000243961|exon|GENCODE|https://www.gencodegenes.org/human/|9986088|ENST00000449270
ense00001727795|chr20|10007116|ENSE00001727795|2|ENSG00000243961|exon|GENCODE|https://www.gencodegenes.org/human/|10006513|ENST00000449270
ense00001639435|chr20|9986519|ENSE00001639435|1|ENSG00000132623|exon|GENCODE|https://www.gencodegenes.org/human/|9986126|ENST00000437504
ense00001755953|chr20|10043216|ENSE00001755953|2|ENSG00000132623|exon|GENCODE|https://www.gencodegenes.org/human/|10043122|ENST00000437504
ense00001477365|chr20|10035333|ENSE00001477365|1|ENSG00000132623|exon|GENCODE|https://www.gencodegenes.org/human/|10034987|ENST00000378392
ense00001477354|chr20|10035642|ENSE00001477354|2|ENSG00000132623|exon|GENCODE|https://www.gencodegenes.org/human/|10035579|ENST00000378392
ense00003654766|chr20|10038647|ENSE00003654766|3|ENSG00000132623|exon|GENCODE|https://www.gencodegenes.org/human/|10038258|ENST00000378392
ense00003520744|chr20|10043321|ENSE00003520744|4|ENSG00000132623|exon|GENCODE|https://www.gencodegenes.org/human/|10043122|ENST00000378392
ense00003652008|chr20|10044543|ENSE00003652008|5|ENSG00000132623|exon|GENCODE|https://www.gencodegenes.org/human/|10044394|ENST00000378392
ense00003621228|chr20|10045697|ENSE00003621228|6|ENSG00000132623|exon|GENCODE|https://www.gencodegenes.org/human/|10045574|ENST00000378392
ense00003682380|chr20|10050212|ENSE00003682380|7|ENSG00000132623|exon|GENCODE|https://www.gencodegenes.org/human/|10049390|ENST00000378392
ense00003621601|chr20|10051889|ENSE00003621601|8|ENSG00000132623|exon|GENCODE|https://www.gencodegenes.org/human/|10051663|ENST00000378392
ense00003571338|chr20|10053275|ENSE00003571338|9|ENSG00000132623|exon|GENCODE|https://www.gencodegenes.org/human/|10053112|ENST00000378392
ense00003531424|chr20|10054599|ENSE00003531424|10|ENSG00000132623|exon|GENCODE|https://www.gencodegenes.org/human/|10054462|ENST00000378392
ense00001888001|chr20|10058303|ENSE00001888001|11|ENSG00000132623|exon|GENCODE|https://www.gencodegenes.org/human/|10055502|ENST00000378392
ense00001175405|chr20|10035333|ENSE00001175405|1|ENSG00000132623|exon|GENCODE|https://www.gencodegenes.org/human/|10035049|ENST00000378380
ense00003654766|chr20|10038647|ENSE00003654766|2|ENSG00000132623|exon|GENCODE|https://www.gencodegenes.org/human/|10038258|ENST00000378380
ense00003520744|chr20|10043321|ENSE00003520744|3|ENSG00000132623|exon|GENCODE|https://www.gencodegenes.org/human/|10043122|ENST00000378380
ense00003652008|chr20|10044543|ENSE00003652008|4|ENSG00000132623|exon|GENCODE|https://www.gencodegenes.org/human/|10044394|ENST00000378380
ense00003621228|chr20|10045697|ENSE00003621228|5|ENSG00000132623|exon|GENCODE|https://www.gencodegenes.org/human/|10045574|ENST00000378380
ense00003682380|chr20|10050212|ENSE00003682380|6|ENSG00000132623|exon|GENCODE|https://www.gencodegenes.org/human/|10049390|ENST00000378380
ense00003621601|chr20|10051889|ENSE00003621601|7|ENSG00000132623|exon|GENCODE|https://www.gencodegenes.org/human/|10051663|ENST00000378380
ense00003571338|chr20|10053275|ENSE00003571338|8|ENSG00000132623|exon|GENCODE|https://www.gencodegenes.org/human/|10053112|ENST00000378380
ense00003531424|chr20|10054599|ENSE00003531424|9|ENSG00000132623|exon|GENCODE|https://www.gencodegenes.org/human/|10054462|ENST00000378380
ense00001888001|chr20|10058303|ENSE00001888001|10|ENSG00000132623|exon|GENCODE|https://www.gencodegenes.org/human/|10055502|ENST00000378380
ense00001946515|chr20|10035333|ENSE00001946515|1|ENSG00000132623|exon|GENCODE|https://www.gencodegenes.org/human/|10035117|ENST00000488991
ense00003479326|chr20|10038647|ENSE00003479326|2|ENSG00000132623|exon|GENCODE|https://www.gencodegenes.org/human/|10038258|ENST00000488991
ense00001882823|chr20|10040670|ENSE00001882823|3|ENSG00000132623|exon|GENCODE|https://www.gencodegenes.org/human/|10040625|ENST00000488991
ense00003474270|chr20|10043321|ENSE00003474270|4|ENSG00000132623|exon|GENCODE|https://www.gencodegenes.org/human/|10043122|ENST00000488991
ense00003590148|chr20|10044543|ENSE00003590148|5|ENSG00000132623|exon|GENCODE|https://www.gencodegenes.org/human/|10044394|ENST00000488991
ense00003473553|chr20|10045697|ENSE00003473553|6|ENSG00000132623|exon|GENCODE|https://www.gencodegenes.org/human/|10045574|ENST00000488991
ense00003494486|chr20|10050212|ENSE00003494486|7|ENSG00000132623|exon|GENCODE|https://www.gencodegenes.org/human/|10049390|ENST00000488991
ense00003623880|chr20|10051889|ENSE00003623880|8|ENSG00000132623|exon|GENCODE|https://www.gencodegenes.org/human/|10051663|ENST00000488991
ense00003674131|chr20|10053275|ENSE00003674131|9|ENSG00000132623|exon|GENCODE|https://www.gencodegenes.org/human/|10053112|ENST00000488991
ense00003690857|chr20|10054599|ENSE00003690857|10|ENSG00000132623|exon|GENCODE|https://www.gencodegenes.org/human/|10054462|ENST00000488991
ense00001952776|chr20|10055827|ENSE00001952776|11|ENSG00000132623|exon|GENCODE|https://www.gencodegenes.org/human/|10055502|ENST00000488991
ense00003878659|chr20|10012063|ENSE00003878659|1|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10010091|ENST00000655841
ense00003867187|chr20|10009465|ENSE00003867187|2|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10006381|ENST00000655841
ense00003888198|chr20|10025850|ENSE00003888198|1|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10025791|ENST00000658520
ense00003883120|chr20|10016973|ENSE00003883120|2|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10016942|ENST00000658520
ense00003861280|chr20|10016592|ENSE00003861280|3|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10016434|ENST00000658520
ense00003871236|chr20|10010191|ENSE00003871236|4|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10010091|ENST00000658520
ense00003865888|chr20|10009465|ENSE00003865888|5|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10006576|ENST00000658520
ense00003671633|chr20|10026651|ENSE00003671633|1|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10026544|ENST00000603245
ense00003521230|chr20|10022462|ENSE00003521230|2|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10021978|ENST00000603245
ense00003535996|chr20|10219524|ENSE00003535996|1|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10219222|ENST00000661614
ense00001681685|chr20|10196937|ENSE00001681685|2|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10196818|ENST00000661614
ense00001728322|chr20|10104394|ENSE00001728322|3|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10104286|ENST00000661614
ense00001794719|chr20|10026648|ENSE00001794719|4|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10026544|ENST00000661614
ense00003881707|chr20|10026166|ENSE00003881707|5|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10021995|ENST00000661614
ense00003862134|chr20|10219501|ENSE00003862134|1|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10219222|ENST00000663466
ense00001681685|chr20|10196937|ENSE00001681685|2|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10196818|ENST00000663466
ense00003869384|chr20|10125291|ENSE00003869384|3|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10125182|ENST00000663466
ense00001728322|chr20|10104394|ENSE00001728322|4|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10104286|ENST00000663466
ense00001794719|chr20|10026648|ENSE00001794719|5|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10026544|ENST00000663466
ense00003868966|chr20|10026166|ENSE00003868966|6|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10022006|ENST00000663466
ense00003856118|chr20|10219488|ENSE00003856118|1|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10219237|ENST00000670580
ense00003659605|chr20|10198875|ENSE00003659605|2|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10198753|ENST00000670580
ense00001681685|chr20|10196937|ENSE00001681685|3|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10196818|ENST00000670580
ense00001728322|chr20|10104394|ENSE00001728322|4|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10104286|ENST00000670580
ense00001794719|chr20|10026648|ENSE00001794719|5|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10026544|ENST00000670580
ense00003880110|chr20|10026166|ENSE00003880110|6|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10022030|ENST00000670580
ense00003876205|chr20|10219489|ENSE00003876205|1|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10219222|ENST00000664172
ense00001681685|chr20|10196937|ENSE00001681685|2|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10196818|ENST00000664172
ense00003877026|chr20|10190152|ENSE00003877026|3|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10190057|ENST00000664172
ense00001728322|chr20|10104394|ENSE00001728322|4|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10104286|ENST00000664172
ense00001794719|chr20|10026648|ENSE00001794719|5|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10026544|ENST00000664172
ense00003541461|chr20|10026166|ENSE00003541461|6|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10023577|ENST00000664172
ense00003883294|chr20|10219520|ENSE00003883294|1|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10219237|ENST00000658443
ense00001681685|chr20|10196937|ENSE00001681685|2|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10196818|ENST00000658443
ense00003877026|chr20|10190152|ENSE00003877026|3|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10190057|ENST00000658443
ense00001728322|chr20|10104394|ENSE00001728322|4|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10104286|ENST00000658443
ense00001794719|chr20|10026648|ENSE00001794719|5|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10026544|ENST00000658443
ense00003541461|chr20|10026166|ENSE00003541461|6|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10023577|ENST00000658443
ense00003535996|chr20|10219524|ENSE00003535996|1|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10219222|ENST00000666905
ense00003659605|chr20|10198875|ENSE00003659605|2|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10198753|ENST00000666905
ense00001681685|chr20|10196937|ENSE00001681685|3|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10196818|ENST00000666905
ense00001728322|chr20|10104394|ENSE00001728322|4|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10104286|ENST00000666905
ense00001794719|chr20|10026648|ENSE00001794719|5|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10026544|ENST00000666905
ense00003541461|chr20|10026166|ENSE00003541461|6|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10023577|ENST00000666905
ense00003570255|chr20|10219754|ENSE00003570255|1|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10219237|ENST00000603542
ense00001681685|chr20|10196937|ENSE00001681685|2|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10196818|ENST00000603542
ense00001728322|chr20|10104394|ENSE00001728322|3|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10104286|ENST00000603542
ense00001794719|chr20|10026648|ENSE00001794719|4|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10026544|ENST00000603542
ense00003541461|chr20|10026166|ENSE00003541461|5|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10023577|ENST00000603542
ense00003851346|chr20|10219503|ENSE00003851346|1|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10219237|ENST00000662559
ense00001681685|chr20|10196937|ENSE00001681685|2|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10196818|ENST00000662559
ense00001728322|chr20|10104394|ENSE00001728322|3|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10104286|ENST00000662559
ense00003885986|chr20|10026648|ENSE00003885986|4|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10023834|ENST00000662559
ense00003858248|chr20|10029026|ENSE00003858248|1|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10026544|ENST00000661134
ense00003870727|chr20|10026166|ENSE00003870727|2|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10024108|ENST00000661134
ense00003535996|chr20|10219524|ENSE00003535996|1|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10219222|ENST00000655307
ense00001681685|chr20|10196937|ENSE00001681685|2|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10196818|ENST00000655307
ense00003877026|chr20|10190152|ENSE00003877026|3|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10190057|ENST00000655307
ense00001728322|chr20|10104394|ENSE00001728322|4|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10104286|ENST00000655307
ense00003858844|chr20|10026648|ENSE00003858844|5|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10024673|ENST00000655307
ense00003858022|chr20|10219501|ENSE00003858022|1|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10219237|ENST00000660550
ense00001681685|chr20|10196937|ENSE00001681685|2|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10196818|ENST00000660550
ense00003877026|chr20|10190152|ENSE00003877026|3|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10190057|ENST00000660550
ense00003580445|chr20|10104394|ENSE00003580445|4|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10104168|ENST00000660550
ense00001794719|chr20|10026648|ENSE00001794719|5|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10026544|ENST00000660550
ense00003882672|chr20|10026166|ENSE00003882672|6|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10024678|ENST00000660550
ense00003864672|chr20|10219488|ENSE00003864672|1|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10219222|ENST00000667042
ense00001681685|chr20|10196937|ENSE00001681685|2|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10196818|ENST00000667042
ense00001728322|chr20|10104394|ENSE00001728322|3|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10104286|ENST00000667042
ense00003866115|chr20|10026648|ENSE00003866115|4|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10024706|ENST00000667042
ense00003863293|chr20|10035206|ENSE00003863293|1|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10035157|ENST00000671416
ense00003883620|chr20|10026648|ENSE00003883620|2|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10024859|ENST00000671416
ense00001634575|chr20|10035324|ENSE00001634575|1|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10035157|ENST00000438646
ense00001794719|chr20|10026648|ENSE00001794719|2|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10026544|ENST00000438646
ense00001614403|chr20|10026166|ENSE00001614403|3|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10025616|ENST00000438646
ense00001601363|chr20|10219335|ENSE00001601363|1|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10219237|ENST00000656496
ense00001728322|chr20|10104394|ENSE00001728322|2|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10104286|ENST00000656496
ense00003881102|chr20|10026648|ENSE00003881102|3|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10025670|ENST00000656496
ense00001725549|chr20|10368719|ENSE00001725549|1|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10368715|ENST00000421143
ense00001681685|chr20|10196937|ENSE00001681685|2|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10196818|ENST00000421143
ense00001728322|chr20|10104394|ENSE00001728322|3|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10104286|ENST00000421143
ense00001775368|chr20|10026648|ENSE00001775368|4|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10026075|ENST00000421143
ense00001665651|chr20|10219506|ENSE00001665651|1|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10219237|ENST00000426491
ense00001681685|chr20|10196937|ENSE00001681685|2|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10196818|ENST00000426491
ense00001728322|chr20|10104394|ENSE00001728322|3|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10104286|ENST00000426491
ense00001750645|chr20|10076913|ENSE00001750645|4|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10076874|ENST00000426491
ense00001703794|chr20|10074701|ENSE00001703794|5|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10074437|ENST00000426491
ense00003881231|chr20|10219526|ENSE00003881231|1|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10219222|ENST00000605592
ense00001681685|chr20|10196937|ENSE00001681685|2|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10196818|ENST00000605592
ense00003877026|chr20|10190152|ENSE00003877026|3|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10190057|ENST00000605592
ense00001754406|chr20|10104394|ENSE00001754406|4|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10103727|ENST00000605592
ense00003858730|chr20|10219531|ENSE00003858730|1|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10219237|ENST00000451151
ense00001681685|chr20|10196937|ENSE00001681685|2|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10196818|ENST00000451151
ense00001754406|chr20|10104394|ENSE00001754406|3|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10103727|ENST00000451151
ense00003852538|chr20|10219496|ENSE00003852538|1|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10219237|ENST00000671453
ense00001681685|chr20|10196937|ENSE00001681685|2|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10196818|ENST00000671453
ense00003877026|chr20|10190152|ENSE00003877026|3|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10190057|ENST00000671453
ense00003860076|chr20|10104394|ENSE00003860076|4|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10103729|ENST00000671453
ense00003986099|chr20|10368831|ENSE00003986099|1|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10368715|ENST00000692436
ense00001681685|chr20|10196937|ENSE00001681685|2|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10196818|ENST00000692436
ense00003986098|chr20|10104394|ENSE00003986098|3|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10103926|ENST00000692436
ense00001597013|chr20|10368776|ENSE00001597013|1|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10368715|ENST00000453544
ense00001592231|chr20|10231619|ENSE00001592231|2|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10231484|ENST00000453544
ense00001681685|chr20|10196937|ENSE00001681685|3|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10196818|ENST00000453544
ense00001739430|chr20|10104394|ENSE00001739430|4|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10104345|ENST00000453544
ense00003982604|chr20|10368815|ENSE00003982604|1|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10368715|ENST00000701361
ense00003982603|chr20|10333416|ENSE00003982603|2|ENSG00000227906|exon|GENCODE|https://www.gencodegenes.org/human/|10333029|ENST00000701361
ense00003742433|chr20|10026168|ENSE00003742433|1|ENSG00000276525|exon|GENCODE|https://www.gencodegenes.org/human/|10025917|ENST00000614195
ense00003924063|chr20|10172786|ENSE00003924063|1|ENSG00000132639|exon|GENCODE|https://www.gencodegenes.org/human/|10172395|ENST00000693732
ense00003935706|chr20|10275563|ENSE00003935706|2|ENSG00000132639|exon|GENCODE|https://www.gencodegenes.org/human/|10275429|ENST00000693732
ense00003932023|chr20|10277726|ENSE00003932023|3|ENSG00000132639|exon|GENCODE|https://www.gencodegenes.org/human/|10277685|ENST00000693732
ense00003929590|chr20|10284772|ENSE00003929590|4|ENSG00000132639|exon|GENCODE|https://www.gencodegenes.org/human/|10284724|ENST00000693732
ense00003923457|chr20|10290553|ENSE00003923457|5|ENSG00000132639|exon|GENCODE|https://www.gencodegenes.org/human/|10289178|ENST00000693732
ense00003924063|chr20|10172786|ENSE00003924063|1|ENSG00000132639|exon|GENCODE|https://www.gencodegenes.org/human/|10172395|ENST00000689077
ense00003935706|chr20|10275563|ENSE00003935706|2|ENSG00000132639|exon|GENCODE|https://www.gencodegenes.org/human/|10275429|ENST00000689077
ense00003932023|chr20|10277726|ENSE00003932023|3|ENSG00000132639|exon|GENCODE|https://www.gencodegenes.org/human/|10277685|ENST00000689077
ense00003929590|chr20|10284772|ENSE00003929590|4|ENSG00000132639|exon|GENCODE|https://www.gencodegenes.org/human/|10284724|ENST00000689077
ense00003926350|chr20|10290601|ENSE00003926350|5|ENSG00000132639|exon|GENCODE|https://www.gencodegenes.org/human/|10289039|ENST00000689077
ense00003924063|chr20|10172786|ENSE00003924063|1|ENSG00000132639|exon|GENCODE|https://www.gencodegenes.org/human/|10172395|ENST00000690099
ense00003935706|chr20|10275563|ENSE00003935706|2|ENSG00000132639|exon|GENCODE|https://www.gencodegenes.org/human/|10275429|ENST00000690099
ense00003932023|chr20|10277726|ENSE00003932023|3|ENSG00000132639|exon|GENCODE|https://www.gencodegenes.org/human/|10277685|ENST00000690099
ense00003922985|chr20|10290632|ENSE00003922985|4|ENSG00000132639|exon|GENCODE|https://www.gencodegenes.org/human/|10284724|ENST00000690099
ense00003924063|chr20|10172786|ENSE00003924063|1|ENSG00000132639|exon|GENCODE|https://www.gencodegenes.org/human/|10172395|ENST00000690766
ense00003935706|chr20|10275563|ENSE00003935706|2|ENSG00000132639|exon|GENCODE|https://www.gencodegenes.org/human/|10275429|ENST00000690766
ense00003932023|chr20|10277726|ENSE00003932023|3|ENSG00000132639|exon|GENCODE|https://www.gencodegenes.org/human/|10277685|ENST00000690766
ense00003929590|chr20|10284772|ENSE00003929590|4|ENSG00000132639|exon|GENCODE|https://www.gencodegenes.org/human/|10284724|ENST00000690766
ense00003922880|chr20|10294760|ENSE00003922880|5|ENSG00000132639|exon|GENCODE|https://www.gencodegenes.org/human/|10292882|ENST00000690766
