chr|end|gene_name|gene_type|id|source|source_url|start|synonyms
chr20|11838574|ANAPC13P1|processed_pseudogene|ENSG00000271298|GENCODE|https://www.gencodegenes.org/human/|11838355|
chr20|11926609|BTBD3|protein_coding|ENSG00000132640|GENCODE|https://www.gencodegenes.org/human/|11890723|"[""HGNC:15854"", ""BTBD3"", ""BTB (POZ) domain containing 3"", ""dJ742J24.1"", ""BTB/POZ domain-containing protein 3"", ""BTB domain containing 3""]"
chr20|11918677|BTBD3-AS1|lncRNA|ENSG00000236526|GENCODE|https://www.gencodegenes.org/human/|11909404|
chr20|12318221|unknown|lncRNA|ENSG00000235292|GENCODE|https://www.gencodegenes.org/human/|12243308|
chr20|12316485|unknown|lncRNA|ENSG00000230437|GENCODE|https://www.gencodegenes.org/human/|12305613|
chr20|12381255|PA2G4P2|processed_pseudogene|ENSG00000235698|GENCODE|https://www.gencodegenes.org/human/|12380056|
chr20|12952519|LINC01722|lncRNA|ENSG00000233048|GENCODE|https://www.gencodegenes.org/human/|12865202|"[""HGNC:52510"", ""LINC01722"", ""long intergenic non-protein coding RNA 1722""]"
chr20|12937097|unknown|lncRNA|ENSG00000269931|GENCODE|https://www.gencodegenes.org/human/|12934877|
chr20|12940902|unknown|lncRNA|ENSG00000286087|GENCODE|https://www.gencodegenes.org/human/|12936262|
chr20|13008417|LINC01723|lncRNA|ENSG00000234265|GENCODE|https://www.gencodegenes.org/human/|12950288|"[""LINC01723"", ""HGNC:52511"", ""long intergenic non-protein coding RNA 1723""]"
chr20|13169103|SPTLC3|protein_coding|ENSG00000172296|GENCODE|https://www.gencodegenes.org/human/|13008972|"[""serine palmitoyltransferase, long chain base subunit 2-like (aminotransferase 2)"", ""hLCB2b"", ""SPTLC2L"", ""HGNC:16253"", ""serine palmitoyltransferase 3"", ""SPT3"", ""dJ718P11"", ""SPTLC3"", ""dJ718P11.1"", ""long chain base biosynthesis protein 3"", ""SPT 3"", ""LCB2B"", ""LCB 3"", ""long chain base biosynthesis protein 2b"", ""serine-palmitoyl-CoA transferase 3"", ""serine palmitoyltransferase long chain base subunit 3"", ""C20orf38"", ""LCB3""]"
chrX|1602520|AKAP17A|protein_coding|ENSG00000197976|GENCODE|https://www.gencodegenes.org/human/|1591604|"[""XE7"", ""pseudoautosomal gene XE7"", ""HGNC:18783"", ""A kinase (PRKA) anchor protein 17A"", ""A-kinase anchor protein 17A"", ""CCDC133"", ""AKAP17A"", ""CXYorf3"", ""721P"", ""DXYS155E"", ""PRKA17A"", ""XE7Y"", ""splicing factor, arginine/serine-rich 17A"", ""A-kinase anchoring protein 17A"", ""AKAP-17A"", ""protein kinase A-anchoring protein 17A"", ""B-lymphocyte surface antigen"", ""SFRS17A""]"
chrY|1602520|AKAP17A|protein_coding|ENSG00000197976_PAR_Y|GENCODE|https://www.gencodegenes.org/human/|1591604|"[""XE7"", ""pseudoautosomal gene XE7"", ""HGNC:18783"", ""A kinase (PRKA) anchor protein 17A"", ""A-kinase anchor protein 17A"", ""CCDC133"", ""AKAP17A"", ""CXYorf3"", ""721P"", ""DXYS155E"", ""PRKA17A"", ""XE7Y"", ""splicing factor, arginine/serine-rich 17A"", ""A-kinase anchoring protein 17A"", ""AKAP-17A"", ""protein kinase A-anchoring protein 17A"", ""B-lymphocyte surface antigen"", ""SFRS17A""]"
